Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter_unreal.spectra, 20, -1, false, 3.238, 
specs/round_robin_arbiter_unreal.spectra, 20, 0, true, 1.371, 
specs/round_robin_arbiter_unreal.spectra, 20, 1, true, 0.783, 
specs/round_robin_arbiter_unreal.spectra, 20, 2, true, 0.905, 
specs/round_robin_arbiter_unreal.spectra, 20, 23, false, 3.801, 
specs/round_robin_arbiter_unreal.spectra, 20, 24, false, 3.071, 
specs/round_robin_arbiter_unreal.spectra, 30, -1, false, 13.063, 
specs/round_robin_arbiter_unreal.spectra, 30, 0, true, 3.601, 
specs/round_robin_arbiter_unreal.spectra, 30, 1, true, 1.094, 
specs/round_robin_arbiter_unreal.spectra, 30, 2, true, 1.393, 
specs/round_robin_arbiter_unreal.spectra, 30, 33, false, 18.471, 
specs/round_robin_arbiter_unreal.spectra, 30, 34, false, 11.242, 
specs/round_robin_arbiter_unreal.spectra, 40, -1, false, 40.553, 
specs/round_robin_arbiter_unreal.spectra, 40, 0, true, 6.948, 
specs/round_robin_arbiter_unreal.spectra, 40, 1, true, 1.660, 
specs/round_robin_arbiter_unreal.spectra, 40, 2, true, 2.538, 
specs/round_robin_arbiter_unreal.spectra, 40, 43, false, 55.346, 
specs/round_robin_arbiter_unreal.spectra, 40, 44, false, 47.860, 
specs/round_robin_arbiter_unreal.spectra, 50, -1, false, 143.767, 
specs/round_robin_arbiter_unreal.spectra, 50, 0, true, 18.989, 
specs/round_robin_arbiter_unreal.spectra, 50, 1, true, 2.481, 
specs/round_robin_arbiter_unreal.spectra, 50, 2, true, 4.459, 
specs/round_robin_arbiter_unreal.spectra, 50, 53, false, 152.642, 
specs/round_robin_arbiter_unreal.spectra, 50, 54, false, 128.801, 
specs/round_robin_arbiter_unreal.spectra, 60, -1, false, 337.031, 
specs/round_robin_arbiter_unreal.spectra, 60, 0, true, 31.744, 
specs/round_robin_arbiter_unreal.spectra, 60, 1, true, 3.717, 
specs/round_robin_arbiter_unreal.spectra, 60, 2, true, 7.151, 
specs/round_robin_arbiter_unreal.spectra, 60, 63, false, 518.345, 
specs/round_robin_arbiter_unreal.spectra, 60, 64, false, 322.556, 
specs/round_robin_arbiter_unreal.spectra, 70, -1, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 70, 0, true, 51.887, 
specs/round_robin_arbiter_unreal.spectra, 70, 1, true, 5.127, 
specs/round_robin_arbiter_unreal.spectra, 70, 2, true, 11.251, 
specs/round_robin_arbiter_unreal.spectra, 70, 73, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 70, 74, class java.util.concurrent.TimeoutException
