Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter_unreal.spectra, 20, -1, false, 2.391, 
specs/round_robin_arbiter_unreal.spectra, 20, 0, true, 1.531, 
specs/round_robin_arbiter_unreal.spectra, 20, 1, true, 1.012, 
specs/round_robin_arbiter_unreal.spectra, 20, 2, true, 1.181, 
specs/round_robin_arbiter_unreal.spectra, 20, 23, false, 2.636, 
specs/round_robin_arbiter_unreal.spectra, 20, 24, false, 2.421, 
specs/round_robin_arbiter_unreal.spectra, 30, -1, false, 6.700, 
specs/round_robin_arbiter_unreal.spectra, 30, 0, true, 2.710, 
specs/round_robin_arbiter_unreal.spectra, 30, 1, true, 1.440, 
specs/round_robin_arbiter_unreal.spectra, 30, 2, true, 1.696, 
specs/round_robin_arbiter_unreal.spectra, 30, 33, false, 13.344, 
specs/round_robin_arbiter_unreal.spectra, 30, 34, false, 12.027, 
specs/round_robin_arbiter_unreal.spectra, 40, -1, false, 23.601, 
specs/round_robin_arbiter_unreal.spectra, 40, 0, true, 5.982, 
specs/round_robin_arbiter_unreal.spectra, 40, 1, true, 2.077, 
specs/round_robin_arbiter_unreal.spectra, 40, 2, true, 2.927, 
specs/round_robin_arbiter_unreal.spectra, 40, 43, false, 49.731, 
specs/round_robin_arbiter_unreal.spectra, 40, 44, false, 22.637, 
specs/round_robin_arbiter_unreal.spectra, 50, -1, false, 133.828, 
specs/round_robin_arbiter_unreal.spectra, 50, 0, true, 10.206, 
specs/round_robin_arbiter_unreal.spectra, 50, 1, true, 2.789, 
specs/round_robin_arbiter_unreal.spectra, 50, 2, true, 4.932, 
specs/round_robin_arbiter_unreal.spectra, 50, 53, false, 64.240, 
specs/round_robin_arbiter_unreal.spectra, 50, 54, false, 125.303, 
specs/round_robin_arbiter_unreal.spectra, 60, -1, false, 147.145, 
specs/round_robin_arbiter_unreal.spectra, 60, 0, true, 16.348, 
specs/round_robin_arbiter_unreal.spectra, 60, 1, true, 4.153, 
specs/round_robin_arbiter_unreal.spectra, 60, 2, true, 7.523, 
specs/round_robin_arbiter_unreal.spectra, 60, 63, false, 175.099, 
specs/round_robin_arbiter_unreal.spectra, 60, 64, false, 290.737, 
specs/round_robin_arbiter_unreal.spectra, 70, -1, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 70, 0, true, 27.164, 
specs/round_robin_arbiter_unreal.spectra, 70, 1, true, 5.286, 
specs/round_robin_arbiter_unreal.spectra, 70, 2, true, 12.320, 
specs/round_robin_arbiter_unreal.spectra, 70, 73, false, 351.193, 
specs/round_robin_arbiter_unreal.spectra, 70, 74, class java.util.concurrent.TimeoutException
