Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter_unreal.spectra, 20, -1, false, 2.176, 
specs/round_robin_arbiter_unreal.spectra, 20, 0, true, 1.381, 
specs/round_robin_arbiter_unreal.spectra, 20, 1, true, 0.837, 
specs/round_robin_arbiter_unreal.spectra, 20, 2, true, 0.947, 
specs/round_robin_arbiter_unreal.spectra, 20, 23, false, 2.542, 
specs/round_robin_arbiter_unreal.spectra, 20, 24, false, 2.636, 
specs/round_robin_arbiter_unreal.spectra, 30, -1, false, 8.063, 
specs/round_robin_arbiter_unreal.spectra, 30, 0, true, 2.572, 
specs/round_robin_arbiter_unreal.spectra, 30, 1, true, 1.086, 
specs/round_robin_arbiter_unreal.spectra, 30, 2, true, 1.445, 
specs/round_robin_arbiter_unreal.spectra, 30, 33, false, 10.726, 
specs/round_robin_arbiter_unreal.spectra, 30, 34, false, 7.349, 
specs/round_robin_arbiter_unreal.spectra, 40, -1, false, 22.546, 
specs/round_robin_arbiter_unreal.spectra, 40, 0, true, 4.870, 
specs/round_robin_arbiter_unreal.spectra, 40, 1, true, 1.678, 
specs/round_robin_arbiter_unreal.spectra, 40, 2, true, 2.535, 
specs/round_robin_arbiter_unreal.spectra, 40, 43, false, 30.243, 
specs/round_robin_arbiter_unreal.spectra, 40, 44, false, 30.850, 
specs/round_robin_arbiter_unreal.spectra, 50, -1, false, 85.450, 
specs/round_robin_arbiter_unreal.spectra, 50, 0, true, 8.338, 
specs/round_robin_arbiter_unreal.spectra, 50, 1, true, 2.438, 
specs/round_robin_arbiter_unreal.spectra, 50, 2, true, 4.407, 
specs/round_robin_arbiter_unreal.spectra, 50, 53, false, 91.374, 
specs/round_robin_arbiter_unreal.spectra, 50, 54, false, 75.006, 
specs/round_robin_arbiter_unreal.spectra, 60, -1, false, 177.033, 
specs/round_robin_arbiter_unreal.spectra, 60, 0, true, 15.731, 
specs/round_robin_arbiter_unreal.spectra, 60, 1, true, 3.732, 
specs/round_robin_arbiter_unreal.spectra, 60, 2, true, 7.106, 
specs/round_robin_arbiter_unreal.spectra, 60, 63, false, 288.590, 
specs/round_robin_arbiter_unreal.spectra, 60, 64, false, 177.185, 
specs/round_robin_arbiter_unreal.spectra, 70, -1, false, 532.024, 
specs/round_robin_arbiter_unreal.spectra, 70, 0, true, 23.584, 
specs/round_robin_arbiter_unreal.spectra, 70, 1, true, 4.993, 
specs/round_robin_arbiter_unreal.spectra, 70, 2, true, 11.516, 
specs/round_robin_arbiter_unreal.spectra, 70, 73, false, 436.905, 
specs/round_robin_arbiter_unreal.spectra, 70, 74, false, 466.498, 
