1,2,3,4,5,6,7
0.639,0.595,0.730,0.659,0.810,,,
0.798,0.834,0.792,0.860,0.816,,,
0.422,0.689,0.331,0.689,0.289,,,
0.736,0.739,0.692,0.755,2.195,0.000,,
0.902,1.552,3.290,Infinity,Infinity,,,
0.823,0.996,0.680,1.235,1.086,1.454,1.207,
0.936,0.868,0.716,0.935,0.924,0.591,1.237,
0.951,0.894,0.994,9.581,1.158,1.403,1.978,
1.423,0.967,1.383,3.392,4.723,2.199,1.136,
1.228,1.594,2.063,2.226,2.259,Infinity,0.891,
1.098,1.143,1.317,0.890,1.980,1.584,1.422,
1.034,1.048,1.010,1.059,1.169,1.124,2.177,
1.061,1.029,1.041,1.047,1.088,0.991,1.088,
1.005,1.059,1.055,1.064,1.111,1.147,1.008,
0.827,0.636,0.771,0.774,0.761,0.766,0.722,
0.864,0.654,0.897,0.922,0.673,0.729,0.682,
0.942,0.777,1.060,0.907,0.903,1.149,0.959,
0.841,0.715,0.768,0.729,0.899,0.742,0.519,
0.946,0.793,0.815,0.879,0.900,0.734,0.560,
0.655,0.594,0.793,0.671,0.845,0.695,0.591,
1.132,0.658,1.052,0.634,1.038,0.694,0.527,
0.620,1.003,0.951,0.714,0.694,0.765,0.598,
0.879,0.929,0.965,0.754,0.694,0.742,0.698,
0.853,0.861,0.830,0.854,0.572,0.740,0.381,
0.753,1.107,0.980,0.825,0.597,0.485,0.377,
0.902,0.672,0.965,1.028,0.947,0.998,0.643,
0.670,0.969,0.843,0.794,0.795,1.112,0.574,
0.780,0.842,0.823,0.730,0.605,0.738,0.592,
0.538,0.529,1.235,0.804,0.717,0.475,0.498,
0.682,0.716,1.040,0.875,1.345,1.926,0.642,
0.800,0.943,0.524,0.605,0.824,0.387,0.710,
0.750,0.820,0.769,0.644,0.962,0.651,0.806,
0.876,0.828,0.810,0.933,0.768,0.604,0.567,
0.733,0.639,0.762,0.841,1.062,0.852,0.676,
0.966,0.970,1.085,0.869,1.026,0.703,0.535,
1.131,0.622,0.797,0.852,0.762,0.460,0.747,
0.825,0.702,0.810,0.521,1.022,0.478,0.568,
0.840,0.839,0.971,0.889,0.899,0.572,0.639,
0.984,0.929,0.930,0.786,0.741,0.730,0.540,
0.771,0.831,0.706,0.911,0.699,0.517,0.620,
0.713,0.778,0.754,0.774,0.878,0.641,0.608,
0.849,0.624,0.370,0.341,0.494,0.430,0.668,
