1,2,3,4,5,6,7
0.267,0.262,0.089,0.103,0.044,0.000,0.000,
0.333,0.166,0.164,0.076,0.074,0.000,0.000,
0.253,0.260,0.093,0.091,0.039,0.000,0.000,
0.450,0.304,0.183,0.107,0.105,0.000,0.000,
0.319,Infinity,0.221,0.143,0.079,0.000,,
0.700,0.764,0.540,0.571,0.896,0.441,0.627,
0.643,0.512,0.448,0.423,0.690,0.318,0.466,
0.653,0.595,0.423,0.705,0.495,0.418,0.555,
0.570,0.679,0.450,0.548,0.601,0.645,0.703,
0.670,0.613,0.655,0.660,0.662,0.631,0.489,
0.554,0.618,0.599,0.431,0.569,0.474,0.572,
0.997,0.918,0.825,0.866,0.878,0.890,0.834,
0.848,0.959,0.807,0.903,0.788,0.725,0.859,
1.049,1.037,1.084,1.061,1.021,1.022,1.004,
0.547,0.708,0.612,0.496,0.617,0.714,0.704,
0.530,0.484,0.632,0.600,0.487,0.564,0.515,
0.710,0.707,1.058,0.556,0.740,0.886,0.763,
0.546,0.605,0.499,0.516,0.583,0.631,0.557,
0.619,0.845,0.628,0.638,0.695,0.593,0.552,
0.486,0.742,0.528,0.511,0.666,0.560,0.538,
0.658,0.724,0.754,0.398,0.883,0.473,0.410,
0.459,0.957,0.667,0.570,0.568,0.513,0.560,
0.651,0.686,0.788,0.572,0.432,0.426,0.540,
0.628,0.734,0.589,0.581,0.482,0.613,0.405,
0.653,0.875,0.795,0.549,0.454,0.379,0.349,
0.602,0.725,0.935,0.772,0.666,1.102,0.657,
0.502,0.807,0.616,0.603,0.669,1.057,0.569,
0.633,0.725,0.597,0.831,0.563,0.668,0.775,
0.327,0.322,0.604,0.486,0.411,0.344,0.400,
0.554,0.462,0.406,0.443,0.370,0.639,0.575,
0.570,0.753,0.427,0.459,0.574,0.279,0.535,
0.361,0.797,0.722,0.422,0.647,0.691,1.027,
0.721,0.595,0.660,0.673,0.624,0.476,0.533,
0.513,0.638,0.706,0.604,0.848,0.738,0.583,
0.705,0.914,0.800,0.678,0.679,0.646,0.457,
0.822,0.488,0.725,0.725,0.561,0.403,0.542,
0.588,0.653,0.806,0.506,0.773,0.423,0.561,
0.655,0.641,0.834,0.538,0.691,0.501,0.737,
0.815,0.657,0.608,0.488,0.471,0.573,0.527,
0.618,0.768,0.533,0.952,0.721,0.468,0.560,
0.594,0.694,0.537,0.561,0.705,0.567,0.636,
0.702,0.709,0.316,0.350,0.293,0.456,0.537,
0.628,0.576,0.457,0.524,0.498,0.545,0.581,
0.581,0.359,0.456,0.641,0.422,0.596,0.426,
0.489,0.705,0.738,0.474,0.692,0.307,0.558,
0.550,0.647,0.661,0.541,0.603,0.542,0.666,
0.505,0.811,0.770,0.761,0.517,0.582,0.512,
0.629,0.791,0.749,0.510,0.586,0.574,0.642,
0.517,0.300,0.614,0.707,0.724,0.486,0.701,
0.500,0.758,0.801,0.747,0.686,0.651,0.535,
0.543,0.619,0.724,0.577,0.668,0.612,0.569,
0.546,2.930,1.083,0.840,1.324,Infinity,Infinity,
0.546,0.602,0.521,0.580,0.625,0.888,0.517,
0.482,0.639,0.390,0.569,0.525,0.668,0.512,
0.541,0.790,0.704,0.619,0.705,0.757,0.614,
0.556,0.512,0.603,0.604,0.564,0.636,0.470,
162.039,Infinity,Infinity,Infinity,Infinity,,
0.339,0.125,0.073,0.000,0.000,0.000,
0.785,0.520,0.350,0.258,0.355,0.126,
97.293,Infinity,Infinity,Infinity,Infinity,Infinity,
198.147,Infinity,Infinity,Infinity,Infinity,Infinity,
7.843,2.232,3.450,1.403,2.386,Infinity,
1.571,1.011,1.054,1.032,1.437,0.961,
1.804,1.331,1.668,1.192,1.058,,
5.074,2.542,3.203,1.516,1.856,Infinity,
12.641,1.788,1.984,1.988,2.238,Infinity,
16.857,Infinity,Infinity,Infinity,Infinity,Infinity,
46.505,Infinity,Infinity,Infinity,Infinity,Infinity,
5.661,7.644,Infinity,Infinity,1.384,Infinity,
9.212,2.048,3.977,1.494,1.819,Infinity,
10.643,1.855,3.720,1.370,2.032,Infinity,
0.254,0.237,0.228,0.103,0.116,0.131,0.069,
0.143,0.174,0.041,0.047,0.045,0.049,0.000,
0.365,0.220,0.208,0.100,0.105,0.115,0.055,
0.313,Infinity,0.145,Infinity,Infinity,Infinity,Infinity,
0.304,0.212,0.207,0.091,0.074,0.088,0.000,
0.203,0.203,0.127,0.078,0.113,0.046,0.083,
0.294,0.237,0.246,0.142,0.129,0.110,0.047,
0.157,0.085,0.091,0.066,0.052,0.050,0.042,
0.186,0.144,0.106,0.086,0.057,0.060,0.045,
0.308,0.550,0.291,0.366,0.502,0.379,0.329,
0.375,0.424,0.407,0.370,0.308,0.248,0.295,
0.534,0.690,0.594,0.415,0.354,0.370,0.533,
0.632,0.606,0.397,0.421,0.308,0.325,0.389,
0.395,0.489,0.407,0.376,0.346,0.307,0.288,
0.460,0.528,0.498,0.387,0.372,0.322,0.367,
0.525,0.470,0.371,0.383,0.284,0.294,0.318,
0.460,0.426,0.391,0.414,0.353,0.293,0.316,
0.430,0.648,0.479,0.482,0.357,0.311,0.386,
0.695,0.418,0.499,0.316,0.316,0.359,0.355,
0.421,0.424,0.504,0.342,0.310,0.331,0.256,
0.696,0.603,0.488,0.315,0.289,0.333,0.333,
0.533,0.515,0.497,0.315,0.454,0.282,0.340,
0.638,0.701,0.456,0.347,0.470,0.282,0.505,
0.772,0.521,0.515,0.346,0.482,0.355,0.239,
0.360,0.618,0.341,0.297,0.389,0.326,0.277,
0.674,0.358,0.329,0.474,0.372,0.296,0.293,
0.688,0.449,0.414,0.458,0.354,0.345,0.305,
0.442,0.555,0.383,0.417,0.372,0.274,0.320,
0.420,0.437,0.363,0.419,0.389,0.277,0.300,
0.530,0.436,0.327,0.265,0.419,0.270,0.266,
0.900,0.514,0.606,0.323,0.380,0.384,0.237,
0.626,1.024,0.370,0.307,0.493,0.389,0.206,
0.895,0.437,0.356,0.284,0.358,0.213,0.251,
0.668,0.625,0.451,0.259,0.416,0.347,0.339,
0.430,0.247,0.309,0.293,0.140,0.207,0.144,
0.646,0.611,0.363,0.499,0.445,0.343,0.298,
0.588,0.425,0.462,0.356,0.441,0.342,0.292,
0.615,0.722,0.439,0.337,0.301,0.299,0.306,
0.554,0.671,0.460,0.510,0.332,0.286,0.271,
0.842,0.555,0.520,0.359,0.332,0.336,0.328,
0.610,0.470,0.483,0.417,0.441,0.300,0.322,
0.341,0.478,0.408,0.377,0.339,0.334,0.292,
0.541,0.447,0.334,0.378,0.497,0.360,0.276,
0.654,0.441,0.398,0.301,0.276,0.266,0.279,
0.723,0.690,0.486,0.412,0.305,0.363,0.332,
0.638,0.543,1.255,0.365,0.274,0.301,0.296,
0.445,0.560,0.434,0.359,0.313,0.258,0.291,
0.697,0.511,0.454,0.441,0.340,0.364,0.310,
0.478,0.513,0.470,0.328,0.294,0.273,0.309,
0.582,0.447,0.405,0.379,0.299,0.277,0.242,
0.594,0.491,0.518,0.399,0.347,0.405,0.276,
0.794,0.382,0.334,0.621,0.306,0.412,0.429,
1.242,0.710,0.660,1.226,1.159,Infinity,Infinity,
0.471,0.445,0.500,0.439,0.271,0.272,0.267,
0.505,0.388,0.459,0.511,0.299,0.350,0.297,
0.588,0.526,0.509,0.424,0.343,0.303,0.298,
0.671,0.339,0.329,0.333,0.309,0.264,0.229,
0.576,0.410,0.441,0.459,0.330,0.000,0.287,
0.521,0.380,0.433,0.320,0.299,0.289,0.279,
0.659,0.320,0.389,0.528,0.399,0.324,0.274,
0.560,0.763,0.437,0.472,0.388,0.331,0.350,
0.763,0.495,0.312,0.952,0.406,0.473,0.000,
0.361,0.517,0.442,0.341,0.259,0.386,0.256,
0.360,0.334,0.476,0.433,0.290,0.358,0.328,
0.444,0.448,0.629,0.511,0.545,0.536,0.406,
0.636,0.502,0.306,0.373,0.355,0.315,0.315,
0.395,0.421,0.314,0.297,0.310,0.367,0.264,
0.466,0.671,0.424,0.429,0.433,0.246,0.232,
0.665,0.568,0.386,0.315,0.403,0.356,0.306,
0.612,0.495,0.405,0.369,0.392,0.289,0.278,
0.716,0.331,0.344,0.292,0.410,0.327,0.299,
0.438,0.397,0.349,0.427,0.378,0.316,0.210,
0.616,0.399,0.373,0.417,0.464,0.414,0.386,
42.864,Infinity,Infinity,Infinity,Infinity,Infinity,,
5.961,114.141,Infinity,Infinity,Infinity,Infinity,Infinity,
4.647,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
0.749,0.298,0.327,0.725,Infinity,,
0.658,0.299,0.295,0.263,0.715,,
0.799,0.195,1.302,1.788,Infinity,,
0.626,0.400,0.188,0.266,,,
0.787,0.252,0.392,1.822,,,
0.834,0.422,0.126,0.077,0.112,0.000,
0.751,0.198,0.211,0.315,,,
0.566,0.617,0.695,0.708,,,,
0.924,0.916,0.957,1.015,,,,
0.692,0.733,0.735,0.769,,,,
0.586,0.624,0.678,0.792,,,,
0.606,0.674,0.613,0.684,,,,
0.688,0.672,0.660,0.687,,,,
0.561,0.567,0.608,0.645,,,,
0.561,0.564,0.598,0.648,,,,
0.665,0.647,0.596,0.720,,,,
0.713,0.727,0.689,0.766,,,,
0.569,0.600,0.663,0.692,,,,
0.561,0.596,0.670,0.661,,,,
0.706,0.619,0.603,0.667,,,,
0.708,0.649,0.670,0.707,,,,
Infinity,Infinity,Infinity,Infinity,,,,
1.280,3.074,Infinity,Infinity,Infinity,Infinity,Infinity,
0.701,0.432,0.381,0.513,0.380,0.000,0.000,
2.358,5.658,Infinity,Infinity,Infinity,Infinity,,
1.250,2.406,16.523,Infinity,Infinity,Infinity,Infinity,
1.280,3.661,Infinity,Infinity,Infinity,Infinity,Infinity,
1.350,1.397,14.688,Infinity,Infinity,Infinity,Infinity,
1.672,1.502,Infinity,Infinity,Infinity,Infinity,Infinity,
1.373,1.756,Infinity,Infinity,Infinity,Infinity,Infinity,
1.464,1.859,Infinity,Infinity,Infinity,Infinity,Infinity,
1.536,2.091,Infinity,Infinity,Infinity,Infinity,Infinity,
1.304,3.247,Infinity,Infinity,Infinity,Infinity,Infinity,
1.434,2.812,Infinity,Infinity,Infinity,Infinity,Infinity,
1.265,4.190,Infinity,Infinity,Infinity,Infinity,Infinity,
1.772,3.676,Infinity,Infinity,Infinity,Infinity,Infinity,
1.204,3.175,16.474,Infinity,Infinity,Infinity,Infinity,
0.347,0.385,0.395,0.000,0.000,0.000,0.000,
0.506,0.401,0.391,0.000,0.000,0.000,0.000,
0.695,0.482,0.555,0.000,0.000,0.000,0.000,
0.571,0.357,0.000,0.000,0.000,0.000,0.000,
0.344,0.394,0.000,0.000,0.000,0.000,0.000,
0.569,0.304,0.000,0.000,0.000,0.000,0.000,
0.378,0.482,0.000,0.000,0.000,0.000,0.000,
0.477,0.509,0.000,0.000,0.000,0.000,0.000,
0.367,0.311,0.000,0.000,0.000,0.000,0.000,
0.557,0.552,0.000,0.000,0.000,0.000,0.000,
0.436,0.482,0.000,0.000,0.000,0.000,0.000,
0.468,0.521,0.000,0.000,0.000,0.000,0.000,
0.350,0.488,0.000,0.000,0.000,0.000,0.000,
0.382,0.924,0.000,0.000,0.000,0.000,0.000,
0.442,0.529,0.000,0.000,0.000,0.000,0.000,
0.471,0.330,0.000,0.000,0.000,0.000,0.000,
0.288,0.408,0.000,0.000,0.000,0.000,0.000,
0.403,0.538,0.000,0.000,0.000,0.000,0.000,
0.306,0.450,0.000,0.000,0.000,0.000,0.000,
0.393,0.456,0.000,0.000,0.000,0.000,0.000,
0.429,0.300,0.000,0.000,0.000,0.000,,
0.260,0.309,0.000,0.000,0.000,0.000,0.000,
0.358,0.383,0.000,0.000,0.000,0.000,0.000,
0.373,0.473,0.000,0.000,0.000,0.000,0.000,
0.523,0.488,0.000,0.000,0.000,0.000,0.000,
0.468,0.279,0.000,0.000,0.000,0.000,0.000,
0.447,0.436,0.000,0.000,0.000,0.000,0.000,
0.627,0.562,0.000,0.000,0.000,0.000,0.000,
0.420,0.491,0.000,0.000,0.000,0.000,0.000,
0.437,0.368,0.000,0.000,0.000,0.000,0.000,
0.552,0.562,0.000,0.000,0.000,0.000,0.000,
0.590,0.773,0.000,0.000,0.000,0.000,0.000,
0.293,0.639,0.000,0.000,0.000,0.000,0.000,
0.558,0.588,0.000,0.000,0.000,0.000,0.000,
0.418,0.503,0.000,0.000,0.000,0.000,0.000,
0.493,0.539,0.000,0.000,0.000,0.000,0.000,
0.603,0.367,0.000,0.000,0.000,0.000,0.000,
0.638,0.552,0.000,0.000,0.000,0.000,0.000,
0.468,0.402,0.000,0.000,0.000,0.000,0.000,
0.335,0.630,0.000,0.000,0.000,0.000,0.000,
0.265,0.426,0.000,0.000,0.000,0.000,0.000,
0.651,0.443,0.000,0.000,0.000,0.000,0.000,
1.096,0.694,0.000,0.000,0.000,0.000,0.000,
0.659,0.585,0.000,0.000,0.000,0.000,0.000,
0.795,0.692,0.000,0.000,0.000,0.000,0.000,
0.535,0.587,0.000,0.000,0.000,0.000,0.000,
0.456,0.479,0.000,0.000,0.000,0.000,0.000,
0.423,0.650,0.000,0.000,0.000,0.000,0.000,
0.419,0.668,0.000,0.000,0.000,0.000,0.000,
0.413,0.509,0.000,0.000,0.000,0.000,0.000,
0.512,0.612,0.000,0.000,0.000,0.000,0.000,
0.384,0.337,0.000,0.000,0.000,0.000,0.000,
0.502,0.373,0.000,0.000,0.000,0.000,0.000,
0.383,0.636,0.000,0.000,0.000,0.000,0.000,
0.756,0.618,0.000,0.000,0.000,0.000,0.000,
0.371,0.572,0.000,0.000,0.000,0.000,0.000,
0.307,0.456,0.000,0.000,0.000,0.000,0.000,
0.389,0.511,0.000,0.000,0.000,0.000,,
0.347,0.505,0.000,0.000,0.000,0.000,0.000,
0.341,0.287,0.000,0.000,0.000,0.000,0.000,
0.709,0.455,0.000,0.000,0.000,0.000,0.000,
0.506,0.698,0.000,0.000,0.000,0.000,0.000,
0.413,0.351,0.000,0.000,0.000,0.000,0.000,
0.408,0.369,0.000,0.000,0.000,0.000,0.000,
0.353,0.452,0.000,0.000,0.000,0.000,0.000,
0.313,0.427,0.000,0.000,0.000,0.000,0.000,
0.302,0.469,0.000,0.000,0.000,0.000,0.000,
0.671,0.694,0.000,0.000,0.000,0.000,0.000,
0.667,0.991,0.000,0.000,0.000,0.000,0.000,
0.969,1.012,1.043,1.045,1.126,1.062,1.141,
1.025,0.873,0.935,0.887,1.157,1.173,1.060,
1.167,1.192,1.172,1.089,1.229,1.206,1.279,
0.971,1.027,1.017,1.014,1.051,1.143,1.134,
1.074,1.049,0.981,1.161,1.138,1.175,1.145,
1.003,0.874,1.046,0.984,1.003,1.085,1.097,
0.470,0.562,0.432,0.439,0.457,0.569,0.921,
0.922,1.151,1.065,1.061,1.209,1.088,1.175,
0.953,1.057,1.124,1.063,1.108,1.142,1.203,
1.023,1.131,0.935,1.047,1.122,1.064,1.161,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
0.210,0.165,0.145,0.180,0.129,0.159,0.000,
0.180,0.135,0.214,0.212,0.126,0.162,0.113,
0.193,0.150,0.151,0.176,0.106,0.172,0.112,
0.224,0.207,0.153,0.166,0.128,0.102,0.130,
0.216,0.153,0.202,0.140,0.172,0.113,0.250,
0.205,0.164,0.170,0.142,0.106,0.201,0.121,
0.195,0.227,0.141,0.182,0.203,0.138,0.160,
0.193,0.160,0.207,0.189,0.180,0.190,0.000,
0.353,0.325,0.296,0.405,0.328,0.376,0.399,
0.145,0.153,0.135,0.135,0.117,0.169,0.181,
0.318,0.328,0.267,0.332,0.276,0.372,0.255,
0.271,0.299,0.300,0.326,0.286,0.303,0.222,
0.380,0.426,0.386,0.454,0.430,0.412,0.355,
0.231,0.190,0.168,0.200,0.231,0.223,0.110,
0.358,0.337,0.356,0.367,0.368,0.402,0.209,
0.106,0.129,0.122,0.126,0.097,0.138,0.000,
0.161,0.167,0.212,0.201,0.180,0.158,0.000,
0.163,0.224,0.180,0.191,0.188,0.144,0.000,
0.180,0.221,0.186,0.227,0.151,0.151,0.140,
0.194,0.210,0.205,0.142,0.191,0.155,0.142,
0.183,0.169,0.201,0.222,0.145,0.166,0.000,
0.204,0.177,0.185,0.207,0.190,0.159,0.113,
0.202,0.197,0.201,0.155,0.151,0.144,0.151,
0.223,0.220,0.205,0.186,0.145,0.163,0.144,
0.166,0.189,0.202,0.141,0.169,0.153,0.110,
0.314,0.221,0.224,0.191,0.205,0.186,0.209,
0.669,0.567,0.672,0.729,0.720,0.741,0.648,
0.449,0.468,0.357,0.414,0.413,0.351,0.277,
0.168,0.162,0.177,0.171,0.158,0.182,0.000,
0.151,0.162,0.157,0.157,0.121,0.145,0.106,
0.191,0.171,0.144,0.130,0.168,0.136,0.103,
0.629,0.708,0.567,0.605,0.609,0.618,0.721,
0.171,0.133,0.188,0.184,0.144,0.161,0.137,
0.182,0.167,0.224,0.167,0.144,0.148,0.000,
0.162,0.135,0.220,0.226,0.119,0.159,0.131,
0.159,0.169,0.163,0.142,0.125,0.155,0.000,
0.177,0.165,0.216,0.161,0.153,0.156,0.000,
0.262,0.289,0.232,0.260,0.194,0.275,0.226,
0.248,0.193,0.135,0.204,0.148,0.207,0.174,
0.322,0.311,0.303,0.317,0.275,0.303,0.232,
0.219,0.119,0.130,0.150,0.141,0.158,0.000,
0.349,0.324,0.313,0.271,0.247,0.262,0.229,
0.362,0.295,0.282,0.302,0.232,0.219,0.237,
0.226,0.212,0.192,0.202,0.190,0.238,0.150,
0.427,0.456,0.415,0.434,0.451,0.160,0.235,
0.217,0.212,0.210,0.222,0.242,0.197,0.180,
0.844,0.889,0.934,0.885,0.830,0.756,0.816,
0.514,0.284,0.445,0.448,0.220,0.296,0.514,
0.290,0.147,0.278,0.245,0.141,0.272,0.286,
0.534,0.334,0.320,0.295,0.196,0.289,0.612,
0.388,0.304,0.242,0.277,0.258,0.527,0.475,
0.542,0.383,0.283,0.297,0.291,0.461,0.462,
0.510,0.487,0.407,0.401,0.389,0.408,0.702,
0.553,0.291,0.287,0.300,0.272,0.478,0.353,
0.487,0.306,0.283,0.288,0.279,0.348,0.543,
0.339,0.321,0.252,0.299,0.210,0.270,0.263,
0.444,0.436,0.373,0.386,0.358,0.396,0.329,
0.495,0.624,0.550,0.469,0.400,0.378,0.616,
0.491,0.386,0.388,0.430,0.452,0.350,0.594,
0.475,0.426,0.500,0.372,0.364,0.375,0.321,
0.465,0.463,0.294,0.279,0.321,0.279,0.540,
0.516,0.297,0.296,0.477,0.296,0.283,0.351,
0.524,0.281,0.294,0.308,0.300,0.297,0.348,
0.346,0.321,0.290,0.460,0.280,0.322,0.373,
0.478,0.324,0.305,0.299,0.287,0.291,0.367,
0.351,0.301,0.293,0.299,0.269,0.297,0.553,
0.366,0.309,0.414,0.301,0.309,0.286,0.492,
0.511,0.286,0.315,0.302,0.298,0.276,0.256,
0.470,0.286,0.314,0.291,0.306,0.322,0.253,
0.588,0.400,0.309,0.476,0.313,0.302,0.609,
0.631,0.574,0.681,0.686,0.733,0.683,0.649,
0.535,0.484,0.475,0.470,0.427,0.480,0.408,
0.490,0.389,0.419,0.329,0.374,0.330,0.492,
0.704,0.385,0.557,0.636,0.298,0.351,0.695,
0.465,0.372,0.408,0.340,0.259,0.367,0.516,
0.485,0.323,0.358,0.484,0.271,0.274,0.569,
0.530,0.281,0.301,0.448,0.247,0.276,0.504,
1.166,0.633,0.643,0.766,0.509,0.627,1.220,
0.657,0.387,0.591,0.378,0.296,0.366,0.664,
0.498,0.288,0.286,0.436,0.207,0.282,0.508,
0.260,0.286,0.238,0.240,0.199,0.236,0.204,
0.353,0.365,0.387,0.359,0.282,0.459,0.201,
0.360,0.531,0.283,0.239,0.286,0.235,0.266,
0.590,0.536,0.626,0.548,0.441,0.483,0.620,
0.621,0.566,0.609,0.559,0.638,0.772,0.636,
0.465,0.406,0.371,0.400,0.371,0.507,0.641,
0.579,0.398,0.435,0.361,0.340,0.397,0.532,
0.169,0.180,0.153,0.139,0.136,0.135,0.000,
