1,2,3,4,5,6,7
0.518,0.649,0.559,0.507,0.593,0.560,0.000,
0.780,0.597,0.490,0.599,0.568,0.000,0.000,
0.517,0.831,0.608,0.559,0.000,0.000,0.571,
0.722,0.666,0.456,0.558,0.494,0.452,0.000,
0.755,0.778,0.646,0.612,0.499,0.450,0.000,
0.595,0.874,0.671,0.607,0.465,0.432,0.000,
0.557,0.795,0.450,0.543,0.481,0.000,0.000,
0.582,0.821,0.557,0.635,0.431,0.000,0.000,
0.710,0.996,0.464,0.523,0.605,0.532,0.000,
0.749,0.786,0.565,0.616,0.488,0.000,0.000,
0.651,0.839,0.532,0.459,0.558,0.583,0.000,
0.740,0.778,0.543,0.596,0.443,0.526,0.000,
0.746,0.736,0.711,0.506,0.570,0.000,0.000,
0.667,0.590,0.532,0.000,0.530,0.530,0.566,
0.813,0.675,0.708,0.661,0.676,0.595,0.636,
0.478,0.535,0.650,0.511,0.564,0.511,0.484,
0.618,0.808,0.602,0.564,0.444,0.476,0.505,
0.650,0.903,0.520,0.724,0.602,0.000,0.000,
0.644,0.594,0.755,0.570,0.462,0.523,0.000,
0.731,0.571,0.697,0.578,0.388,0.483,0.000,
0.498,0.749,0.443,0.478,0.480,0.000,0.000,
0.639,0.557,0.615,0.631,0.568,0.000,0.000,
0.602,0.512,0.599,0.615,0.577,0.664,0.000,
0.677,0.369,0.405,0.465,0.508,0.415,0.448,
0.847,0.625,0.565,0.688,1.697,1.424,1.087,
0.553,0.621,0.316,0.495,0.426,0.496,0.572,
0.613,0.534,0.471,0.382,0.666,0.000,0.000,
0.610,0.458,0.562,0.572,0.461,0.000,0.000,
0.452,0.648,0.640,0.489,0.545,0.000,0.000,
0.574,0.758,0.439,0.534,0.551,0.000,0.000,
0.667,0.473,0.615,0.462,0.612,0.000,0.000,
0.702,0.364,0.625,0.494,0.474,0.469,0.000,
0.649,0.817,0.578,0.479,0.603,0.415,0.000,
0.865,0.813,0.557,0.669,0.549,0.490,0.000,
0.612,0.721,0.706,0.551,0.498,0.406,0.000,
0.829,0.564,0.537,0.594,0.701,0.454,0.000,
0.585,0.633,0.640,0.592,0.582,0.483,0.000,
0.666,0.718,0.638,0.636,0.812,0.526,0.000,
0.536,0.657,0.719,0.603,0.522,0.410,0.000,
0.741,0.659,0.634,0.467,0.000,0.000,0.000,
0.626,0.561,0.740,0.493,0.598,0.000,0.000,
0.639,0.576,0.507,0.422,0.646,0.510,0.000,
0.645,0.618,0.721,0.614,0.425,0.533,0.414,
0.400,0.633,1.145,1.086,0.860,0.488,0.000,
0.752,0.690,0.788,0.549,0.460,0.540,0.499,
0.673,0.521,0.720,0.480,0.607,0.506,0.503,
0.508,0.750,0.573,0.485,0.594,0.449,0.490,
0.574,0.655,0.671,0.483,0.497,0.479,0.520,
0.769,0.668,0.570,0.409,0.404,0.000,0.501,
0.695,0.630,0.610,0.337,0.000,0.000,0.000,
0.639,0.626,0.560,0.474,0.468,0.000,0.000,
0.464,0.578,0.643,0.543,0.639,0.554,0.000,
0.617,0.597,0.572,0.535,0.464,0.000,0.000,
0.805,0.526,0.656,0.000,0.509,0.000,,
0.784,0.618,0.714,0.514,0.545,0.000,0.000,
0.675,0.703,0.569,0.430,0.597,0.000,0.000,
0.402,0.855,0.687,0.516,0.602,0.000,0.000,
0.583,0.749,0.616,0.449,0.517,0.000,0.000,
0.596,0.562,0.501,0.401,0.466,0.465,0.000,
0.618,0.605,0.652,0.456,0.425,0.000,0.000,
0.526,0.646,0.645,0.557,0.873,0.000,,
0.636,0.622,0.600,0.631,0.474,0.655,0.000,
0.470,0.608,0.677,0.598,0.000,0.000,0.000,
0.529,0.648,0.818,0.475,0.417,0.000,0.000,
0.751,0.772,0.877,0.801,1.021,0.536,0.000,
0.694,0.530,0.668,0.626,0.556,0.699,0.000,
1.181,0.871,1.051,0.761,0.656,0.652,0.000,
0.683,0.878,0.556,0.964,0.629,0.863,0.600,
0.629,0.935,0.715,0.798,0.807,0.824,0.704,
0.746,0.868,0.864,0.798,0.954,0.672,0.599,
1.113,0.915,0.854,0.829,0.797,0.627,0.660,
1.145,0.959,0.870,0.767,0.734,0.639,0.689,
0.707,0.881,0.795,0.928,0.698,0.565,0.733,
0.975,0.810,0.778,0.875,0.712,0.719,0.640,
1.115,0.937,0.809,0.728,0.841,0.624,0.634,
0.948,0.880,0.718,0.776,0.608,0.694,0.587,
1.080,1.129,0.887,0.657,1.007,0.728,0.806,
1.383,0.911,1.000,0.735,0.796,1.052,0.000,
0.802,1.163,0.931,0.742,0.896,0.682,0.000,
0.709,1.155,0.863,0.893,0.876,0.689,0.592,
0.316,0.762,0.805,0.720,0.826,0.801,0.684,
0.645,0.312,0.372,0.582,0.516,0.668,0.000,
0.681,0.848,0.996,0.624,0.636,0.000,0.000,
0.606,0.820,0.793,0.623,0.671,0.805,0.000,
0.547,0.854,0.809,0.687,0.576,0.658,0.000,
0.511,0.739,0.813,0.555,0.626,0.625,0.000,
0.651,0.725,0.822,0.612,0.532,0.693,0.000,
0.692,0.780,0.781,0.626,0.699,0.632,0.000,
0.756,0.904,0.558,0.614,0.575,0.587,0.000,
0.736,0.524,0.524,0.362,0.431,0.468,0.392,
0.897,0.777,0.723,0.966,0.758,0.866,Infinity,
0.839,0.597,0.616,0.542,0.498,0.535,0.831,
0.729,0.882,0.638,0.460,0.000,0.000,,
0.555,0.896,0.690,0.450,0.000,0.000,,
0.983,0.907,0.825,0.565,0.640,0.000,,
0.663,0.759,0.713,0.550,0.000,,,
0.638,0.789,0.772,0.542,0.663,0.000,,
1.015,0.779,0.754,0.644,0.708,0.000,,
0.676,0.731,0.722,0.559,0.830,0.000,,
0.682,0.701,0.699,0.638,0.749,0.000,,
0.816,0.682,0.776,0.590,0.737,0.000,0.000,
0.937,0.802,0.748,0.695,0.766,0.000,,
0.580,0.702,0.683,0.716,0.743,0.000,,
1.109,0.643,0.741,0.731,0.709,0.000,,
0.497,0.715,0.738,0.801,0.599,0.000,,
0.800,0.787,0.713,0.528,0.000,0.000,,
0.721,0.707,0.747,0.671,0.689,0.000,,
0.737,0.747,0.751,0.633,0.638,0.000,0.000,
0.856,0.741,0.723,0.548,0.718,0.233,0.337,
0.880,0.704,0.204,0.000,0.000,0.000,0.000,
0.541,0.522,0.943,0.000,,,,
0.749,0.567,1.278,0.684,0.555,0.451,0.485,
0.752,0.847,0.634,0.748,0.790,0.000,0.000,
0.774,0.567,0.628,0.674,0.669,0.000,,
0.640,0.614,0.621,0.924,0.549,0.474,0.536,
0.636,0.989,0.822,0.000,0.000,0.000,,
0.509,0.932,0.678,0.579,0.000,0.000,,
0.823,0.930,0.996,0.799,0.767,0.695,0.653,
0.678,0.709,0.631,0.652,0.000,0.000,,
0.880,0.801,1.111,0.838,0.890,0.648,0.664,
0.712,0.892,0.770,0.622,0.000,0.000,,
1.268,0.860,0.840,0.697,0.669,0.000,,
0.809,0.820,0.957,0.985,0.687,0.535,0.000,
0.820,0.917,0.987,0.662,0.711,0.000,,
0.833,0.804,0.953,0.730,0.664,0.783,0.000,
1.000,0.826,0.775,0.853,0.886,0.726,0.000,
0.729,0.902,0.873,0.716,0.740,0.620,0.000,
0.546,0.782,0.804,0.732,0.748,0.000,0.000,
0.864,0.797,0.835,0.672,0.769,0.628,0.000,
