1,2,3,4,5,6,7
0.491,0.712,0.779,0.586,0.666,0.764,0.000,
0.440,0.742,0.705,0.792,0.968,0.000,,
0.389,0.923,0.680,0.595,0.000,0.000,0.679,
0.802,0.662,0.611,0.580,0.667,0.846,,
0.864,0.824,0.750,0.668,0.636,0.742,,
0.810,0.847,0.756,0.770,0.696,0.729,,
0.695,0.875,0.610,0.511,0.726,0.000,,
0.795,0.780,0.738,0.799,0.599,0.000,0.000,
0.740,0.840,0.669,0.508,1.012,0.693,0.000,
0.805,0.708,0.596,Infinity,0.579,,,
0.690,0.826,0.603,0.638,0.763,Infinity,0.000,
0.743,0.852,0.758,0.671,0.821,0.715,,
0.697,0.950,0.933,0.729,0.638,0.000,,
1.005,0.613,0.483,0.000,0.653,0.696,0.865,
0.779,0.671,0.875,0.708,0.867,0.809,0.887,
0.389,0.614,0.651,0.497,0.773,0.541,0.647,
0.514,0.689,0.653,0.639,0.794,0.686,0.756,
0.710,0.977,0.526,0.861,0.738,,,
0.649,0.722,0.736,0.638,0.679,0.760,0.000,
1.004,0.603,0.747,0.629,0.618,0.671,,
0.508,0.630,0.496,0.666,Infinity,0.000,,
0.746,0.563,0.723,0.774,0.927,0.000,,
0.711,0.522,0.821,0.817,0.817,0.730,,
0.848,0.438,0.396,0.456,0.549,0.506,0.593,
0.767,1.198,0.673,1.033,1.108,1.186,0.789,
0.726,1.114,0.442,0.455,0.433,0.494,0.471,
0.700,0.632,0.784,0.516,0.985,0.000,,
0.588,0.479,0.624,0.889,0.750,0.000,,
0.598,0.599,0.621,0.810,0.796,,0.000,
0.963,1.000,0.486,0.777,0.719,0.000,0.000,
0.719,0.640,0.625,0.544,0.909,,0.000,
0.930,0.463,0.838,0.657,0.768,Infinity,0.000,
0.876,0.891,0.890,0.632,0.814,0.651,0.000,
0.772,0.968,0.742,0.713,0.755,0.669,0.000,
0.849,0.785,0.636,0.667,0.667,0.560,0.000,
1.096,0.828,0.628,0.821,1.025,0.718,0.000,
0.668,0.804,0.640,0.894,0.918,0.740,0.000,
0.718,0.794,0.671,0.836,1.030,0.686,0.000,
0.448,0.739,0.667,0.716,0.676,0.680,,
0.756,0.722,0.631,0.550,0.000,0.000,,
