Spec,Size,Remove,Prep.,Real. Check,Total,
specs/abcg_arbiter.spectra, 10, -1, 0.619,1.587,2.206,
specs/abcg_arbiter.spectra, 10, 0, 0.730,0.034,0.764,
specs/abcg_arbiter.spectra, 10, 1, 0.644,0.534,1.177,
specs/abcg_arbiter.spectra, 10, 2, 0.576,0.956,1.532,
specs/abcg_arbiter.spectra, 10, 3, 0.611,1.481,2.091,
specs/abcg_arbiter.spectra, 10, 4, 0.690,0.209,0.899,
specs/abcg_arbiter.spectra, 10, 5, 0.574,1.094,1.668,
specs/abcg_arbiter.spectra, 10, 6, 0.600,0.305,0.905,
specs/abcg_arbiter.spectra, 10, 7, 0.554,1.358,1.913,
specs/abcg_arbiter.spectra, 10, 8, 0.589,1.757,2.346,
specs/abcg_arbiter.spectra, 20, -1, 1.525,6.307,7.832,
specs/abcg_arbiter.spectra, 20, 0, 1.153,0.362,1.515,
specs/abcg_arbiter.spectra, 20, 1, 1.648,3.060,4.708,
specs/abcg_arbiter.spectra, 20, 2, 1.659,5.443,7.102,
specs/abcg_arbiter.spectra, 20, 3, 1.556,6.374,7.930,
specs/abcg_arbiter.spectra, 20, 4, 1.631,0.689,2.320,
specs/abcg_arbiter.spectra, 20, 5, 1.495,4.475,5.970,
specs/abcg_arbiter.spectra, 20, 6, 1.512,1.572,3.084,
specs/abcg_arbiter.spectra, 20, 7, 1.513,6.067,7.579,
specs/abcg_arbiter.spectra, 20, 8, 1.633,6.099,7.732,
specs/abcg_arbiter.spectra, 30, -1, 4.650,24.626,29.276,
specs/abcg_arbiter.spectra, 30, 0, 2.442,1.342,3.783,
specs/abcg_arbiter.spectra, 30, 1, 4.801,12.355,17.157,
specs/abcg_arbiter.spectra, 30, 2, 4.772,24.856,29.628,
specs/abcg_arbiter.spectra, 30, 3, 4.318,23.233,27.551,
specs/abcg_arbiter.spectra, 30, 4, 5.526,1.305,6.831,
specs/abcg_arbiter.spectra, 30, 5, 4.569,18.579,23.148,
specs/abcg_arbiter.spectra, 30, 6, 4.201,5.623,9.825,
specs/abcg_arbiter.spectra, 30, 7, 4.637,24.807,29.444,
specs/abcg_arbiter.spectra, 30, 8, 4.619,23.096,27.714,
specs/abcg_arbiter.spectra, 40, -1, 13.213,59.451,72.664,
specs/abcg_arbiter.spectra, 40, 0, 6.897,3.909,10.806,
specs/abcg_arbiter.spectra, 40, 1, 12.752,32.668,45.420,
specs/abcg_arbiter.spectra, 40, 2, 13.622,58.395,72.017,
specs/abcg_arbiter.spectra, 40, 3, 13.441,58.419,71.860,
specs/abcg_arbiter.spectra, 40, 4, 12.723,4.474,17.197,
specs/abcg_arbiter.spectra, 40, 5, 13.568,47.644,61.212,
specs/abcg_arbiter.spectra, 40, 6, 13.440,10.737,24.176,
specs/abcg_arbiter.spectra, 40, 7, 13.456,61.617,75.073,
specs/abcg_arbiter.spectra, 40, 8, 13.290,59.625,72.915,
specs/abcg_arbiter.spectra, 50, -1, 23.050,129.398,152.448,
specs/abcg_arbiter.spectra, 50, 0, 17.405,8.191,25.596,
specs/abcg_arbiter.spectra, 50, 1, 21.848,85.145,106.994,
specs/abcg_arbiter.spectra, 50, 2, 21.135,153.675,174.810,
specs/abcg_arbiter.spectra, 50, 3, 26.002,133.772,159.774,
specs/abcg_arbiter.spectra, 50, 4, 22.427,10.891,33.318,
specs/abcg_arbiter.spectra, 50, 5, 22.939,108.024,130.963,
specs/abcg_arbiter.spectra, 50, 6, 21.085,30.399,51.483,
specs/abcg_arbiter.spectra, 50, 7, 23.727,144.821,168.548,
specs/abcg_arbiter.spectra, 50, 8, 23.070,137.231,160.301,
specs/abcg_arbiter.spectra, 60, -1, 88.404,286.947,375.350,
specs/abcg_arbiter.spectra, 60, 0, 50.660,22.241,72.901,
specs/abcg_arbiter.spectra, 60, 1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 2, 86.290,264.647,350.937,
specs/abcg_arbiter.spectra, 60, 3, 77.667,281.558,359.225,
specs/abcg_arbiter.spectra, 60, 4, 86.879,39.430,126.308,
specs/abcg_arbiter.spectra, 60, 5, 80.877,237.571,318.447,
specs/abcg_arbiter.spectra, 60, 6, 81.846,90.344,172.190,
specs/abcg_arbiter.spectra, 60, 7, 84.105,266.475,350.580,
specs/abcg_arbiter.spectra, 60, 8, 90.319,283.369,373.688,
