Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba.spectra, 4, -1, 0.559,30.621,31.180,
specs/amba.spectra, 4, 0, 0.576,42.963,43.539,
specs/amba.spectra, 4, 1, 0.558,36.361,36.918,
specs/amba.spectra, 4, 2, 0.569,27.314,27.883,
specs/amba.spectra, 4, 3, 0.579,35.711,36.290,
specs/amba.spectra, 4, 4, 0.556,30.131,30.687,
specs/amba.spectra, 4, 5, 0.532,36.138,36.670,
specs/amba.spectra, 4, 6, 0.582,30.945,31.527,
specs/amba.spectra, 4, 7, 0.605,31.055,31.660,
specs/amba.spectra, 4, 8, 0.560,26.028,26.588,
specs/amba.spectra, 4, 9, 0.571,30.862,31.433,
specs/amba.spectra, 4, 10, 0.540,23.287,23.827,
specs/amba.spectra, 4, 11, 0.556,20.183,20.739,
specs/amba.spectra, 4, 12, 0.531,12.345,12.876,
specs/amba.spectra, 4, 13, 0.539,3.634,4.173,
specs/amba.spectra, 4, 14, 0.516,37.278,37.795,
specs/amba.spectra, 4, 15, 0.551,9.373,9.924,
specs/amba.spectra, 4, 16, 0.539,26.444,26.983,
specs/amba.spectra, 4, 17, 0.594,28.976,29.569,
specs/amba.spectra, 4, 18, 0.568,29.533,30.101,
specs/amba.spectra, 4, 19, 0.587,28.731,29.318,
specs/amba.spectra, 4, 20, 0.563,20.637,21.200,
specs/amba.spectra, 4, 21, 0.575,24.880,25.455,
specs/amba.spectra, 4, 22, 0.548,4.107,4.655,
specs/amba.spectra, 4, 23, 0.595,4.961,5.557,
specs/amba.spectra, 4, 24, 0.532,10.200,10.731,
specs/amba.spectra, 4, 25, 0.526,33.492,34.018,
specs/amba.spectra, 4, 26, 0.565,22.126,22.690,
specs/amba.spectra, 4, 27, 0.543,24.576,25.120,
specs/amba.spectra, 4, 28, 0.544,26.308,26.853,
specs/amba.spectra, 4, 29, 0.577,26.556,27.133,
specs/amba.spectra, 4, 30, 0.544,24.870,25.414,
specs/amba.spectra, 4, 31, 0.568,32.081,32.648,
specs/amba.spectra, 4, 32, 0.553,31.019,31.573,
specs/amba.spectra, 4, 33, 0.608,18.374,18.981,
specs/amba.spectra, 4, 34, 0.569,19.848,20.417,
specs/amba.spectra, 4, 35, 0.559,27.530,28.089,
specs/amba.spectra, 4, 36, 0.594,24.168,24.762,
specs/amba.spectra, 4, 37, 0.526,19.916,20.442,
specs/amba.spectra, 4, 38, 0.564,27.068,27.633,
specs/amba.spectra, 4, 39, 0.553,26.961,27.514,
specs/amba.spectra, 4, 40, 0.568,22.803,23.371,
specs/amba.spectra, 4, 41, 0.572,2.278,2.851,
specs/amba.spectra, 4, 42, 0.489,3.483,3.973,
specs/amba.spectra, 4, 43, 0.511,6.556,7.067,
specs/amba.spectra, 4, 44, 0.547,17.596,18.143,
specs/amba.spectra, 4, 45, 0.552,18.806,19.358,
specs/amba.spectra, 4, 46, 0.649,27.778,28.427,
specs/amba.spectra, 4, 47, 0.608,17.289,17.896,
specs/amba.spectra, 4, 48, 0.532,13.722,14.254,
specs/amba.spectra, 4, 49, 0.625,10.776,11.401,
specs/amba.spectra, 4, 50, 0.639,38.546,39.185,
specs/amba.spectra, 4, 51, 0.595,21.902,22.497,
specs/amba.spectra, 4, 52, 0.576,20.951,21.527,
