Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba.spectra, 4, -1, 0.630,8.974,9.603,
specs/amba.spectra, 4, 0, 0.616,15.704,16.320,
specs/amba.spectra, 4, 1, 0.700,19.019,19.719,
specs/amba.spectra, 4, 2, 0.685,16.938,17.623,
specs/amba.spectra, 4, 3, 0.691,13.653,14.343,
specs/amba.spectra, 4, 4, 0.713,13.389,14.102,
specs/amba.spectra, 4, 5, 0.709,18.536,19.245,
specs/amba.spectra, 4, 6, 0.679,13.809,14.488,
specs/amba.spectra, 4, 7, 0.613,13.012,13.625,
specs/amba.spectra, 4, 8, 0.744,17.729,18.473,
specs/amba.spectra, 4, 9, 0.672,12.564,13.236,
specs/amba.spectra, 4, 10, 0.721,15.864,16.586,
specs/amba.spectra, 4, 11, 0.623,10.424,11.047,
specs/amba.spectra, 4, 12, 0.665,7.551,8.216,
specs/amba.spectra, 4, 13, 0.701,2.520,3.221,
specs/amba.spectra, 4, 14, 0.644,12.959,13.604,
specs/amba.spectra, 4, 15, 0.711,5.979,6.690,
specs/amba.spectra, 4, 16, 0.655,17.896,18.551,
specs/amba.spectra, 4, 17, 0.629,12.446,13.075,
specs/amba.spectra, 4, 18, 0.614,12.014,12.628,
specs/amba.spectra, 4, 19, 0.713,14.822,15.535,
specs/amba.spectra, 4, 20, 0.806,18.280,19.086,
specs/amba.spectra, 4, 21, 0.680,15.260,15.939,
specs/amba.spectra, 4, 22, 0.849,3.315,4.165,
specs/amba.spectra, 4, 23, 0.716,2.995,3.711,
specs/amba.spectra, 4, 24, 0.736,3.873,4.609,
specs/amba.spectra, 4, 25, 0.738,21.229,21.967,
specs/amba.spectra, 4, 26, 0.999,12.347,13.346,
specs/amba.spectra, 4, 27, 0.783,14.679,15.461,
specs/amba.spectra, 4, 28, 0.891,13.995,14.886,
specs/amba.spectra, 4, 29, 1.119,21.739,22.858,
specs/amba.spectra, 4, 30, 0.950,14.542,15.492,
specs/amba.spectra, 4, 31, 0.850,10.275,11.125,
specs/amba.spectra, 4, 32, 0.963,16.133,17.096,
specs/amba.spectra, 4, 33, 0.986,11.437,12.423,
specs/amba.spectra, 4, 34, 0.943,13.820,14.762,
specs/amba.spectra, 4, 35, 0.880,17.049,17.930,
specs/amba.spectra, 4, 36, 0.895,10.135,11.030,
specs/amba.spectra, 4, 37, 0.951,13.290,14.241,
specs/amba.spectra, 4, 38, 0.867,12.331,13.198,
