Spec,Size,Remove,Prep.,Real. Check,Total
specs/amba.spectra,4,-1,0.548,17.833,18.381
specs/amba.spectra,4,0,0.595,24.682,25.278
specs/amba.spectra,4,1,0.572,20.056,20.629
specs/amba.spectra,4,2,0.589,16.738,17.327
specs/amba.spectra,4,3,0.548,27.199,27.747
specs/amba.spectra,4,4,0.535,15.32,15.855
specs/amba.spectra,4,5,0.539,33.725,34.264
specs/amba.spectra,4,6,0.545,15.869,16.415
specs/amba.spectra,4,7,0.584,15.658,16.242
specs/amba.spectra,4,8,0.558,16.496,17.054
specs/amba.spectra,4,9,0.574,17.038,17.612
specs/amba.spectra,4,10,0.585,17.666,18.251
specs/amba.spectra,4,11,0.535,15.068,15.603
specs/amba.spectra,4,12,0.528,12.762,13.291
specs/amba.spectra,4,13,0.537,3.142,3.678
specs/amba.spectra,4,14,0.535,17.843,18.378
specs/amba.spectra,4,15,0.524,6.416,6.941
specs/amba.spectra,4,16,0.543,17.225,17.768
specs/amba.spectra,4,17,0.528,17.822,18.35
specs/amba.spectra,4,18,0.546,16.986,17.532
specs/amba.spectra,4,19,0.561,15.446,16.008
specs/amba.spectra,4,20,0.551,17.43,17.981
specs/amba.spectra,4,21,0.537,16.009,16.547
specs/amba.spectra,4,22,0.549,2.784,3.333
specs/amba.spectra,4,23,0.531,3.588,4.119
specs/amba.spectra,4,24,0.533,2.685,3.218
specs/amba.spectra,4,25,0.535,24.737,25.272
specs/amba.spectra,4,26,0.494,15.253,15.748
specs/amba.spectra,4,27,0.533,14.122,14.655
specs/amba.spectra,4,28,0.574,16.674,17.248
specs/amba.spectra,4,29,0.587,16.522,17.109
specs/amba.spectra,4,30,0.513,15.796,16.31
specs/amba.spectra,4,31,0.55,21.081,21.631
specs/amba.spectra,4,32,0.599,19.219,19.818
specs/amba.spectra,4,33,0.586,15.346,15.932
specs/amba.spectra,4,34,0.532,14.625,15.157
specs/amba.spectra,4,35,0.554,16.587,17.141
specs/amba.spectra,4,36,0.537,13.775,14.311
specs/amba.spectra,4,37,0.562,12.712,13.274
specs/amba.spectra,4,38,0.581,17.682,18.263
specs/amba.spectra,4,39,0.546,17.838,18.384
specs/amba.spectra,4,40,0.547,16.256,16.803
specs/amba.spectra,4,41,0.592,0.968,1.56
specs/amba.spectra,4,42,0.561,2.032,2.593
specs/amba.spectra,4,43,0.597,5.673,6.271
specs/amba.spectra,4,44,0.609,16.16,16.769
specs/amba.spectra,4,45,0.584,12.769,13.353
specs/amba.spectra,4,46,0.576,14.399,14.975
specs/amba.spectra,4,47,0.63,10.941,11.571
specs/amba.spectra,4,48,0.629,10.945,11.574
specs/amba.spectra,4,49,0.604,8.149,8.753
specs/amba.spectra,4,50,0.603,23.665,24.267
specs/amba.spectra,4,51,0.602,14.507,15.109
specs/amba.spectra,4,52,0.577,19.134,19.71
specs/amba.spectra,4,53,0.575,12.934,13.509
specs/amba.spectra,4,54,0.579,17.5,18.079
specs/amba.spectra,4,55,0.594,17.064,17.657
specs/amba.spectra,4,56,0.61,20.39,21
specs/amba.spectra,4,60,0.593,16.643,17.236
specs/amba.spectra,4,61,0.593,9.426,10.018
specs/amba.spectra,4,65,0.568,15.689,16.257
specs/amba.spectra,4,66,0.598,17.904,18.502
specs/amba.spectra,4,67,0.551,16.869,17.419
specs/amba.spectra,4,68,0.609,18.444,19.052
specs/amba.spectra,4,69,0.588,15.978,16.566
specs/amba.spectra,4,70,0.608,1.975,2.583
specs/amba.spectra,4,71,0.589,4.197,4.786
specs/amba.spectra,5,-1,0.694,48.714,49.409
specs/amba.spectra,5,0,0.637,32.955,33.593
specs/amba.spectra,5,1,0.641,40.94,41.581
specs/amba.spectra,5,2,0.821,39.901,40.722
specs/amba.spectra,5,3,0.778,35,35.778
specs/amba.spectra,5,4,0.845,35.686,36.531
specs/amba.spectra,5,5,1.136,39.938,41.074
specs/amba.spectra,5,6,0.944,36.846,37.791
specs/amba.spectra,5,7,0.899,42.557,43.456
specs/amba.spectra,5,8,0.719,49.398,50.117
specs/amba.spectra,5,9,0.759,44.806,45.564
specs/amba.spectra,5,10,0.727,43.159,43.887
specs/amba.spectra,5,11,0.716,64.52,65.236
specs/amba.spectra,5,12,0.72,43.835,44.555
specs/amba.spectra,5,13,0.74,7.596,8.337
specs/amba.spectra,5,14,0.75,35.98,36.729
specs/amba.spectra,5,15,0.704,30.38,31.083
specs/amba.spectra,5,16,0.804,41.617,42.421
specs/amba.spectra,5,17,0.715,43.107,43.822
specs/amba.spectra,5,18,0.805,39.424,40.229
specs/amba.spectra,5,19,0.821,34.474,35.295
specs/amba.spectra,5,20,0.699,41.897,42.596
specs/amba.spectra,5,21,0.756,38.866,39.622
specs/amba.spectra,5,22,0.696,12.331,13.026
specs/amba.spectra,5,23,0.708,7.468,8.176
specs/amba.spectra,5,24,0.7,6.326,7.026
specs/amba.spectra,5,25,0.773,44.246,45.019
specs/amba.spectra,5,26,0.641,36.654,37.295
specs/amba.spectra,5,27,0.773,28.364,29.138
specs/amba.spectra,5,28,0.704,44.637,45.341
specs/amba.spectra,5,29,0.735,37.114,37.849
specs/amba.spectra,5,30,0.797,31.922,32.718
specs/amba.spectra,5,31,0.719,46.044,46.764
specs/amba.spectra,5,32,0.777,35.352,36.129
specs/amba.spectra,5,33,0.708,30.714,31.422
specs/amba.spectra,5,34,0.72,26.759,27.479
specs/amba.spectra,5,35,0.698,33.457,34.155
specs/amba.spectra,5,36,0.775,36.201,36.975
specs/amba.spectra,5,37,0.686,32.935,33.621
specs/amba.spectra,5,38,0.834,56.356,57.19
specs/amba.spectra,5,39,0.74,44.536,45.277
specs/amba.spectra,5,40,0.742,40.136,40.878
specs/amba.spectra,5,41,0.789,4.298,5.087
specs/amba.spectra,5,42,0.812,4.048,4.86
specs/amba.spectra,5,43,0.82,14.732,15.552
specs/amba.spectra,5,44,0.731,32.143,32.874
specs/amba.spectra,5,45,0.768,24.21,24.977
specs/amba.spectra,5,46,0.836,21.598,22.434
specs/amba.spectra,5,47,0.737,23.849,24.585
specs/amba.spectra,5,48,0.822,33.309,34.132
specs/amba.spectra,5,49,0.782,43.014,43.796
specs/amba.spectra,5,50,0.757,40.104,40.86
specs/amba.spectra,5,51,0.778,55.755,56.533
specs/amba.spectra,5,52,0.794,34.316,35.11
specs/amba.spectra,5,53,0.795,33.849,34.644
specs/amba.spectra,5,54,0.691,43.628,44.319
specs/amba.spectra,5,55,0.663,38.693,39.356
specs/amba.spectra,5,56,0.8,44.745,45.545
specs/amba.spectra,5,61,0.81,52.024,52.834
specs/amba.spectra,5,62,0.798,38.073,38.872
specs/amba.spectra,5,67,0.825,47.326,48.151
specs/amba.spectra,5,68,0.855,42.978,43.833
specs/amba.spectra,5,69,0.744,59.536,60.28
specs/amba.spectra,5,70,0.737,32.106,32.843
specs/amba.spectra,5,71,0.834,40.952,41.786
specs/amba.spectra,5,72,0.784,6.005,6.789
specs/amba.spectra,5,73,0.711,10.013,10.724
specs/amba.spectra,6,-1,0.833,61.859,62.692
specs/amba.spectra,6,0,0.736,72.698,73.434
specs/amba.spectra,6,1,0.735,55.042,55.777
specs/amba.spectra,6,2,0.838,60.794,61.632
specs/amba.spectra,6,3,0.749,59.913,60.663
specs/amba.spectra,6,4,0.727,65.518,66.245
specs/amba.spectra,6,5,0.789,65.023,65.812
specs/amba.spectra,6,6,0.65,59.415,60.064
specs/amba.spectra,6,7,0.752,61.534,62.286
specs/amba.spectra,6,8,0.846,62.744,63.589
specs/amba.spectra,6,9,0.703,64.663,65.366
specs/amba.spectra,6,10,0.847,61.479,62.326
specs/amba.spectra,6,11,0.78,52.762,53.542
specs/amba.spectra,6,12,0.811,48.649,49.459
specs/amba.spectra,6,13,0.799,13.89,14.689
specs/amba.spectra,6,14,0.773,30.358,31.131
specs/amba.spectra,6,15,0.743,36.145,36.889
specs/amba.spectra,6,16,0.767,66.812,67.579
specs/amba.spectra,6,17,0.756,48.388,49.144
specs/amba.spectra,6,18,0.716,62.535,63.251
specs/amba.spectra,6,19,0.764,60.161,60.925
specs/amba.spectra,6,20,0.674,84.336,85.01
specs/amba.spectra,6,21,0.653,54.789,55.442
specs/amba.spectra,6,22,0.689,30.86,31.549
specs/amba.spectra,6,23,0.682,13.689,14.371
specs/amba.spectra,6,24,0.719,12.842,13.561
specs/amba.spectra,6,25,0.709,47.062,47.77
specs/amba.spectra,6,26,0.687,48.736,49.424
specs/amba.spectra,6,27,0.697,49.095,49.793
specs/amba.spectra,6,28,0.731,53.754,54.485
specs/amba.spectra,6,29,0.698,56.796,57.493
specs/amba.spectra,6,30,0.707,46.218,46.925
specs/amba.spectra,6,31,0.69,60.924,61.614
specs/amba.spectra,6,32,0.606,51.212,51.818
specs/amba.spectra,6,33,0.656,40.621,41.277
specs/amba.spectra,6,34,0.651,45.146,45.797
specs/amba.spectra,6,35,0.639,40.556,41.196
specs/amba.spectra,6,36,0.642,49.342,49.983
specs/amba.spectra,6,37,0.677,51.805,52.482
specs/amba.spectra,6,38,0.758,53.97,54.728
specs/amba.spectra,6,39,0.699,55.272,55.971
specs/amba.spectra,6,40,0.693,56.018,56.711
specs/amba.spectra,6,41,0.637,3.534,4.17
specs/amba.spectra,6,42,0.673,7.077,7.75
specs/amba.spectra,6,43,0.647,15.308,15.954
specs/amba.spectra,6,44,0.683,53.023,53.707
specs/amba.spectra,6,45,0.689,27.828,28.517
specs/amba.spectra,6,46,0.632,32.429,33.061
specs/amba.spectra,6,47,0.672,34.717,35.388
specs/amba.spectra,6,48,0.65,44.944,45.593
specs/amba.spectra,6,49,0.657,53.17,53.827
specs/amba.spectra,6,50,0.685,52.383,53.068
specs/amba.spectra,6,51,0.683,54.299,54.982
specs/amba.spectra,6,52,0.67,59.497,60.166
specs/amba.spectra,6,53,0.705,57.384,58.089
specs/amba.spectra,6,54,0.687,54.832,55.519
specs/amba.spectra,6,55,0.694,59.912,60.605
specs/amba.spectra,6,56,0.699,70.76,71.458
specs/amba.spectra,6,62,0.679,65.161,65.84
specs/amba.spectra,6,63,0.649,48.528,49.177
specs/amba.spectra,6,69,0.663,61.678,62.341
specs/amba.spectra,6,70,0.687,57.073,57.76
specs/amba.spectra,6,71,0.623,57.476,58.099
specs/amba.spectra,6,72,0.675,58.463,59.138
specs/amba.spectra,6,73,0.652,76.843,77.495
specs/amba.spectra,6,74,0.614,7.599,8.213
specs/amba.spectra,6,75,0.638,11.733,12.371
specs/amba.spectra,7,-1,0.816,91.344,92.16
specs/amba.spectra,7,0,0.75,95.924,96.674
specs/amba.spectra,7,1,0.803,94.303,95.106
specs/amba.spectra,7,2,0.766,94.815,95.581
specs/amba.spectra,7,3,0.766,94.042,94.807
specs/amba.spectra,7,4,0.746,96.372,97.117
specs/amba.spectra,7,5,0.872,105.778,106.65
specs/amba.spectra,7,6,0.821,82.938,83.759
specs/amba.spectra,7,7,0.862,86.677,87.54
specs/amba.spectra,7,8,0.78,92.227,93.007
specs/amba.spectra,7,9,0.98,91.764,92.745
specs/amba.spectra,7,10,0.987,102.97,103.957
specs/amba.spectra,7,11,1.027,102.914,103.942
specs/amba.spectra,7,12,0.797,86.591,87.388
specs/amba.spectra,7,13,0.782,21.317,22.099
specs/amba.spectra,7,14,0.843,45.106,45.95
specs/amba.spectra,7,15,0.842,62.82,63.662
specs/amba.spectra,7,16,0.789,106.191,106.98
specs/amba.spectra,7,17,0.793,101.022,101.815
specs/amba.spectra,7,18,0.862,99.59,100.452
specs/amba.spectra,7,19,0.817,102.121,102.938
specs/amba.spectra,7,20,0.91,99.536,100.446
specs/amba.spectra,7,21,0.829,67.683,68.512
specs/amba.spectra,7,22,0.778,31.597,32.375
specs/amba.spectra,7,23,0.848,26.334,27.183
specs/amba.spectra,7,24,0.772,41.113,41.885
specs/amba.spectra,7,25,0.784,87.595,88.379
specs/amba.spectra,7,26,0.761,80.453,81.214
specs/amba.spectra,7,27,0.776,64.424,65.2
specs/amba.spectra,7,28,0.881,65.199,66.079
specs/amba.spectra,7,29,0.771,73.863,74.634
specs/amba.spectra,7,30,0.78,71.932,72.712
specs/amba.spectra,7,31,0.794,80.887,81.681
specs/amba.spectra,7,32,0.8,97.753,98.553
specs/amba.spectra,7,33,0.802,70.479,71.282
specs/amba.spectra,7,34,0.717,85.937,86.654
specs/amba.spectra,7,35,0.842,74.496,75.338
specs/amba.spectra,7,36,0.805,104.72,105.526
specs/amba.spectra,7,37,0.817,85.404,86.22
specs/amba.spectra,7,38,0.727,76.48,77.207
specs/amba.spectra,7,39,0.72,83.735,84.455
specs/amba.spectra,7,40,0.686,82.16,82.845
specs/amba.spectra,7,41,0.792,7.017,7.809
specs/amba.spectra,7,42,0.746,11.081,11.827
specs/amba.spectra,7,43,0.81,17.761,18.571
specs/amba.spectra,7,44,0.731,79.18,79.911
specs/amba.spectra,7,45,0.669,48.578,49.247
specs/amba.spectra,7,46,0.774,67.952,68.726
specs/amba.spectra,7,47,0.707,44.989,45.696
specs/amba.spectra,7,48,0.684,55.239,55.923
specs/amba.spectra,7,49,0.682,81.367,82.05
specs/amba.spectra,7,50,0.688,76.793,77.481
specs/amba.spectra,7,51,0.724,106.958,107.682
specs/amba.spectra,7,52,0.748,94.323,95.071
specs/amba.spectra,7,53,0.661,144.193,144.854
specs/amba.spectra,7,54,0.65,79.005,79.655
specs/amba.spectra,7,55,0.716,84.461,85.178
specs/amba.spectra,7,56,0.74,92.794,93.534
specs/amba.spectra,7,63,0.673,83.78,84.452
specs/amba.spectra,7,64,0.697,69.144,69.841
specs/amba.spectra,7,71,0.737,95.732,96.469
specs/amba.spectra,7,72,0.643,66.237,66.881
specs/amba.spectra,7,73,0.671,72.664,73.335
specs/amba.spectra,7,74,0.712,73.786,74.498
specs/amba.spectra,7,75,0.674,73.854,74.528
specs/amba.spectra,7,76,0.627,13.973,14.6
specs/amba.spectra,7,77,0.652,12.841,13.494
specs/amba.spectra,8,-1,0.733,106.607,107.34
specs/amba.spectra,8,0,0.749,120.679,121.428
specs/amba.spectra,8,1,0.721,95.677,96.397
specs/amba.spectra,8,2,0.735,96.026,96.76
specs/amba.spectra,8,3,0.793,120.454,121.247
specs/amba.spectra,8,4,0.743,112.573,113.316
specs/amba.spectra,8,5,0.75,95.496,96.245
specs/amba.spectra,8,6,0.707,137.616,138.323
specs/amba.spectra,8,7,0.742,95.446,96.188
specs/amba.spectra,8,8,0.696,80.91,81.606
specs/amba.spectra,8,9,0.771,101.287,102.058
specs/amba.spectra,8,10,0.738,86.396,87.133
specs/amba.spectra,8,11,0.756,122.457,123.213
specs/amba.spectra,8,12,0.687,91.451,92.138
specs/amba.spectra,8,13,0.667,24.239,24.906
specs/amba.spectra,8,14,0.669,54.784,55.453
specs/amba.spectra,8,15,0.721,75.385,76.106
specs/amba.spectra,8,16,0.76,93.499,94.258
specs/amba.spectra,8,17,0.687,115.378,116.065
specs/amba.spectra,8,18,0.766,97.092,97.859
specs/amba.spectra,8,19,0.779,104.537,105.315
specs/amba.spectra,8,20,0.735,110.382,111.117
