Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgf.spectra, 4, -1, 0.536,60.157,60.692,
specs/amba_unreal_wgf.spectra, 4, 0, 0.549,48.644,49.193,
specs/amba_unreal_wgf.spectra, 4, 1, 0.513,38.811,39.323,
specs/amba_unreal_wgf.spectra, 4, 2, 0.582,62.647,63.229,
specs/amba_unreal_wgf.spectra, 4, 3, 0.506,75.015,75.521,
specs/amba_unreal_wgf.spectra, 4, 4, 0.546,60.113,60.659,
specs/amba_unreal_wgf.spectra, 4, 5, 0.514,67.173,67.687,
specs/amba_unreal_wgf.spectra, 4, 6, 0.522,63.479,64.001,
specs/amba_unreal_wgf.spectra, 4, 7, 0.514,64.373,64.887,
specs/amba_unreal_wgf.spectra, 4, 8, 0.530,47.388,47.918,
specs/amba_unreal_wgf.spectra, 4, 9, 0.513,53.544,54.056,
specs/amba_unreal_wgf.spectra, 4, 10, 0.564,54.565,55.129,
specs/amba_unreal_wgf.spectra, 4, 11, 0.542,61.349,61.891,
specs/amba_unreal_wgf.spectra, 4, 12, 0.548,29.360,29.908,
specs/amba_unreal_wgf.spectra, 4, 13, 0.526,17.297,17.823,
specs/amba_unreal_wgf.spectra, 4, 14, 0.576,51.156,51.732,
specs/amba_unreal_wgf.spectra, 4, 15, 0.682,37.056,37.738,
specs/amba_unreal_wgf.spectra, 4, 16, 0.603,67.384,67.986,
specs/amba_unreal_wgf.spectra, 4, 17, 0.574,75.924,76.498,
specs/amba_unreal_wgf.spectra, 4, 18, 0.560,57.529,58.089,
specs/amba_unreal_wgf.spectra, 4, 19, 0.552,47.833,48.386,
specs/amba_unreal_wgf.spectra, 4, 20, 0.497,66.640,67.137,
specs/amba_unreal_wgf.spectra, 4, 21, 0.515,64.016,64.531,
specs/amba_unreal_wgf.spectra, 4, 22, 0.541,28.394,28.935,
specs/amba_unreal_wgf.spectra, 4, 23, 0.490,13.810,14.300,
specs/amba_unreal_wgf.spectra, 4, 24, 0.516,8.107,8.623,
specs/amba_unreal_wgf.spectra, 4, 25, 0.520,80.880,81.400,
specs/amba_unreal_wgf.spectra, 4, 26, 0.518,39.807,40.324,
specs/amba_unreal_wgf.spectra, 4, 27, 0.535,52.064,52.599,
specs/amba_unreal_wgf.spectra, 4, 28, 0.524,47.021,47.545,
specs/amba_unreal_wgf.spectra, 4, 29, 0.509,46.588,47.096,
specs/amba_unreal_wgf.spectra, 4, 30, 0.486,43.875,44.361,
specs/amba_unreal_wgf.spectra, 4, 31, 0.518,57.156,57.674,
specs/amba_unreal_wgf.spectra, 4, 32, 0.529,40.817,41.346,
specs/amba_unreal_wgf.spectra, 4, 33, 0.537,37.165,37.702,
specs/amba_unreal_wgf.spectra, 4, 34, 0.568,34.111,34.680,
specs/amba_unreal_wgf.spectra, 4, 35, 0.493,51.639,52.132,
specs/amba_unreal_wgf.spectra, 4, 36, 0.527,56.598,57.125,
specs/amba_unreal_wgf.spectra, 4, 37, 0.535,53.583,54.118,
specs/amba_unreal_wgf.spectra, 4, 38, 0.518,60.540,61.058,
specs/amba_unreal_wgf.spectra, 4, 39, 0.504,60.810,61.314,
specs/amba_unreal_wgf.spectra, 4, 40, 0.513,59.093,59.606,
specs/amba_unreal_wgf.spectra, 4, 41, 0.517,1.473,1.990,
specs/amba_unreal_wgf.spectra, 4, 42, 0.538,8.330,8.868,
specs/amba_unreal_wgf.spectra, 4, 43, 0.508,12.240,12.748,
specs/amba_unreal_wgf.spectra, 4, 44, 0.527,26.567,27.095,
specs/amba_unreal_wgf.spectra, 4, 45, 0.527,35.489,36.015,
specs/amba_unreal_wgf.spectra, 4, 46, 0.511,37.867,38.379,
specs/amba_unreal_wgf.spectra, 4, 47, 0.501,40.264,40.765,
specs/amba_unreal_wgf.spectra, 4, 48, 0.484,29.036,29.520,
specs/amba_unreal_wgf.spectra, 4, 49, 0.535,38.439,38.975,
specs/amba_unreal_wgf.spectra, 4, 50, 0.490,54.364,54.854,
specs/amba_unreal_wgf.spectra, 4, 51, 0.487,53.426,53.913,
specs/amba_unreal_wgf.spectra, 4, 52, 0.484,73.332,73.817,
specs/amba_unreal_wgf.spectra, 4, 53, 0.499,47.452,47.951,
specs/amba_unreal_wgf.spectra, 4, 54, 0.504,80.929,81.433,
specs/amba_unreal_wgf.spectra, 4, 55, 0.502,51.002,51.504,
specs/amba_unreal_wgf.spectra, 4, 56, 0.501,60.770,61.270,
specs/amba_unreal_wgf.spectra, 4, 60, 0.519,64.322,64.841,
specs/amba_unreal_wgf.spectra, 4, 61, 0.508,45.632,46.140,
specs/amba_unreal_wgf.spectra, 4, 65, 0.521,61.855,62.375,
specs/amba_unreal_wgf.spectra, 4, 66, 0.498,54.287,54.784,
specs/amba_unreal_wgf.spectra, 4, 67, 0.521,51.073,51.594,
specs/amba_unreal_wgf.spectra, 4, 68, 0.486,47.231,47.718,
specs/amba_unreal_wgf.spectra, 4, 69, 0.511,76.088,76.599,
specs/amba_unreal_wgf.spectra, 4, 70, 0.502,50.758,51.260,
specs/amba_unreal_wgf.spectra, 4, 71, 0.492,24.837,25.329,
specs/amba_unreal_wgf.spectra, 4, 72, 0.523,5.346,5.869,
specs/amba_unreal_wgf.spectra, 4, 73, 0.497,13.030,13.526,
specs/amba_unreal_wgf.spectra, 5, -1, 0.527,73.821,74.348,
specs/amba_unreal_wgf.spectra, 5, 0, 0.530,79.262,79.791,
specs/amba_unreal_wgf.spectra, 5, 1, 0.536,69.176,69.712,
specs/amba_unreal_wgf.spectra, 5, 2, 0.551,66.471,67.022,
specs/amba_unreal_wgf.spectra, 5, 3, 0.531,72.190,72.722,
specs/amba_unreal_wgf.spectra, 5, 4, 0.529,72.308,72.836,
specs/amba_unreal_wgf.spectra, 5, 5, 0.534,58.930,59.464,
specs/amba_unreal_wgf.spectra, 5, 6, 0.560,68.318,68.878,
specs/amba_unreal_wgf.spectra, 5, 7, 0.531,74.029,74.560,
specs/amba_unreal_wgf.spectra, 5, 8, 0.515,68.688,69.203,
specs/amba_unreal_wgf.spectra, 5, 9, 0.550,67.297,67.848,
specs/amba_unreal_wgf.spectra, 5, 10, 0.530,63.899,64.429,
specs/amba_unreal_wgf.spectra, 5, 11, 0.493,62.302,62.796,
