Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgf.spectra, 4, -1, 0.546,20.532,21.077,
specs/amba_unreal_wgf.spectra, 4, 0, 0.552,24.333,24.885,
specs/amba_unreal_wgf.spectra, 4, 1, 0.560,26.755,27.315,
specs/amba_unreal_wgf.spectra, 4, 2, 0.540,35.547,36.087,
specs/amba_unreal_wgf.spectra, 4, 3, 0.571,25.430,26.002,
specs/amba_unreal_wgf.spectra, 4, 4, 0.530,33.969,34.499,
specs/amba_unreal_wgf.spectra, 4, 5, 0.543,25.013,25.556,
specs/amba_unreal_wgf.spectra, 4, 6, 0.544,29.987,30.532,
specs/amba_unreal_wgf.spectra, 4, 7, 0.508,23.303,23.811,
specs/amba_unreal_wgf.spectra, 4, 8, 0.569,26.128,26.697,
specs/amba_unreal_wgf.spectra, 4, 9, 0.551,23.021,23.572,
specs/amba_unreal_wgf.spectra, 4, 10, 0.525,25.294,25.818,
specs/amba_unreal_wgf.spectra, 4, 11, 0.579,21.106,21.686,
specs/amba_unreal_wgf.spectra, 4, 12, 0.540,10.884,11.424,
specs/amba_unreal_wgf.spectra, 4, 13, 0.519,7.353,7.872,
specs/amba_unreal_wgf.spectra, 4, 14, 0.552,23.794,24.346,
specs/amba_unreal_wgf.spectra, 4, 15, 0.532,10.332,10.864,
specs/amba_unreal_wgf.spectra, 4, 16, 0.529,26.870,27.399,
specs/amba_unreal_wgf.spectra, 4, 17, 0.529,22.866,23.395,
specs/amba_unreal_wgf.spectra, 4, 18, 0.530,22.314,22.844,
specs/amba_unreal_wgf.spectra, 4, 19, 0.529,20.243,20.772,
specs/amba_unreal_wgf.spectra, 4, 20, 0.529,16.948,17.476,
specs/amba_unreal_wgf.spectra, 4, 21, 0.541,22.579,23.119,
specs/amba_unreal_wgf.spectra, 4, 22, 0.498,10.303,10.801,
specs/amba_unreal_wgf.spectra, 4, 23, 0.540,6.941,7.481,
specs/amba_unreal_wgf.spectra, 4, 24, 0.511,3.528,4.039,
specs/amba_unreal_wgf.spectra, 4, 25, 0.565,35.858,36.423,
specs/amba_unreal_wgf.spectra, 4, 26, 0.563,24.727,25.290,
specs/amba_unreal_wgf.spectra, 4, 27, 0.527,21.556,22.083,
specs/amba_unreal_wgf.spectra, 4, 28, 0.505,20.268,20.773,
specs/amba_unreal_wgf.spectra, 4, 29, 0.549,25.469,26.018,
specs/amba_unreal_wgf.spectra, 4, 30, 0.517,25.647,26.163,
specs/amba_unreal_wgf.spectra, 4, 31, 0.539,16.362,16.901,
specs/amba_unreal_wgf.spectra, 4, 32, 0.512,22.541,23.053,
specs/amba_unreal_wgf.spectra, 4, 33, 0.523,15.249,15.772,
specs/amba_unreal_wgf.spectra, 4, 34, 0.508,16.581,17.088,
specs/amba_unreal_wgf.spectra, 4, 35, 0.518,30.904,31.422,
specs/amba_unreal_wgf.spectra, 4, 36, 0.534,35.922,36.456,
specs/amba_unreal_wgf.spectra, 4, 37, 0.544,24.782,25.326,
specs/amba_unreal_wgf.spectra, 4, 38, 0.542,19.928,20.470,
specs/amba_unreal_wgf.spectra, 4, 39, 0.547,15.727,16.274,
specs/amba_unreal_wgf.spectra, 4, 40, 0.539,38.251,38.790,
specs/amba_unreal_wgf.spectra, 4, 41, 0.534,1.646,2.181,
specs/amba_unreal_wgf.spectra, 4, 42, 0.492,5.353,5.845,
specs/amba_unreal_wgf.spectra, 4, 43, 0.548,9.590,10.138,
specs/amba_unreal_wgf.spectra, 4, 44, 0.520,13.985,14.504,
specs/amba_unreal_wgf.spectra, 4, 45, 0.557,15.854,16.411,
specs/amba_unreal_wgf.spectra, 4, 46, 0.565,15.655,16.220,
specs/amba_unreal_wgf.spectra, 4, 47, 0.525,16.537,17.062,
specs/amba_unreal_wgf.spectra, 4, 48, 0.528,11.666,12.194,
specs/amba_unreal_wgf.spectra, 4, 49, 0.506,19.465,19.971,
specs/amba_unreal_wgf.spectra, 4, 50, 0.588,20.475,21.063,
specs/amba_unreal_wgf.spectra, 4, 51, 0.497,26.546,27.044,
specs/amba_unreal_wgf.spectra, 4, 52, 0.558,27.718,28.276,
specs/amba_unreal_wgf.spectra, 4, 53, 0.497,35.734,36.231,
specs/amba_unreal_wgf.spectra, 4, 54, 0.512,29.731,30.243,
specs/amba_unreal_wgf.spectra, 4, 55, 0.522,15.301,15.823,
specs/amba_unreal_wgf.spectra, 4, 56, 0.561,23.268,23.829,
specs/amba_unreal_wgf.spectra, 4, 60, 0.527,21.988,22.515,
specs/amba_unreal_wgf.spectra, 4, 61, 0.499,15.256,15.756,
specs/amba_unreal_wgf.spectra, 4, 65, 0.549,43.700,44.249,
specs/amba_unreal_wgf.spectra, 4, 66, 0.558,27.144,27.703,
specs/amba_unreal_wgf.spectra, 4, 67, 0.538,20.764,21.303,
specs/amba_unreal_wgf.spectra, 4, 68, 0.525,18.958,19.483,
specs/amba_unreal_wgf.spectra, 4, 69, 0.515,26.497,27.012,
specs/amba_unreal_wgf.spectra, 4, 70, 0.518,15.530,16.048,
specs/amba_unreal_wgf.spectra, 4, 71, 0.547,7.112,7.660,
specs/amba_unreal_wgf.spectra, 4, 72, 0.528,3.411,3.940,
specs/amba_unreal_wgf.spectra, 4, 73, 0.520,8.501,9.022,
specs/amba_unreal_wgf.spectra, 5, -1, 0.536,28.083,28.618,
specs/amba_unreal_wgf.spectra, 5, 0, 0.522,31.477,31.998,
specs/amba_unreal_wgf.spectra, 5, 1, 0.564,33.044,33.608,
specs/amba_unreal_wgf.spectra, 5, 2, 0.563,23.342,23.905,
specs/amba_unreal_wgf.spectra, 5, 3, 0.541,28.146,28.687,
specs/amba_unreal_wgf.spectra, 5, 4, 0.565,21.611,22.176,
specs/amba_unreal_wgf.spectra, 5, 5, 0.570,28.101,28.671,
specs/amba_unreal_wgf.spectra, 5, 6, 0.588,34.504,35.091,
specs/amba_unreal_wgf.spectra, 5, 7, 0.542,22.626,23.168,
specs/amba_unreal_wgf.spectra, 5, 8, 0.531,37.640,38.171,
