Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgf.spectra, 4, -1, 0.564,33.005,33.569,
specs/amba_unreal_wgf.spectra, 4, 0, 0.558,29.108,29.666,
specs/amba_unreal_wgf.spectra, 4, 1, 0.495,22.586,23.081,
specs/amba_unreal_wgf.spectra, 4, 2, 0.516,38.413,38.929,
specs/amba_unreal_wgf.spectra, 4, 3, 0.549,42.781,43.330,
specs/amba_unreal_wgf.spectra, 4, 4, 0.614,31.944,32.558,
specs/amba_unreal_wgf.spectra, 4, 5, 0.513,27.092,27.605,
specs/amba_unreal_wgf.spectra, 4, 6, 0.528,27.666,28.194,
specs/amba_unreal_wgf.spectra, 4, 7, 0.518,24.894,25.412,
specs/amba_unreal_wgf.spectra, 4, 8, 0.505,31.660,32.165,
specs/amba_unreal_wgf.spectra, 4, 9, 0.525,27.767,28.293,
specs/amba_unreal_wgf.spectra, 4, 10, 0.512,28.088,28.601,
specs/amba_unreal_wgf.spectra, 4, 11, 0.508,37.462,37.970,
specs/amba_unreal_wgf.spectra, 4, 12, 0.536,22.504,23.039,
specs/amba_unreal_wgf.spectra, 4, 13, 0.500,10.562,11.062,
specs/amba_unreal_wgf.spectra, 4, 14, 0.499,25.159,25.658,
specs/amba_unreal_wgf.spectra, 4, 15, 0.563,25.414,25.977,
specs/amba_unreal_wgf.spectra, 4, 16, 0.508,34.634,35.142,
specs/amba_unreal_wgf.spectra, 4, 17, 0.488,37.805,38.292,
specs/amba_unreal_wgf.spectra, 4, 18, 0.512,22.438,22.950,
specs/amba_unreal_wgf.spectra, 4, 19, 0.528,21.664,22.193,
specs/amba_unreal_wgf.spectra, 4, 20, 0.511,25.912,26.422,
specs/amba_unreal_wgf.spectra, 4, 21, 0.501,20.677,21.178,
specs/amba_unreal_wgf.spectra, 4, 22, 0.513,15.820,16.333,
specs/amba_unreal_wgf.spectra, 4, 23, 0.482,8.558,9.040,
specs/amba_unreal_wgf.spectra, 4, 24, 0.536,5.843,6.379,
specs/amba_unreal_wgf.spectra, 4, 25, 0.507,53.614,54.121,
specs/amba_unreal_wgf.spectra, 4, 26, 0.527,22.763,23.291,
specs/amba_unreal_wgf.spectra, 4, 27, 0.516,25.225,25.741,
specs/amba_unreal_wgf.spectra, 4, 28, 0.508,24.087,24.595,
specs/amba_unreal_wgf.spectra, 4, 29, 0.516,28.895,29.411,
specs/amba_unreal_wgf.spectra, 4, 30, 0.533,28.485,29.017,
specs/amba_unreal_wgf.spectra, 4, 31, 0.526,19.459,19.985,
specs/amba_unreal_wgf.spectra, 4, 32, 0.496,28.151,28.647,
specs/amba_unreal_wgf.spectra, 4, 33, 0.571,25.047,25.618,
specs/amba_unreal_wgf.spectra, 4, 34, 0.568,19.658,20.225,
specs/amba_unreal_wgf.spectra, 4, 35, 0.504,32.559,33.063,
specs/amba_unreal_wgf.spectra, 4, 36, 0.539,26.054,26.594,
specs/amba_unreal_wgf.spectra, 4, 37, 0.521,40.333,40.854,
specs/amba_unreal_wgf.spectra, 4, 38, 0.531,28.616,29.147,
specs/amba_unreal_wgf.spectra, 4, 39, 0.534,30.628,31.162,
specs/amba_unreal_wgf.spectra, 4, 40, 0.528,33.417,33.944,
specs/amba_unreal_wgf.spectra, 4, 41, 0.509,1.186,1.695,
specs/amba_unreal_wgf.spectra, 4, 42, 0.528,5.674,6.203,
specs/amba_unreal_wgf.spectra, 4, 43, 0.508,7.902,8.410,
specs/amba_unreal_wgf.spectra, 4, 44, 0.549,18.610,19.160,
specs/amba_unreal_wgf.spectra, 4, 45, 0.541,19.134,19.674,
specs/amba_unreal_wgf.spectra, 4, 46, 0.543,19.374,19.917,
specs/amba_unreal_wgf.spectra, 4, 47, 0.554,23.162,23.716,
specs/amba_unreal_wgf.spectra, 4, 48, 0.518,11.948,12.466,
specs/amba_unreal_wgf.spectra, 4, 49, 0.577,24.348,24.925,
specs/amba_unreal_wgf.spectra, 4, 50, 0.544,28.091,28.635,
specs/amba_unreal_wgf.spectra, 4, 51, 0.554,26.652,27.206,
specs/amba_unreal_wgf.spectra, 4, 52, 0.577,42.282,42.860,
specs/amba_unreal_wgf.spectra, 4, 53, 0.732,46.292,47.023,
specs/amba_unreal_wgf.spectra, 4, 54, 0.715,37.496,38.212,
specs/amba_unreal_wgf.spectra, 4, 55, 0.640,35.648,36.289,
specs/amba_unreal_wgf.spectra, 4, 56, 0.640,23.337,23.977,
specs/amba_unreal_wgf.spectra, 4, 60, 0.644,40.112,40.755,
specs/amba_unreal_wgf.spectra, 4, 61, 0.793,27.608,28.401,
specs/amba_unreal_wgf.spectra, 4, 65, 0.641,42.969,43.610,
specs/amba_unreal_wgf.spectra, 4, 66, 0.610,31.192,31.801,
specs/amba_unreal_wgf.spectra, 4, 67, 0.628,30.968,31.596,
specs/amba_unreal_wgf.spectra, 4, 68, 0.595,22.255,22.851,
specs/amba_unreal_wgf.spectra, 4, 69, 0.550,38.662,39.212,
specs/amba_unreal_wgf.spectra, 4, 70, 0.718,32.683,33.401,
specs/amba_unreal_wgf.spectra, 4, 71, 0.599,13.212,13.811,
specs/amba_unreal_wgf.spectra, 4, 72, 0.619,5.283,5.902,
specs/amba_unreal_wgf.spectra, 4, 73, 0.647,13.452,14.099,
specs/amba_unreal_wgf.spectra, 5, -1, 0.586,37.781,38.367,
specs/amba_unreal_wgf.spectra, 5, 0, 0.543,37.456,37.999,
specs/amba_unreal_wgf.spectra, 5, 1, 0.564,37.026,37.590,
specs/amba_unreal_wgf.spectra, 5, 2, 0.553,27.831,28.384,
specs/amba_unreal_wgf.spectra, 5, 3, 0.550,33.532,34.082,
specs/amba_unreal_wgf.spectra, 5, 4, 0.610,43.079,43.689,
specs/amba_unreal_wgf.spectra, 5, 5, 0.640,42.724,43.364,
specs/amba_unreal_wgf.spectra, 5, 6, 0.605,37.110,37.715,
specs/amba_unreal_wgf.spectra, 5, 7, 0.598,39.474,40.072,
specs/amba_unreal_wgf.spectra, 5, 8, 0.647,40.553,41.199,
specs/amba_unreal_wgf.spectra, 5, 9, 0.553,34.925,35.478,
specs/amba_unreal_wgf.spectra, 5, 10, 0.538,41.126,41.664,
specs/amba_unreal_wgf.spectra, 5, 11, 0.569,33.410,33.979,
specs/amba_unreal_wgf.spectra, 5, 12, 0.607,37.248,37.855,
specs/amba_unreal_wgf.spectra, 5, 13, 0.581,13.908,14.489,
