Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgt.spectra, 4, -1, 0.587,0.684,1.271,
specs/amba_unreal_wgt.spectra, 4, 0, 0.586,0.232,0.818,
specs/amba_unreal_wgt.spectra, 4, 1, 0.569,0.173,0.742,
specs/amba_unreal_wgt.spectra, 4, 2, 0.581,0.216,0.797,
specs/amba_unreal_wgt.spectra, 4, 3, 0.575,0.808,1.383,
specs/amba_unreal_wgt.spectra, 4, 4, 0.615,0.707,1.322,
specs/amba_unreal_wgt.spectra, 4, 5, 0.629,0.611,1.241,
specs/amba_unreal_wgt.spectra, 4, 6, 0.547,0.434,0.981,
specs/amba_unreal_wgt.spectra, 4, 7, 0.580,0.250,0.831,
specs/amba_unreal_wgt.spectra, 4, 8, 0.572,0.192,0.763,
specs/amba_unreal_wgt.spectra, 4, 9, 0.580,0.162,0.742,
specs/amba_unreal_wgt.spectra, 4, 10, 0.564,0.278,0.843,
specs/amba_unreal_wgt.spectra, 4, 11, 0.565,0.138,0.703,
specs/amba_unreal_wgt.spectra, 4, 12, 0.580,0.474,1.054,
specs/amba_unreal_wgt.spectra, 4, 13, 0.553,18.886,19.438,
specs/amba_unreal_wgt.spectra, 4, 14, 0.578,0.221,0.799,
specs/amba_unreal_wgt.spectra, 4, 15, 0.546,0.114,0.659,
specs/amba_unreal_wgt.spectra, 4, 16, 0.541,0.216,0.756,
specs/amba_unreal_wgt.spectra, 4, 17, 0.586,0.180,0.765,
specs/amba_unreal_wgt.spectra, 4, 18, 0.576,0.181,0.757,
specs/amba_unreal_wgt.spectra, 4, 19, 0.585,0.316,0.901,
specs/amba_unreal_wgt.spectra, 4, 20, 0.561,0.129,0.690,
specs/amba_unreal_wgt.spectra, 4, 21, 0.555,0.289,0.844,
specs/amba_unreal_wgt.spectra, 4, 22, 0.575,0.096,0.671,
specs/amba_unreal_wgt.spectra, 4, 23, 0.599,0.196,0.795,
specs/amba_unreal_wgt.spectra, 4, 24, 0.570,0.111,0.681,
specs/amba_unreal_wgt.spectra, 4, 25, 0.560,0.601,1.161,
specs/amba_unreal_wgt.spectra, 4, 26, 0.603,0.617,1.221,
specs/amba_unreal_wgt.spectra, 4, 27, 0.553,0.452,1.005,
specs/amba_unreal_wgt.spectra, 4, 28, 0.599,0.342,0.941,
specs/amba_unreal_wgt.spectra, 4, 29, 0.607,0.550,1.156,
specs/amba_unreal_wgt.spectra, 4, 30, 0.610,0.337,0.947,
specs/amba_unreal_wgt.spectra, 4, 31, 0.600,0.251,0.851,
specs/amba_unreal_wgt.spectra, 4, 32, 0.551,0.371,0.922,
specs/amba_unreal_wgt.spectra, 4, 33, 0.585,0.298,0.883,
specs/amba_unreal_wgt.spectra, 4, 34, 0.552,0.425,0.978,
specs/amba_unreal_wgt.spectra, 4, 35, 0.568,0.510,1.077,
specs/amba_unreal_wgt.spectra, 4, 36, 0.560,0.352,0.911,
specs/amba_unreal_wgt.spectra, 4, 37, 0.583,0.506,1.089,
specs/amba_unreal_wgt.spectra, 4, 38, 0.605,0.645,1.251,
specs/amba_unreal_wgt.spectra, 4, 39, 0.561,0.545,1.106,
specs/amba_unreal_wgt.spectra, 4, 40, 0.532,0.270,0.802,
specs/amba_unreal_wgt.spectra, 4, 41, 0.624,0.239,0.862,
specs/amba_unreal_wgt.spectra, 4, 42, 0.557,0.209,0.766,
specs/amba_unreal_wgt.spectra, 4, 43, 0.580,0.170,0.749,
specs/amba_unreal_wgt.spectra, 4, 44, 0.558,0.187,0.745,
specs/amba_unreal_wgt.spectra, 4, 45, 0.653,0.195,0.849,
specs/amba_unreal_wgt.spectra, 4, 46, 0.589,0.169,0.758,
specs/amba_unreal_wgt.spectra, 4, 47, 0.681,0.163,0.844,
specs/amba_unreal_wgt.spectra, 4, 48, 0.562,0.179,0.741,
specs/amba_unreal_wgt.spectra, 4, 49, 0.572,0.312,0.883,
specs/amba_unreal_wgt.spectra, 4, 50, 0.548,0.157,0.705,
specs/amba_unreal_wgt.spectra, 4, 51, 0.580,0.183,0.764,
specs/amba_unreal_wgt.spectra, 4, 52, 0.614,0.243,0.857,
specs/amba_unreal_wgt.spectra, 4, 53, 0.602,0.145,0.747,
specs/amba_unreal_wgt.spectra, 4, 54, 0.608,0.296,0.904,
specs/amba_unreal_wgt.spectra, 4, 55, 0.531,0.721,1.251,
specs/amba_unreal_wgt.spectra, 4, 56, 0.582,73.073,73.654,
specs/amba_unreal_wgt.spectra, 4, 57, 0.554,0.255,0.809,
specs/amba_unreal_wgt.spectra, 4, 61, 0.550,0.593,1.143,
specs/amba_unreal_wgt.spectra, 4, 62, 0.564,0.286,0.849,
specs/amba_unreal_wgt.spectra, 4, 66, 0.542,0.674,1.216,
specs/amba_unreal_wgt.spectra, 4, 67, 0.590,0.222,0.812,
specs/amba_unreal_wgt.spectra, 4, 68, 0.557,0.175,0.733,
specs/amba_unreal_wgt.spectra, 4, 69, 0.542,0.499,1.041,
specs/amba_unreal_wgt.spectra, 4, 70, 0.563,0.691,1.254,
specs/amba_unreal_wgt.spectra, 4, 71, 0.567,0.106,0.673,
specs/amba_unreal_wgt.spectra, 4, 72, 0.576,0.213,0.789,
specs/amba_unreal_wgt.spectra, 4, 73, 0.592,0.295,0.886,
specs/amba_unreal_wgt.spectra, 5, -1, 0.543,0.260,0.803,
specs/amba_unreal_wgt.spectra, 5, 0, 0.568,0.460,1.028,
specs/amba_unreal_wgt.spectra, 5, 1, 0.600,0.199,0.799,
specs/amba_unreal_wgt.spectra, 5, 2, 0.618,0.298,0.915,
specs/amba_unreal_wgt.spectra, 5, 3, 0.586,0.246,0.832,
specs/amba_unreal_wgt.spectra, 5, 4, 0.588,0.243,0.830,
specs/amba_unreal_wgt.spectra, 5, 5, 0.585,0.251,0.836,
specs/amba_unreal_wgt.spectra, 5, 6, 0.553,0.219,0.772,
specs/amba_unreal_wgt.spectra, 5, 7, 0.591,0.260,0.851,
specs/amba_unreal_wgt.spectra, 5, 8, 0.598,0.224,0.823,
specs/amba_unreal_wgt.spectra, 5, 9, 0.548,0.227,0.776,
specs/amba_unreal_wgt.spectra, 5, 10, 0.555,0.249,0.804,
specs/amba_unreal_wgt.spectra, 5, 11, 0.580,0.221,0.801,
specs/amba_unreal_wgt.spectra, 5, 12, 0.637,0.391,1.028,
specs/amba_unreal_wgt.spectra, 5, 13, 0.559,16.691,17.250,
specs/amba_unreal_wgt.spectra, 5, 14, 0.606,0.234,0.840,
specs/amba_unreal_wgt.spectra, 5, 15, 0.547,0.193,0.740,
specs/amba_unreal_wgt.spectra, 5, 16, 0.584,0.261,0.845,
specs/amba_unreal_wgt.spectra, 5, 17, 0.622,0.269,0.891,
specs/amba_unreal_wgt.spectra, 5, 18, 0.555,0.200,0.755,
specs/amba_unreal_wgt.spectra, 5, 19, 0.572,0.247,0.819,
specs/amba_unreal_wgt.spectra, 5, 20, 0.643,0.282,0.925,
specs/amba_unreal_wgt.spectra, 5, 21, 0.594,0.339,0.933,
specs/amba_unreal_wgt.spectra, 5, 22, 0.590,0.235,0.825,
specs/amba_unreal_wgt.spectra, 5, 23, 0.573,0.221,0.794,
specs/amba_unreal_wgt.spectra, 5, 24, 0.602,0.123,0.725,
specs/amba_unreal_wgt.spectra, 5, 25, 0.602,0.250,0.852,
specs/amba_unreal_wgt.spectra, 5, 26, 0.635,0.251,0.886,
