Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgt.spectra, 4, -1, 0.552,0.533,1.084,
specs/amba_unreal_wgt.spectra, 4, 0, 0.539,0.253,0.792,
specs/amba_unreal_wgt.spectra, 4, 1, 0.516,0.169,0.685,
specs/amba_unreal_wgt.spectra, 4, 2, 0.523,0.229,0.752,
specs/amba_unreal_wgt.spectra, 4, 3, 0.530,0.598,1.127,
specs/amba_unreal_wgt.spectra, 4, 4, 0.554,0.563,1.117,
specs/amba_unreal_wgt.spectra, 4, 5, 0.536,0.590,1.127,
specs/amba_unreal_wgt.spectra, 4, 6, 0.556,0.415,0.971,
specs/amba_unreal_wgt.spectra, 4, 7, 0.547,0.253,0.800,
specs/amba_unreal_wgt.spectra, 4, 8, 0.551,0.178,0.729,
specs/amba_unreal_wgt.spectra, 4, 9, 0.511,0.139,0.650,
specs/amba_unreal_wgt.spectra, 4, 10, 0.569,0.227,0.796,
specs/amba_unreal_wgt.spectra, 4, 11, 0.548,0.118,0.666,
specs/amba_unreal_wgt.spectra, 4, 12, 0.534,0.408,0.942,
specs/amba_unreal_wgt.spectra, 4, 13, 0.499,10.366,10.865,
specs/amba_unreal_wgt.spectra, 4, 14, 0.573,0.214,0.787,
specs/amba_unreal_wgt.spectra, 4, 15, 0.541,0.108,0.649,
specs/amba_unreal_wgt.spectra, 4, 16, 0.537,0.200,0.737,
specs/amba_unreal_wgt.spectra, 4, 17, 0.533,0.157,0.690,
specs/amba_unreal_wgt.spectra, 4, 18, 0.550,0.191,0.741,
specs/amba_unreal_wgt.spectra, 4, 19, 0.499,0.275,0.773,
specs/amba_unreal_wgt.spectra, 4, 20, 0.526,0.117,0.643,
specs/amba_unreal_wgt.spectra, 4, 21, 0.541,0.275,0.816,
specs/amba_unreal_wgt.spectra, 4, 22, 0.539,0.106,0.645,
specs/amba_unreal_wgt.spectra, 4, 23, 0.508,0.205,0.712,
specs/amba_unreal_wgt.spectra, 4, 24, 0.537,0.112,0.649,
specs/amba_unreal_wgt.spectra, 4, 25, 0.505,0.472,0.976,
specs/amba_unreal_wgt.spectra, 4, 26, 0.517,0.391,0.908,
specs/amba_unreal_wgt.spectra, 4, 27, 0.570,0.543,1.113,
specs/amba_unreal_wgt.spectra, 4, 28, 0.537,0.438,0.974,
specs/amba_unreal_wgt.spectra, 4, 29, 0.546,0.466,1.012,
specs/amba_unreal_wgt.spectra, 4, 30, 0.544,0.328,0.872,
specs/amba_unreal_wgt.spectra, 4, 31, 0.568,0.232,0.800,
specs/amba_unreal_wgt.spectra, 4, 32, 0.560,0.343,0.903,
specs/amba_unreal_wgt.spectra, 4, 33, 0.539,0.368,0.907,
specs/amba_unreal_wgt.spectra, 4, 34, 0.522,0.404,0.926,
specs/amba_unreal_wgt.spectra, 4, 35, 0.561,0.487,1.048,
specs/amba_unreal_wgt.spectra, 4, 36, 0.559,0.364,0.922,
specs/amba_unreal_wgt.spectra, 4, 37, 0.583,0.466,1.049,
specs/amba_unreal_wgt.spectra, 4, 38, 0.542,0.644,1.186,
specs/amba_unreal_wgt.spectra, 4, 39, 0.544,0.285,0.829,
specs/amba_unreal_wgt.spectra, 4, 40, 0.521,0.291,0.812,
specs/amba_unreal_wgt.spectra, 4, 41, 0.544,0.217,0.761,
specs/amba_unreal_wgt.spectra, 4, 42, 0.510,0.173,0.683,
specs/amba_unreal_wgt.spectra, 4, 43, 0.532,0.170,0.702,
specs/amba_unreal_wgt.spectra, 4, 44, 0.527,0.178,0.705,
specs/amba_unreal_wgt.spectra, 4, 45, 0.534,0.173,0.708,
specs/amba_unreal_wgt.spectra, 4, 46, 0.533,0.153,0.686,
specs/amba_unreal_wgt.spectra, 4, 47, 0.521,0.163,0.684,
specs/amba_unreal_wgt.spectra, 4, 48, 0.514,0.154,0.668,
specs/amba_unreal_wgt.spectra, 4, 49, 0.551,0.247,0.798,
specs/amba_unreal_wgt.spectra, 4, 50, 0.568,0.192,0.760,
specs/amba_unreal_wgt.spectra, 4, 51, 0.560,0.208,0.768,
specs/amba_unreal_wgt.spectra, 4, 52, 0.566,0.226,0.792,
specs/amba_unreal_wgt.spectra, 4, 53, 0.543,0.124,0.667,
specs/amba_unreal_wgt.spectra, 4, 54, 0.550,0.288,0.837,
specs/amba_unreal_wgt.spectra, 4, 55, 0.534,0.711,1.245,
specs/amba_unreal_wgt.spectra, 4, 56, 0.552,32.403,32.954,
specs/amba_unreal_wgt.spectra, 4, 57, 0.544,0.363,0.907,
specs/amba_unreal_wgt.spectra, 4, 61, 0.571,0.541,1.112,
specs/amba_unreal_wgt.spectra, 4, 62, 0.574,0.286,0.861,
specs/amba_unreal_wgt.spectra, 4, 66, 0.553,0.485,1.038,
specs/amba_unreal_wgt.spectra, 4, 67, 0.535,0.192,0.727,
specs/amba_unreal_wgt.spectra, 4, 68, 0.530,0.154,0.685,
specs/amba_unreal_wgt.spectra, 4, 69, 0.563,0.440,1.003,
specs/amba_unreal_wgt.spectra, 4, 70, 0.555,0.439,0.994,
specs/amba_unreal_wgt.spectra, 4, 71, 0.532,0.101,0.634,
specs/amba_unreal_wgt.spectra, 4, 72, 0.555,0.221,0.776,
specs/amba_unreal_wgt.spectra, 4, 73, 0.547,0.228,0.775,
specs/amba_unreal_wgt.spectra, 5, -1, 0.541,0.249,0.790,
specs/amba_unreal_wgt.spectra, 5, 0, 0.532,0.395,0.927,
specs/amba_unreal_wgt.spectra, 5, 1, 0.630,0.187,0.817,
specs/amba_unreal_wgt.spectra, 5, 2, 0.564,0.298,0.862,
specs/amba_unreal_wgt.spectra, 5, 3, 0.542,0.247,0.789,
specs/amba_unreal_wgt.spectra, 5, 4, 0.591,0.238,0.829,
specs/amba_unreal_wgt.spectra, 5, 5, 0.563,0.242,0.805,
specs/amba_unreal_wgt.spectra, 5, 6, 0.577,0.230,0.808,
specs/amba_unreal_wgt.spectra, 5, 7, 0.596,0.260,0.857,
specs/amba_unreal_wgt.spectra, 5, 8, 0.546,0.248,0.794,
specs/amba_unreal_wgt.spectra, 5, 9, 0.582,0.221,0.804,
specs/amba_unreal_wgt.spectra, 5, 10, 0.539,0.214,0.753,
specs/amba_unreal_wgt.spectra, 5, 11, 0.581,0.224,0.804,
specs/amba_unreal_wgt.spectra, 5, 12, 0.585,0.347,0.933,
specs/amba_unreal_wgt.spectra, 5, 13, 0.538,10.336,10.874,
specs/amba_unreal_wgt.spectra, 5, 14, 0.537,0.285,0.823,
specs/amba_unreal_wgt.spectra, 5, 15, 0.564,0.230,0.794,
specs/amba_unreal_wgt.spectra, 5, 16, 0.583,0.254,0.836,
specs/amba_unreal_wgt.spectra, 5, 17, 0.607,0.262,0.868,
specs/amba_unreal_wgt.spectra, 5, 18, 0.572,0.262,0.834,
specs/amba_unreal_wgt.spectra, 5, 19, 0.549,0.230,0.780,
specs/amba_unreal_wgt.spectra, 5, 20, 0.587,0.295,0.882,
specs/amba_unreal_wgt.spectra, 5, 21, 0.562,0.339,0.901,
specs/amba_unreal_wgt.spectra, 5, 22, 0.571,0.212,0.783,
specs/amba_unreal_wgt.spectra, 5, 23, 0.539,0.218,0.757,
specs/amba_unreal_wgt.spectra, 5, 24, 0.559,0.127,0.687,
specs/amba_unreal_wgt.spectra, 5, 25, 0.544,0.217,0.761,
specs/amba_unreal_wgt.spectra, 5, 26, 0.581,0.265,0.846,
specs/amba_unreal_wgt.spectra, 5, 27, 0.561,0.278,0.839,
specs/amba_unreal_wgt.spectra, 5, 28, 0.566,0.179,0.745,
specs/amba_unreal_wgt.spectra, 5, 29, 0.544,0.196,0.740,
specs/amba_unreal_wgt.spectra, 5, 30, 0.537,0.251,0.788,
specs/amba_unreal_wgt.spectra, 5, 31, 0.538,0.183,0.721,
specs/amba_unreal_wgt.spectra, 5, 32, 0.577,0.204,0.781,
specs/amba_unreal_wgt.spectra, 5, 33, 0.565,0.234,0.798,
specs/amba_unreal_wgt.spectra, 5, 34, 0.576,0.169,0.745,
specs/amba_unreal_wgt.spectra, 5, 35, 0.572,0.267,0.839,
specs/amba_unreal_wgt.spectra, 5, 36, 0.567,0.236,0.804,
specs/amba_unreal_wgt.spectra, 5, 37, 0.579,0.164,0.743,
specs/amba_unreal_wgt.spectra, 5, 38, 0.542,0.249,0.792,
specs/amba_unreal_wgt.spectra, 5, 39, 0.585,0.251,0.836,
specs/amba_unreal_wgt.spectra, 5, 40, 0.588,0.255,0.842,
specs/amba_unreal_wgt.spectra, 5, 41, 0.573,0.136,0.709,
specs/amba_unreal_wgt.spectra, 5, 42, 0.555,0.195,0.750,
specs/amba_unreal_wgt.spectra, 5, 43, 0.576,0.300,0.877,
specs/amba_unreal_wgt.spectra, 5, 44, 0.577,0.319,0.896,
specs/amba_unreal_wgt.spectra, 5, 45, 0.565,0.378,0.944,
specs/amba_unreal_wgt.spectra, 5, 46, 0.502,0.363,0.866,
specs/amba_unreal_wgt.spectra, 5, 47, 0.557,0.351,0.908,
specs/amba_unreal_wgt.spectra, 5, 48, 0.568,0.260,0.828,
specs/amba_unreal_wgt.spectra, 5, 49, 0.552,0.805,1.357,
specs/amba_unreal_wgt.spectra, 5, 50, 0.539,0.252,0.791,
specs/amba_unreal_wgt.spectra, 5, 51, 0.591,0.260,0.851,
specs/amba_unreal_wgt.spectra, 5, 52, 0.569,0.273,0.843,
specs/amba_unreal_wgt.spectra, 5, 53, 0.533,0.218,0.751,
specs/amba_unreal_wgt.spectra, 5, 54, 0.570,0.238,0.808,
specs/amba_unreal_wgt.spectra, 5, 55, 0.546,0.270,0.817,
specs/amba_unreal_wgt.spectra, 5, 56, 0.576,36.375,36.951,
specs/amba_unreal_wgt.spectra, 5, 57, 0.537,0.368,0.905,
specs/amba_unreal_wgt.spectra, 5, 62, 0.558,0.169,0.726,
specs/amba_unreal_wgt.spectra, 5, 63, 0.533,0.257,0.790,
specs/amba_unreal_wgt.spectra, 5, 68, 0.541,0.257,0.799,
specs/amba_unreal_wgt.spectra, 5, 69, 0.601,0.305,0.906,
specs/amba_unreal_wgt.spectra, 5, 70, 0.551,0.337,0.888,
specs/amba_unreal_wgt.spectra, 5, 71, 0.551,0.237,0.788,
specs/amba_unreal_wgt.spectra, 5, 72, 0.573,0.240,0.813,
specs/amba_unreal_wgt.spectra, 5, 73, 0.554,0.163,0.716,
specs/amba_unreal_wgt.spectra, 5, 74, 0.554,0.252,0.805,
specs/amba_unreal_wgt.spectra, 5, 75, 0.542,0.246,0.788,
specs/amba_unreal_wgt.spectra, 6, -1, 0.593,0.599,1.192,
specs/amba_unreal_wgt.spectra, 6, 0, 0.589,0.495,1.084,
specs/amba_unreal_wgt.spectra, 6, 1, 0.571,0.339,0.910,
specs/amba_unreal_wgt.spectra, 6, 2, 0.579,0.457,1.037,
specs/amba_unreal_wgt.spectra, 6, 3, 0.562,0.514,1.076,
specs/amba_unreal_wgt.spectra, 6, 4, 0.577,0.461,1.038,
specs/amba_unreal_wgt.spectra, 6, 5, 0.613,0.344,0.957,
specs/amba_unreal_wgt.spectra, 6, 6, 0.631,0.403,1.033,
specs/amba_unreal_wgt.spectra, 6, 7, 0.632,0.522,1.154,
specs/amba_unreal_wgt.spectra, 6, 8, 0.581,0.473,1.055,
specs/amba_unreal_wgt.spectra, 6, 9, 0.619,0.356,0.975,
specs/amba_unreal_wgt.spectra, 6, 10, 0.612,0.447,1.059,
specs/amba_unreal_wgt.spectra, 6, 11, 0.630,0.540,1.170,
specs/amba_unreal_wgt.spectra, 6, 12, 0.648,0.653,1.301,
specs/amba_unreal_wgt.spectra, 6, 13, 0.628,11.673,12.301,
specs/amba_unreal_wgt.spectra, 6, 14, 0.641,0.290,0.931,
