Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_wgt.spectra, 4, -1, 0.577,0.423,1.000,
specs/amba_unreal_wgt.spectra, 4, 0, 0.543,0.223,0.766,
specs/amba_unreal_wgt.spectra, 4, 1, 0.534,0.146,0.680,
specs/amba_unreal_wgt.spectra, 4, 2, 0.525,0.231,0.756,
specs/amba_unreal_wgt.spectra, 4, 3, 0.532,0.574,1.106,
specs/amba_unreal_wgt.spectra, 4, 4, 0.522,0.485,1.007,
specs/amba_unreal_wgt.spectra, 4, 5, 0.557,0.448,1.004,
specs/amba_unreal_wgt.spectra, 4, 6, 0.557,0.726,1.283,
specs/amba_unreal_wgt.spectra, 4, 7, 0.574,0.255,0.829,
specs/amba_unreal_wgt.spectra, 4, 8, 0.550,0.193,0.743,
specs/amba_unreal_wgt.spectra, 4, 9, 0.598,0.158,0.756,
specs/amba_unreal_wgt.spectra, 4, 10, 0.596,0.364,0.960,
specs/amba_unreal_wgt.spectra, 4, 11, 0.547,0.140,0.687,
specs/amba_unreal_wgt.spectra, 4, 12, 0.587,0.444,1.031,
specs/amba_unreal_wgt.spectra, 4, 13, 0.545,17.305,17.850,
specs/amba_unreal_wgt.spectra, 4, 14, 0.524,0.178,0.702,
specs/amba_unreal_wgt.spectra, 4, 15, 0.529,0.105,0.634,
specs/amba_unreal_wgt.spectra, 4, 16, 0.558,0.202,0.760,
specs/amba_unreal_wgt.spectra, 4, 17, 0.541,0.161,0.702,
specs/amba_unreal_wgt.spectra, 4, 18, 0.552,0.189,0.741,
specs/amba_unreal_wgt.spectra, 4, 19, 0.540,0.301,0.840,
specs/amba_unreal_wgt.spectra, 4, 20, 0.575,0.140,0.715,
specs/amba_unreal_wgt.spectra, 4, 21, 0.550,0.269,0.819,
specs/amba_unreal_wgt.spectra, 4, 22, 0.585,0.096,0.680,
specs/amba_unreal_wgt.spectra, 4, 23, 0.550,0.177,0.728,
specs/amba_unreal_wgt.spectra, 4, 24, 0.509,0.103,0.611,
specs/amba_unreal_wgt.spectra, 4, 25, 0.563,0.517,1.080,
specs/amba_unreal_wgt.spectra, 4, 26, 0.528,0.548,1.077,
specs/amba_unreal_wgt.spectra, 4, 27, 0.601,0.430,1.031,
specs/amba_unreal_wgt.spectra, 4, 28, 0.600,0.354,0.954,
specs/amba_unreal_wgt.spectra, 4, 29, 0.541,0.618,1.159,
specs/amba_unreal_wgt.spectra, 4, 30, 0.553,0.322,0.875,
specs/amba_unreal_wgt.spectra, 4, 31, 0.547,0.190,0.737,
specs/amba_unreal_wgt.spectra, 4, 32, 0.549,0.507,1.057,
specs/amba_unreal_wgt.spectra, 4, 33, 0.549,0.309,0.857,
specs/amba_unreal_wgt.spectra, 4, 34, 0.528,0.351,0.879,
specs/amba_unreal_wgt.spectra, 4, 35, 0.570,0.685,1.255,
specs/amba_unreal_wgt.spectra, 4, 36, 0.541,0.311,0.852,
specs/amba_unreal_wgt.spectra, 4, 37, 0.578,0.360,0.938,
specs/amba_unreal_wgt.spectra, 4, 38, 0.544,0.677,1.221,
specs/amba_unreal_wgt.spectra, 4, 39, 0.533,0.463,0.996,
specs/amba_unreal_wgt.spectra, 4, 40, 0.539,0.278,0.817,
specs/amba_unreal_wgt.spectra, 4, 41, 0.534,0.207,0.740,
specs/amba_unreal_wgt.spectra, 4, 42, 0.537,0.183,0.720,
specs/amba_unreal_wgt.spectra, 4, 43, 0.551,0.189,0.741,
specs/amba_unreal_wgt.spectra, 4, 44, 0.528,0.168,0.696,
specs/amba_unreal_wgt.spectra, 4, 45, 0.561,0.172,0.733,
specs/amba_unreal_wgt.spectra, 4, 46, 0.522,0.165,0.687,
specs/amba_unreal_wgt.spectra, 4, 47, 0.530,0.166,0.695,
specs/amba_unreal_wgt.spectra, 4, 48, 0.538,0.160,0.699,
specs/amba_unreal_wgt.spectra, 4, 49, 0.544,0.266,0.810,
specs/amba_unreal_wgt.spectra, 4, 50, 0.542,0.172,0.714,
specs/amba_unreal_wgt.spectra, 4, 51, 0.526,0.182,0.708,
specs/amba_unreal_wgt.spectra, 4, 52, 0.572,0.215,0.787,
specs/amba_unreal_wgt.spectra, 4, 53, 0.512,0.123,0.636,
specs/amba_unreal_wgt.spectra, 4, 54, 0.587,0.319,0.906,
specs/amba_unreal_wgt.spectra, 4, 55, 0.572,0.745,1.317,
specs/amba_unreal_wgt.spectra, 4, 56, 0.560,39.304,39.863,
specs/amba_unreal_wgt.spectra, 4, 57, 0.548,0.389,0.937,
specs/amba_unreal_wgt.spectra, 4, 61, 0.600,0.484,1.084,
specs/amba_unreal_wgt.spectra, 4, 62, 0.556,0.283,0.839,
specs/amba_unreal_wgt.spectra, 4, 66, 0.565,0.571,1.136,
specs/amba_unreal_wgt.spectra, 4, 67, 0.591,0.231,0.822,
specs/amba_unreal_wgt.spectra, 4, 68, 0.575,0.177,0.752,
specs/amba_unreal_wgt.spectra, 4, 69, 0.601,0.396,0.997,
specs/amba_unreal_wgt.spectra, 4, 70, 0.588,0.463,1.051,
