Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_woaf.spectra, 4, -1, 0.678,5.875,6.554,
specs/amba_unreal_woaf.spectra, 4, 0, 0.537,11.877,12.415,
specs/amba_unreal_woaf.spectra, 4, 1, 0.536,12.245,12.781,
specs/amba_unreal_woaf.spectra, 4, 2, 0.519,5.378,5.897,
specs/amba_unreal_woaf.spectra, 4, 3, 0.515,5.210,5.725,
specs/amba_unreal_woaf.spectra, 4, 4, 0.523,6.136,6.659,
specs/amba_unreal_woaf.spectra, 4, 5, 0.545,2.746,3.291,
specs/amba_unreal_woaf.spectra, 4, 6, 0.575,6.188,6.763,
specs/amba_unreal_woaf.spectra, 4, 7, 0.531,5.977,6.507,
specs/amba_unreal_woaf.spectra, 4, 8, 0.532,6.290,6.823,
specs/amba_unreal_woaf.spectra, 4, 9, 0.587,6.252,6.840,
specs/amba_unreal_woaf.spectra, 4, 10, 0.541,6.759,7.299,
specs/amba_unreal_woaf.spectra, 4, 11, 0.555,6.263,6.818,
specs/amba_unreal_woaf.spectra, 4, 12, 0.653,2.027,2.681,
specs/amba_unreal_woaf.spectra, 4, 13, 0.571,7.406,7.977,
specs/amba_unreal_woaf.spectra, 4, 14, 0.550,6.780,7.330,
specs/amba_unreal_woaf.spectra, 4, 15, 0.526,5.082,5.609,
specs/amba_unreal_woaf.spectra, 4, 16, 0.562,7.219,7.780,
specs/amba_unreal_woaf.spectra, 4, 17, 0.553,5.667,6.220,
specs/amba_unreal_woaf.spectra, 4, 18, 0.593,6.744,7.338,
specs/amba_unreal_woaf.spectra, 4, 19, 0.575,5.810,6.385,
specs/amba_unreal_woaf.spectra, 4, 20, 0.619,6.198,6.817,
specs/amba_unreal_woaf.spectra, 4, 21, 0.560,6.328,6.888,
specs/amba_unreal_woaf.spectra, 4, 22, 0.577,5.789,6.366,
specs/amba_unreal_woaf.spectra, 4, 23, 0.537,4.600,5.136,
specs/amba_unreal_woaf.spectra, 4, 24, 0.555,1.891,2.447,
specs/amba_unreal_woaf.spectra, 4, 25, 0.591,6.431,7.021,
