Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_woaf.spectra, 4, -1, 0.533,3.052,3.585,
specs/amba_unreal_woaf.spectra, 4, 0, 0.520,6.064,6.583,
specs/amba_unreal_woaf.spectra, 4, 1, 0.519,8.552,9.071,
specs/amba_unreal_woaf.spectra, 4, 2, 0.506,2.717,3.222,
specs/amba_unreal_woaf.spectra, 4, 3, 0.526,3.019,3.545,
specs/amba_unreal_woaf.spectra, 4, 4, 0.551,2.688,3.239,
specs/amba_unreal_woaf.spectra, 4, 5, 0.553,1.611,2.164,
specs/amba_unreal_woaf.spectra, 4, 6, 0.520,2.582,3.102,
specs/amba_unreal_woaf.spectra, 4, 7, 0.508,3.731,4.239,
specs/amba_unreal_woaf.spectra, 4, 8, 0.536,2.872,3.408,
specs/amba_unreal_woaf.spectra, 4, 9, 0.528,3.766,4.294,
specs/amba_unreal_woaf.spectra, 4, 10, 0.515,3.658,4.173,
specs/amba_unreal_woaf.spectra, 4, 11, 0.519,3.934,4.453,
specs/amba_unreal_woaf.spectra, 4, 12, 0.544,1.346,1.890,
specs/amba_unreal_woaf.spectra, 4, 13, 0.493,3.917,4.410,
specs/amba_unreal_woaf.spectra, 4, 14, 0.527,4.057,4.584,
specs/amba_unreal_woaf.spectra, 4, 15, 0.499,2.328,2.827,
specs/amba_unreal_woaf.spectra, 4, 16, 0.511,4.169,4.680,
specs/amba_unreal_woaf.spectra, 4, 17, 0.504,3.423,3.927,
specs/amba_unreal_woaf.spectra, 4, 18, 0.513,3.174,3.687,
specs/amba_unreal_woaf.spectra, 4, 19, 0.505,3.369,3.874,
specs/amba_unreal_woaf.spectra, 4, 20, 0.508,3.810,4.318,
specs/amba_unreal_woaf.spectra, 4, 21, 0.494,3.788,4.282,
specs/amba_unreal_woaf.spectra, 4, 22, 0.502,1.580,2.083,
specs/amba_unreal_woaf.spectra, 4, 23, 0.530,2.317,2.847,
specs/amba_unreal_woaf.spectra, 4, 24, 0.523,0.872,1.395,
specs/amba_unreal_woaf.spectra, 4, 25, 0.481,2.057,2.538,
specs/amba_unreal_woaf.spectra, 4, 26, 0.520,3.228,3.748,
specs/amba_unreal_woaf.spectra, 4, 27, 0.527,2.483,3.010,
specs/amba_unreal_woaf.spectra, 4, 28, 0.514,2.893,3.407,
specs/amba_unreal_woaf.spectra, 4, 29, 0.527,2.287,2.814,
