Spec,Size,Remove,Prep.,Real. Check,Total,
specs/amba_unreal_woaf.spectra, 4, -1, 0.553,4.867,5.420,
specs/amba_unreal_woaf.spectra, 4, 0, 0.540,10.181,10.721,
specs/amba_unreal_woaf.spectra, 4, 1, 0.547,11.487,12.034,
specs/amba_unreal_woaf.spectra, 4, 2, 0.578,4.384,4.962,
specs/amba_unreal_woaf.spectra, 4, 3, 0.581,4.834,5.415,
specs/amba_unreal_woaf.spectra, 4, 4, 0.566,3.795,4.361,
specs/amba_unreal_woaf.spectra, 4, 5, 0.542,3.182,3.724,
specs/amba_unreal_woaf.spectra, 4, 6, 0.549,3.642,4.191,
specs/amba_unreal_woaf.spectra, 4, 7, 0.602,5.118,5.721,
specs/amba_unreal_woaf.spectra, 4, 8, 0.527,4.212,4.738,
specs/amba_unreal_woaf.spectra, 4, 9, 0.544,5.289,5.833,
specs/amba_unreal_woaf.spectra, 4, 10, 0.558,5.505,6.063,
specs/amba_unreal_woaf.spectra, 4, 11, 0.556,4.576,5.132,
specs/amba_unreal_woaf.spectra, 4, 12, 0.538,2.247,2.785,
specs/amba_unreal_woaf.spectra, 4, 13, 0.540,5.440,5.980,
specs/amba_unreal_woaf.spectra, 4, 14, 0.535,6.512,7.047,
specs/amba_unreal_woaf.spectra, 4, 15, 0.540,3.796,4.336,
specs/amba_unreal_woaf.spectra, 4, 16, 0.561,6.456,7.017,
specs/amba_unreal_woaf.spectra, 4, 17, 0.585,3.699,4.284,
specs/amba_unreal_woaf.spectra, 4, 18, 0.527,4.390,4.917,
specs/amba_unreal_woaf.spectra, 4, 19, 0.531,4.249,4.779,
specs/amba_unreal_woaf.spectra, 4, 20, 0.549,4.768,5.318,
specs/amba_unreal_woaf.spectra, 4, 21, 0.523,4.068,4.591,
specs/amba_unreal_woaf.spectra, 4, 22, 0.541,2.881,3.422,
specs/amba_unreal_woaf.spectra, 4, 23, 0.526,2.975,3.501,
specs/amba_unreal_woaf.spectra, 4, 24, 0.530,1.428,1.958,
specs/amba_unreal_woaf.spectra, 4, 25, 0.547,4.721,5.268,
specs/amba_unreal_woaf.spectra, 4, 26, 0.540,4.014,4.555,
specs/amba_unreal_woaf.spectra, 4, 27, 0.541,3.757,4.299,
specs/amba_unreal_woaf.spectra, 4, 28, 0.529,4.140,4.669,
specs/amba_unreal_woaf.spectra, 4, 29, 0.586,3.821,4.407,
specs/amba_unreal_woaf.spectra, 4, 30, 0.543,4.110,4.652,
specs/amba_unreal_woaf.spectra, 4, 31, 0.580,3.786,4.365,
specs/amba_unreal_woaf.spectra, 4, 32, 0.565,4.173,4.738,
