Spec,Size,Remove,Prep.,Real. Check,Total,
specs/dining.spectra, 5, -1, 0.671,0.180,0.851,
specs/dining.spectra, 5, 0, 0.680,0.174,0.854,
specs/dining.spectra, 5, 1, 0.678,0.122,0.800,
specs/dining.spectra, 5, 2, 0.656,0.174,0.830,
specs/dining.spectra, 5, 3, 0.682,0.109,0.791,
specs/dining.spectra, 5, 4, 0.673,0.076,0.749,
specs/dining.spectra, 5, 10, 0.700,0.190,0.890,
specs/dining.spectra, 5, 11, 0.691,0.073,0.764,
specs/dining.spectra, 8, -1, 0.757,1.142,1.898,
specs/dining.spectra, 8, 0, 0.759,1.198,1.957,
specs/dining.spectra, 8, 1, 0.716,1.368,2.084,
specs/dining.spectra, 8, 2, 0.724,3.347,4.070,
specs/dining.spectra, 8, 3, 0.740,0.720,1.461,
specs/dining.spectra, 8, 4, 0.715,0.667,1.382,
specs/dining.spectra, 8, 13, 0.734,1.817,2.551,
specs/dining.spectra, 8, 14, 0.742,0.396,1.139,
specs/dining.spectra, 11, -1, 0.807,11.320,12.127,
specs/dining.spectra, 11, 0, 0.819,10.938,11.758,
specs/dining.spectra, 11, 1, 0.790,4.787,5.577,
specs/dining.spectra, 11, 2, 0.788,11.636,12.424,
specs/dining.spectra, 11, 3, 0.800,2.566,3.366,
specs/dining.spectra, 11, 4, 0.771,5.129,5.901,
specs/dining.spectra, 11, 16, 0.830,8.994,9.824,
specs/dining.spectra, 11, 17, 0.806,1.700,2.506,
specs/dining.spectra, 14, -1, 1.022,36.849,37.871,
specs/dining.spectra, 14, 0, 0.991,38.189,39.180,
specs/dining.spectra, 14, 1, 0.851,16.831,17.682,
specs/dining.spectra, 14, 2, 1.010,44.763,45.773,
specs/dining.spectra, 14, 3, 1.057,32.685,33.743,
specs/dining.spectra, 14, 4, 1.042,27.444,28.486,
specs/dining.spectra, 14, 19, 0.967,43.703,44.669,
specs/dining.spectra, 14, 20, 1.024,5.510,6.535,
specs/dining.spectra, 17, -1, 4.241,119.508,123.749,
specs/dining.spectra, 17, 0, 4.266,116.431,120.697,
specs/dining.spectra, 17, 1, 2.548,51.238,53.786,
specs/dining.spectra, 17, 2, 4.039,145.073,149.111,
specs/dining.spectra, 17, 3, 14.193,326.015,340.208,
specs/dining.spectra, 17, 4, 4.200,54.623,58.823,
specs/dining.spectra, 17, 22, 4.366,132.943,137.308,
specs/dining.spectra, 17, 23, 1.282,11.246,12.529,
specs/dining.spectra, 20, -1, 19.226,311.591,330.816,
specs/dining.spectra, 20, 0, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 1, 11.476,111.294,122.769,
specs/dining.spectra, 20, 2, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 3, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 4, 19.116,110.646,129.762,
specs/dining.spectra, 20, 25, 41.422,299.942,341.363,
specs/dining.spectra, 20, 26, 1.497,37.984,39.481,
