Spec,Size,Remove,Prep.,Real. Check,Total,
specs/example_arbiter.spectra, 50, -1, 0.792,0.338,1.130,
specs/example_arbiter.spectra, 50, 0, 0.807,0.201,1.008,
specs/example_arbiter.spectra, 50, 1, 0.798,0.339,1.137,
specs/example_arbiter.spectra, 50, 51, 0.817,0.265,1.082,
specs/example_arbiter.spectra, 50, 52, 0.766,0.014,0.779,
specs/example_arbiter.spectra, 50, 53, 0.622,0.476,1.098,
specs/example_arbiter.spectra, 50, 54, 0.818,0.246,1.064,
specs/example_arbiter.spectra, 75, -1, 1.748,1.625,3.373,
specs/example_arbiter.spectra, 75, 0, 1.597,0.947,2.545,
specs/example_arbiter.spectra, 75, 1, 1.769,1.309,3.079,
specs/example_arbiter.spectra, 75, 76, 1.750,1.347,3.096,
specs/example_arbiter.spectra, 75, 77, 1.636,0.154,1.790,
specs/example_arbiter.spectra, 75, 78, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 75, 79, 1.757,0.865,2.622,
specs/example_arbiter.spectra, 100, -1, 3.216,2.890,6.106,
specs/example_arbiter.spectra, 100, 0, 3.211,1.637,4.847,
specs/example_arbiter.spectra, 100, 1, 3.208,2.773,5.981,
specs/example_arbiter.spectra, 100, 101, 3.213,2.133,5.345,
specs/example_arbiter.spectra, 100, 102, 2.940,0.177,3.117,
specs/example_arbiter.spectra, 100, 103, 1.983,8.594,10.577,
specs/example_arbiter.spectra, 100, 104, 3.201,2.003,5.204,
specs/example_arbiter.spectra, 125, -1, 5.367,6.343,11.710,
specs/example_arbiter.spectra, 125, 0, 5.176,2.914,8.090,
specs/example_arbiter.spectra, 125, 1, 5.340,5.081,10.421,
specs/example_arbiter.spectra, 125, 126, 5.387,5.163,10.550,
specs/example_arbiter.spectra, 125, 127, 4.645,0.394,5.039,
specs/example_arbiter.spectra, 125, 128, 3.409,16.151,19.559,
specs/example_arbiter.spectra, 125, 129, 5.284,3.320,8.604,
specs/example_arbiter.spectra, 150, -1, 9.468,12.335,21.803,
specs/example_arbiter.spectra, 150, 0, 9.080,5.807,14.887,
specs/example_arbiter.spectra, 150, 1, 9.473,10.474,19.946,
specs/example_arbiter.spectra, 150, 151, 9.463,9.573,19.036,
specs/example_arbiter.spectra, 150, 152, 8.474,0.620,9.095,
specs/example_arbiter.spectra, 150, 153, 6.112,30.440,36.552,
specs/example_arbiter.spectra, 150, 154, 9.505,6.511,16.015,
specs/example_arbiter.spectra, 175, -1, 14.465,20.987,35.451,
specs/example_arbiter.spectra, 175, 0, 14.305,9.876,24.181,
specs/example_arbiter.spectra, 175, 1, 14.447,18.012,32.459,
specs/example_arbiter.spectra, 175, 176, 14.462,15.756,30.218,
specs/example_arbiter.spectra, 175, 177, 13.058,0.859,13.917,
specs/example_arbiter.spectra, 175, 178, 8.985,42.812,51.798,
specs/example_arbiter.spectra, 175, 179, 14.377,10.526,24.903,
specs/example_arbiter.spectra, 200, -1, 22.615,30.057,52.672,
specs/example_arbiter.spectra, 200, 0, 21.071,17.748,38.819,
specs/example_arbiter.spectra, 200, 1, 22.694,29.481,52.176,
specs/example_arbiter.spectra, 200, 201, 20.942,24.260,45.202,
specs/example_arbiter.spectra, 200, 202, 19.989,0.194,20.183,
specs/example_arbiter.spectra, 200, 203, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 204, 22.374,17.059,39.434,
