Spec,Size,Remove,Prep.,Real. Check,Total,
specs/example_arbiter.spectra, 50, -1, 0.779,1.926,2.705,
specs/example_arbiter.spectra, 50, 0, 0.737,1.677,2.415,
specs/example_arbiter.spectra, 50, 1, 0.770,1.130,1.900,
specs/example_arbiter.spectra, 50, 51, 0.771,0.999,1.771,
specs/example_arbiter.spectra, 50, 52, 0.764,0.171,0.935,
specs/example_arbiter.spectra, 50, 53, 0.621,2.479,3.100,
specs/example_arbiter.spectra, 50, 54, 0.778,0.602,1.380,
specs/example_arbiter.spectra, 75, -1, 1.756,5.901,7.657,
specs/example_arbiter.spectra, 75, 0, 1.617,11.184,12.801,
specs/example_arbiter.spectra, 75, 1, 1.767,6.400,8.168,
specs/example_arbiter.spectra, 75, 76, 1.749,5.782,7.531,
specs/example_arbiter.spectra, 75, 77, 1.613,0.563,2.176,
specs/example_arbiter.spectra, 75, 78, 1.123,24.014,25.138,
specs/example_arbiter.spectra, 75, 79, 1.761,1.827,3.588,
specs/example_arbiter.spectra, 100, -1, 3.243,46.973,50.215,
specs/example_arbiter.spectra, 100, 0, 3.241,20.133,23.374,
specs/example_arbiter.spectra, 100, 1, 3.301,17.901,21.202,
specs/example_arbiter.spectra, 100, 101, 3.215,17.037,20.252,
specs/example_arbiter.spectra, 100, 102, 2.940,1.550,4.490,
specs/example_arbiter.spectra, 100, 103, 2.018,155.320,157.338,
specs/example_arbiter.spectra, 100, 104, 3.235,2.977,6.212,
specs/example_arbiter.spectra, 125, -1, 5.269,69.648,74.918,
specs/example_arbiter.spectra, 125, 0, 5.252,86.300,91.552,
specs/example_arbiter.spectra, 125, 1, 5.313,73.656,78.969,
specs/example_arbiter.spectra, 125, 126, 5.320,68.930,74.250,
specs/example_arbiter.spectra, 125, 127, 4.677,2.457,7.134,
specs/example_arbiter.spectra, 125, 128, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 125, 129, 5.279,7.417,12.696,
specs/example_arbiter.spectra, 150, -1, 9.472,393.354,402.827,
specs/example_arbiter.spectra, 150, 0, 9.154,153.980,163.134,
specs/example_arbiter.spectra, 150, 1, 9.585,138.350,147.935,
specs/example_arbiter.spectra, 150, 151, 9.454,386.858,396.312,
specs/example_arbiter.spectra, 150, 152, 8.520,3.838,12.358,
specs/example_arbiter.spectra, 150, 153, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, 154, 9.513,13.826,23.339,
specs/example_arbiter.spectra, 175, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 0, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 176, 14.497,576.447,590.945,
specs/example_arbiter.spectra, 175, 177, 13.075,5.332,18.407,
specs/example_arbiter.spectra, 175, 178, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 179, 14.452,21.072,35.524,
specs/example_arbiter.spectra, 200, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 0, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 201, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 202, 20.096,9.763,29.859,
specs/example_arbiter.spectra, 200, 203, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 204, 22.807,25.037,47.844,
