Spec,Size,Remove,Prep.,Real. Check,Total,
specs/full_arbiter.spectra, 20, -1, 1.628,6.184,7.812,
specs/full_arbiter.spectra, 20, 0, 2.030,8.093,10.123,
specs/full_arbiter.spectra, 20, 1, 2.900,3.064,5.964,
specs/full_arbiter.spectra, 20, 2, 2.967,12.656,15.623,
specs/full_arbiter.spectra, 20, 3, 1.745,4.980,6.725,
specs/full_arbiter.spectra, 20, 4, 1.422,5.522,6.944,
specs/full_arbiter.spectra, 20, 5, 1.655,3.959,5.614,
specs/full_arbiter.spectra, 20, 6, 1.609,6.879,8.488,
specs/full_arbiter.spectra, 20, 7, 1.585,7.047,8.631,
specs/full_arbiter.spectra, 20, 8, 1.986,29.350,31.336,
specs/full_arbiter.spectra, 20, 9, 1.619,5.647,7.266,
specs/full_arbiter.spectra, 20, 10, 1.511,7.040,8.550,
specs/full_arbiter.spectra, 20, 11, 1.630,5.883,7.513,
specs/full_arbiter.spectra, 20, 12, 1.633,7.499,9.132,
specs/full_arbiter.spectra, 30, -1, 3.225,13.589,16.814,
specs/full_arbiter.spectra, 30, 0, 3.442,14.573,18.015,
specs/full_arbiter.spectra, 30, 1, 3.332,10.784,14.116,
specs/full_arbiter.spectra, 30, 2, 2.766,11.262,14.027,
specs/full_arbiter.spectra, 30, 3, 3.144,10.706,13.850,
specs/full_arbiter.spectra, 30, 4, 3.068,10.445,13.513,
specs/full_arbiter.spectra, 30, 5, 3.158,12.265,15.423,
specs/full_arbiter.spectra, 30, 6, 3.483,13.047,16.529,
specs/full_arbiter.spectra, 30, 7, 3.024,7.968,10.992,
specs/full_arbiter.spectra, 30, 8, 3.610,11.224,14.834,
specs/full_arbiter.spectra, 30, 9, 3.307,11.210,14.517,
specs/full_arbiter.spectra, 30, 10, 3.237,11.609,14.847,
specs/full_arbiter.spectra, 30, 11, 3.440,13.760,17.200,
specs/full_arbiter.spectra, 30, 12, 3.346,13.372,16.718,
specs/full_arbiter.spectra, 40, -1, 6.084,33.074,39.158,
specs/full_arbiter.spectra, 40, 0, 6.260,61.297,67.557,
specs/full_arbiter.spectra, 40, 1, 5.800,35.760,41.561,
specs/full_arbiter.spectra, 40, 2, 6.853,37.250,44.102,
specs/full_arbiter.spectra, 40, 3, 6.634,33.907,40.542,
specs/full_arbiter.spectra, 40, 4, 5.793,32.113,37.906,
specs/full_arbiter.spectra, 40, 5, 5.890,32.891,38.781,
specs/full_arbiter.spectra, 40, 6, 5.794,31.542,37.335,
specs/full_arbiter.spectra, 40, 7, 5.935,32.998,38.932,
specs/full_arbiter.spectra, 40, 8, 6.428,38.396,44.825,
specs/full_arbiter.spectra, 40, 9, 5.759,29.967,35.727,
specs/full_arbiter.spectra, 40, 10, 5.405,33.583,38.987,
specs/full_arbiter.spectra, 40, 11, 5.448,34.903,40.351,
specs/full_arbiter.spectra, 40, 12, 5.741,36.825,42.567,
specs/full_arbiter.spectra, 50, -1, 12.475,103.978,116.453,
specs/full_arbiter.spectra, 50, 0, 12.947,119.074,132.020,
specs/full_arbiter.spectra, 50, 1, 11.852,92.212,104.064,
specs/full_arbiter.spectra, 50, 2, 12.724,73.953,86.677,
specs/full_arbiter.spectra, 50, 3, 15.050,79.474,94.524,
specs/full_arbiter.spectra, 50, 4, 12.023,83.655,95.678,
specs/full_arbiter.spectra, 50, 5, 11.700,83.449,95.149,
specs/full_arbiter.spectra, 50, 6, 13.010,75.039,88.049,
specs/full_arbiter.spectra, 50, 7, 12.274,79.030,91.304,
specs/full_arbiter.spectra, 50, 8, 13.109,102.074,115.183,
specs/full_arbiter.spectra, 50, 9, 12.527,82.752,95.279,
specs/full_arbiter.spectra, 50, 10, 11.568,93.088,104.656,
specs/full_arbiter.spectra, 50, 11, 12.249,90.734,102.983,
specs/full_arbiter.spectra, 50, 12, 12.561,93.315,105.875,
specs/full_arbiter.spectra, 60, -1, 28.061,249.378,277.439,
specs/full_arbiter.spectra, 60, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 60, 1, 30.003,257.836,287.840,
specs/full_arbiter.spectra, 60, 2, 32.718,234.270,266.988,
specs/full_arbiter.spectra, 60, 3, 32.935,270.562,303.497,
specs/full_arbiter.spectra, 60, 4, 26.898,265.004,291.903,
specs/full_arbiter.spectra, 60, 5, 26.152,202.759,228.911,
specs/full_arbiter.spectra, 60, 6, 29.044,244.684,273.728,
specs/full_arbiter.spectra, 60, 7, 24.087,226.317,250.404,
specs/full_arbiter.spectra, 60, 8, 34.192,314.798,348.990,
specs/full_arbiter.spectra, 60, 9, 29.756,239.404,269.160,
specs/full_arbiter.spectra, 60, 10, 29.819,290.470,320.289,
specs/full_arbiter.spectra, 60, 11, 28.376,251.582,279.958,
specs/full_arbiter.spectra, 60, 12, 33.855,300.073,333.929,
specs/full_arbiter.spectra, 70, -1, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 2, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 3, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 4, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 5, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 6, class java.util.concurrent.TimeoutException
