Spec,Size,Remove,Prep.,Real. Check,Total,
specs/full_arbiter.spectra, 20, -1, 1.834,1.545,3.380,
specs/full_arbiter.spectra, 20, 0, 3.109,2.925,6.034,
specs/full_arbiter.spectra, 20, 1, 3.031,1.781,4.812,
specs/full_arbiter.spectra, 20, 2, 4.611,2.039,6.649,
specs/full_arbiter.spectra, 20, 3, 1.842,1.773,3.615,
specs/full_arbiter.spectra, 20, 4, 1.705,1.663,3.368,
specs/full_arbiter.spectra, 20, 5, 1.925,1.666,3.591,
specs/full_arbiter.spectra, 20, 6, 1.777,1.551,3.328,
specs/full_arbiter.spectra, 20, 7, 1.611,1.278,2.889,
specs/full_arbiter.spectra, 20, 8, 2.452,3.413,5.864,
specs/full_arbiter.spectra, 20, 9, 1.718,1.338,3.056,
specs/full_arbiter.spectra, 20, 10, 1.651,1.361,3.012,
specs/full_arbiter.spectra, 20, 11, 1.663,1.504,3.167,
specs/full_arbiter.spectra, 20, 12, 1.827,1.623,3.450,
specs/full_arbiter.spectra, 30, -1, 3.395,6.143,9.538,
specs/full_arbiter.spectra, 30, 0, 3.509,7.803,11.311,
specs/full_arbiter.spectra, 30, 1, 3.537,6.251,9.789,
specs/full_arbiter.spectra, 30, 2, 3.049,5.366,8.415,
specs/full_arbiter.spectra, 30, 3, 3.275,6.215,9.490,
specs/full_arbiter.spectra, 30, 4, 3.353,6.005,9.358,
specs/full_arbiter.spectra, 30, 5, 3.102,5.792,8.894,
specs/full_arbiter.spectra, 30, 6, 3.375,6.282,9.657,
specs/full_arbiter.spectra, 30, 7, 3.042,5.124,8.166,
specs/full_arbiter.spectra, 30, 8, 3.781,4.784,8.565,
specs/full_arbiter.spectra, 30, 9, 3.434,5.738,9.172,
specs/full_arbiter.spectra, 30, 10, 3.676,5.760,9.436,
specs/full_arbiter.spectra, 30, 11, 3.384,5.802,9.187,
specs/full_arbiter.spectra, 30, 12, 3.468,6.354,9.823,
specs/full_arbiter.spectra, 40, -1, 6.251,16.599,22.850,
specs/full_arbiter.spectra, 40, 0, 6.559,26.570,33.129,
specs/full_arbiter.spectra, 40, 1, 6.113,19.675,25.788,
specs/full_arbiter.spectra, 40, 2, 7.379,16.633,24.012,
specs/full_arbiter.spectra, 40, 3, 7.103,16.310,23.413,
specs/full_arbiter.spectra, 40, 4, 6.388,16.349,22.737,
specs/full_arbiter.spectra, 40, 5, 6.143,16.003,22.145,
specs/full_arbiter.spectra, 40, 6, 6.128,14.719,20.847,
specs/full_arbiter.spectra, 40, 7, 6.574,14.845,21.419,
specs/full_arbiter.spectra, 40, 8, 7.034,14.325,21.359,
specs/full_arbiter.spectra, 40, 9, 6.166,15.398,21.564,
specs/full_arbiter.spectra, 40, 10, 5.949,14.975,20.925,
specs/full_arbiter.spectra, 40, 11, 6.153,16.508,22.661,
specs/full_arbiter.spectra, 40, 12, 6.464,16.569,23.033,
specs/full_arbiter.spectra, 50, -1, 13.073,38.073,51.147,
specs/full_arbiter.spectra, 50, 0, 13.336,57.919,71.256,
specs/full_arbiter.spectra, 50, 1, 12.958,35.079,48.037,
specs/full_arbiter.spectra, 50, 2, 13.001,37.115,50.116,
specs/full_arbiter.spectra, 50, 3, 15.615,38.696,54.312,
specs/full_arbiter.spectra, 50, 4, 12.938,36.326,49.264,
specs/full_arbiter.spectra, 50, 5, 12.492,37.891,50.383,
specs/full_arbiter.spectra, 50, 6, 13.291,36.493,49.784,
specs/full_arbiter.spectra, 50, 7, 12.242,35.752,47.994,
specs/full_arbiter.spectra, 50, 8, 14.341,31.578,45.919,
specs/full_arbiter.spectra, 50, 9, 12.518,32.926,45.443,
specs/full_arbiter.spectra, 50, 10, 13.308,33.726,47.033,
specs/full_arbiter.spectra, 50, 11, 12.912,34.699,47.611,
