Spec,Size,Remove,Prep.,Real. Check,Total,
specs/full_arbiter_unreal.spectra, 10, -1, 0.878,0.071,0.948,
specs/full_arbiter_unreal.spectra, 10, 0, 0.859,2.478,3.336,
specs/full_arbiter_unreal.spectra, 10, 1, 0.861,0.778,1.639,
specs/full_arbiter_unreal.spectra, 10, 2, 0.939,1.680,2.619,
specs/full_arbiter_unreal.spectra, 10, 3, 0.912,0.074,0.985,
specs/full_arbiter_unreal.spectra, 10, 4, 0.869,0.081,0.950,
specs/full_arbiter_unreal.spectra, 10, 5, 0.890,0.072,0.963,
specs/full_arbiter_unreal.spectra, 10, 6, 0.896,0.076,0.972,
specs/full_arbiter_unreal.spectra, 10, 7, 0.878,0.081,0.959,
specs/full_arbiter_unreal.spectra, 10, 8, 0.913,0.071,0.985,
specs/full_arbiter_unreal.spectra, 10, 9, 0.886,0.072,0.958,
specs/full_arbiter_unreal.spectra, 10, 10, 0.873,0.061,0.935,
specs/full_arbiter_unreal.spectra, 10, 11, 0.922,0.066,0.988,
specs/full_arbiter_unreal.spectra, 10, 12, 0.875,0.070,0.945,
specs/full_arbiter_unreal.spectra, 10, 13, 0.921,0.089,1.010,
specs/full_arbiter_unreal.spectra, 10, 14, 0.887,0.075,0.961,
specs/full_arbiter_unreal.spectra, 15, -1, 1.676,0.210,1.886,
specs/full_arbiter_unreal.spectra, 15, 0, 1.605,9.149,10.753,
specs/full_arbiter_unreal.spectra, 15, 1, 2.321,1.468,3.789,
specs/full_arbiter_unreal.spectra, 15, 2, 1.782,10.326,12.108,
specs/full_arbiter_unreal.spectra, 15, 3, 1.779,0.396,2.175,
specs/full_arbiter_unreal.spectra, 15, 4, 1.494,0.210,1.704,
specs/full_arbiter_unreal.spectra, 15, 5, 1.585,0.238,1.823,
specs/full_arbiter_unreal.spectra, 15, 6, 1.547,0.209,1.755,
specs/full_arbiter_unreal.spectra, 15, 7, 1.533,0.250,1.784,
specs/full_arbiter_unreal.spectra, 15, 8, 1.658,0.232,1.890,
specs/full_arbiter_unreal.spectra, 15, 9, 1.578,0.208,1.786,
specs/full_arbiter_unreal.spectra, 15, 10, 1.771,0.251,2.022,
specs/full_arbiter_unreal.spectra, 15, 11, 1.563,0.161,1.725,
specs/full_arbiter_unreal.spectra, 15, 12, 1.576,0.166,1.742,
specs/full_arbiter_unreal.spectra, 15, 13, 1.674,0.361,2.035,
specs/full_arbiter_unreal.spectra, 15, 14, 1.640,0.193,1.834,
specs/full_arbiter_unreal.spectra, 20, -1, 2.781,0.319,3.100,
specs/full_arbiter_unreal.spectra, 20, 0, 2.211,47.283,49.494,
specs/full_arbiter_unreal.spectra, 20, 1, 2.784,9.566,12.350,
specs/full_arbiter_unreal.spectra, 20, 2, 2.575,59.509,62.084,
specs/full_arbiter_unreal.spectra, 20, 3, 2.755,0.805,3.561,
specs/full_arbiter_unreal.spectra, 20, 4, 2.512,0.364,2.876,
specs/full_arbiter_unreal.spectra, 20, 5, 2.537,0.694,3.231,
specs/full_arbiter_unreal.spectra, 20, 6, 2.944,0.710,3.654,
specs/full_arbiter_unreal.spectra, 20, 7, 2.874,0.559,3.432,
specs/full_arbiter_unreal.spectra, 20, 8, 2.797,0.735,3.531,
specs/full_arbiter_unreal.spectra, 20, 9, 2.382,0.824,3.206,
specs/full_arbiter_unreal.spectra, 20, 10, 3.076,0.693,3.770,
specs/full_arbiter_unreal.spectra, 20, 11, 2.834,0.306,3.140,
specs/full_arbiter_unreal.spectra, 20, 12, 2.843,0.394,3.236,
specs/full_arbiter_unreal.spectra, 20, 13, 2.787,0.444,3.231,
specs/full_arbiter_unreal.spectra, 20, 14, 2.821,0.345,3.166,
specs/full_arbiter_unreal.spectra, 25, -1, 3.593,1.526,5.119,
specs/full_arbiter_unreal.spectra, 25, 0, 3.434,44.612,48.046,
specs/full_arbiter_unreal.spectra, 25, 1, 2.642,8.372,11.013,
specs/full_arbiter_unreal.spectra, 25, 2, 3.545,40.093,43.638,
specs/full_arbiter_unreal.spectra, 25, 3, 3.952,1.338,5.290,
specs/full_arbiter_unreal.spectra, 25, 4, 3.595,0.570,4.165,
specs/full_arbiter_unreal.spectra, 25, 5, 3.851,0.742,4.593,
specs/full_arbiter_unreal.spectra, 25, 6, 3.781,1.209,4.989,
specs/full_arbiter_unreal.spectra, 25, 7, 3.956,0.761,4.717,
specs/full_arbiter_unreal.spectra, 25, 8, 3.592,0.785,4.376,
specs/full_arbiter_unreal.spectra, 25, 9, 3.778,0.725,4.502,
specs/full_arbiter_unreal.spectra, 25, 10, 3.591,0.951,4.542,
specs/full_arbiter_unreal.spectra, 25, 11, 3.601,0.914,4.514,
specs/full_arbiter_unreal.spectra, 25, 12, 3.529,0.981,4.510,
specs/full_arbiter_unreal.spectra, 25, 13, 3.587,0.645,4.232,
specs/full_arbiter_unreal.spectra, 25, 14, 3.545,1.231,4.776,
specs/full_arbiter_unreal.spectra, 30, -1, 6.697,1.822,8.520,
specs/full_arbiter_unreal.spectra, 30, 0, 6.163,98.964,105.127,
specs/full_arbiter_unreal.spectra, 30, 1, 4.314,16.602,20.916,
specs/full_arbiter_unreal.spectra, 30, 2, 6.531,111.462,117.994,
specs/full_arbiter_unreal.spectra, 30, 3, 7.350,2.133,9.483,
specs/full_arbiter_unreal.spectra, 30, 4, 6.483,1.307,7.790,
specs/full_arbiter_unreal.spectra, 30, 5, 6.783,1.083,7.865,
specs/full_arbiter_unreal.spectra, 30, 6, 6.435,1.030,7.465,
specs/full_arbiter_unreal.spectra, 30, 7, 6.548,0.966,7.514,
specs/full_arbiter_unreal.spectra, 30, 8, 6.246,1.032,7.278,
specs/full_arbiter_unreal.spectra, 30, 9, 6.590,1.615,8.205,
specs/full_arbiter_unreal.spectra, 30, 10, 6.787,1.286,8.073,
specs/full_arbiter_unreal.spectra, 30, 11, 6.279,1.504,7.783,
specs/full_arbiter_unreal.spectra, 30, 12, 6.310,1.031,7.341,
specs/full_arbiter_unreal.spectra, 30, 13, 6.467,1.177,7.645,
specs/full_arbiter_unreal.spectra, 30, 14, 6.285,2.869,9.153,
specs/full_arbiter_unreal.spectra, 35, -1, 10.942,1.517,12.460,
specs/full_arbiter_unreal.spectra, 35, 0, 10.115,224.657,234.772,
specs/full_arbiter_unreal.spectra, 35, 1, 7.898,31.346,39.245,
specs/full_arbiter_unreal.spectra, 35, 2, 11.200,198.288,209.488,
specs/full_arbiter_unreal.spectra, 35, 3, 11.023,1.590,12.613,
specs/full_arbiter_unreal.spectra, 35, 4, 11.137,1.662,12.799,
specs/full_arbiter_unreal.spectra, 35, 5, 11.134,2.021,13.155,
specs/full_arbiter_unreal.spectra, 35, 6, 11.592,1.640,13.232,
specs/full_arbiter_unreal.spectra, 35, 7, 11.087,3.362,14.449,
specs/full_arbiter_unreal.spectra, 35, 8, 10.189,1.607,11.796,
specs/full_arbiter_unreal.spectra, 35, 9, 10.746,2.114,12.860,
specs/full_arbiter_unreal.spectra, 35, 10, 11.879,2.505,14.384,
specs/full_arbiter_unreal.spectra, 35, 11, 11.125,1.344,12.469,
specs/full_arbiter_unreal.spectra, 35, 12, 10.409,1.486,11.895,
specs/full_arbiter_unreal.spectra, 35, 13, 10.493,1.632,12.125,
specs/full_arbiter_unreal.spectra, 35, 14, 10.223,3.463,13.686,
specs/full_arbiter_unreal.spectra, 40, -1, 18.345,3.396,21.741,
specs/full_arbiter_unreal.spectra, 40, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 40, 1, 11.766,57.145,68.911,
specs/full_arbiter_unreal.spectra, 40, 2, 17.302,494.846,512.148,
specs/full_arbiter_unreal.spectra, 40, 3, 18.181,5.527,23.708,
specs/full_arbiter_unreal.spectra, 40, 4, 20.021,7.828,27.849,
specs/full_arbiter_unreal.spectra, 40, 5, 15.943,2.301,18.244,
specs/full_arbiter_unreal.spectra, 40, 6, 17.502,2.920,20.422,
specs/full_arbiter_unreal.spectra, 40, 7, 18.367,3.788,22.155,
specs/full_arbiter_unreal.spectra, 40, 8, 16.648,2.375,19.022,
specs/full_arbiter_unreal.spectra, 40, 9, 15.637,2.394,18.031,
specs/full_arbiter_unreal.spectra, 40, 10, 19.070,4.313,23.384,
specs/full_arbiter_unreal.spectra, 40, 11, 17.560,1.872,19.432,
specs/full_arbiter_unreal.spectra, 40, 12, 16.691,2.886,19.577,
specs/full_arbiter_unreal.spectra, 40, 13, 16.768,2.390,19.157,
specs/full_arbiter_unreal.spectra, 40, 14, 16.906,5.058,21.963,
