Spec,Size,Remove,Prep.,Real. Check,Total,
specs/full_arbiter_unreal.spectra, 10, -1, 0.965,0.483,1.447,
specs/full_arbiter_unreal.spectra, 10, 0, 1.002,1.565,2.567,
specs/full_arbiter_unreal.spectra, 10, 1, 0.904,0.215,1.119,
specs/full_arbiter_unreal.spectra, 10, 2, 1.018,0.866,1.884,
specs/full_arbiter_unreal.spectra, 10, 3, 0.922,0.415,1.337,
specs/full_arbiter_unreal.spectra, 10, 4, 0.905,0.311,1.215,
specs/full_arbiter_unreal.spectra, 10, 5, 0.929,0.303,1.231,
specs/full_arbiter_unreal.spectra, 10, 6, 0.893,0.407,1.301,
specs/full_arbiter_unreal.spectra, 10, 7, 0.883,0.347,1.230,
specs/full_arbiter_unreal.spectra, 10, 8, 0.928,0.434,1.362,
specs/full_arbiter_unreal.spectra, 10, 9, 0.915,0.461,1.377,
specs/full_arbiter_unreal.spectra, 10, 10, 0.947,0.327,1.274,
specs/full_arbiter_unreal.spectra, 10, 11, 0.907,0.277,1.184,
specs/full_arbiter_unreal.spectra, 10, 12, 0.929,0.461,1.391,
specs/full_arbiter_unreal.spectra, 10, 13, 0.931,0.390,1.321,
specs/full_arbiter_unreal.spectra, 10, 14, 0.891,0.467,1.358,
specs/full_arbiter_unreal.spectra, 15, -1, 1.692,1.053,2.745,
specs/full_arbiter_unreal.spectra, 15, 0, 1.665,4.748,6.412,
specs/full_arbiter_unreal.spectra, 15, 1, 2.291,0.883,3.173,
specs/full_arbiter_unreal.spectra, 15, 2, 1.805,3.061,4.866,
specs/full_arbiter_unreal.spectra, 15, 3, 1.905,1.140,3.045,
specs/full_arbiter_unreal.spectra, 15, 4, 1.544,1.600,3.144,
specs/full_arbiter_unreal.spectra, 15, 5, 1.623,1.257,2.879,
specs/full_arbiter_unreal.spectra, 15, 6, 1.675,1.708,3.383,
specs/full_arbiter_unreal.spectra, 15, 7, 1.615,1.559,3.175,
specs/full_arbiter_unreal.spectra, 15, 8, 1.674,1.808,3.482,
specs/full_arbiter_unreal.spectra, 15, 9, 1.657,1.333,2.990,
specs/full_arbiter_unreal.spectra, 15, 10, 1.793,1.311,3.104,
specs/full_arbiter_unreal.spectra, 15, 11, 1.694,1.022,2.716,
specs/full_arbiter_unreal.spectra, 15, 12, 1.611,1.872,3.482,
specs/full_arbiter_unreal.spectra, 15, 13, 1.698,1.323,3.020,
specs/full_arbiter_unreal.spectra, 15, 14, 1.819,1.092,2.911,
specs/full_arbiter_unreal.spectra, 20, -1, 3.059,4.979,8.038,
specs/full_arbiter_unreal.spectra, 20, 0, 2.276,13.826,16.102,
specs/full_arbiter_unreal.spectra, 20, 1, 2.979,2.144,5.123,
specs/full_arbiter_unreal.spectra, 20, 2, 2.707,7.172,9.879,
specs/full_arbiter_unreal.spectra, 20, 3, 2.874,6.133,9.007,
specs/full_arbiter_unreal.spectra, 20, 4, 2.748,4.312,7.060,
specs/full_arbiter_unreal.spectra, 20, 5, 2.906,4.546,7.452,
specs/full_arbiter_unreal.spectra, 20, 6, 3.209,4.875,8.084,
specs/full_arbiter_unreal.spectra, 20, 7, 3.138,4.311,7.450,
specs/full_arbiter_unreal.spectra, 20, 8, 3.075,5.591,8.666,
specs/full_arbiter_unreal.spectra, 20, 9, 2.517,3.796,6.313,
specs/full_arbiter_unreal.spectra, 20, 10, 3.239,3.229,6.468,
specs/full_arbiter_unreal.spectra, 20, 11, 3.104,3.183,6.287,
specs/full_arbiter_unreal.spectra, 20, 12, 3.106,3.747,6.853,
specs/full_arbiter_unreal.spectra, 20, 13, 2.851,6.880,9.731,
specs/full_arbiter_unreal.spectra, 20, 14, 2.990,4.280,7.270,
specs/full_arbiter_unreal.spectra, 25, -1, 3.897,7.221,11.117,
specs/full_arbiter_unreal.spectra, 25, 0, 3.407,21.443,24.850,
specs/full_arbiter_unreal.spectra, 25, 1, 2.674,4.089,6.763,
specs/full_arbiter_unreal.spectra, 25, 2, 3.810,12.923,16.733,
specs/full_arbiter_unreal.spectra, 25, 3, 3.972,9.203,13.175,
specs/full_arbiter_unreal.spectra, 25, 4, 4.015,7.090,11.105,
specs/full_arbiter_unreal.spectra, 25, 5, 3.788,8.022,11.810,
specs/full_arbiter_unreal.spectra, 25, 6, 3.935,9.680,13.614,
specs/full_arbiter_unreal.spectra, 25, 7, 4.118,8.180,12.297,
specs/full_arbiter_unreal.spectra, 25, 8, 3.774,7.280,11.054,
specs/full_arbiter_unreal.spectra, 25, 9, 3.813,8.043,11.856,
specs/full_arbiter_unreal.spectra, 25, 10, 3.900,7.173,11.073,
specs/full_arbiter_unreal.spectra, 25, 11, 3.857,7.098,10.956,
specs/full_arbiter_unreal.spectra, 25, 12, 3.879,7.969,11.848,
specs/full_arbiter_unreal.spectra, 25, 13, 3.936,7.789,11.725,
specs/full_arbiter_unreal.spectra, 25, 14, 3.906,8.297,12.203,
specs/full_arbiter_unreal.spectra, 30, -1, 7.467,14.933,22.400,
specs/full_arbiter_unreal.spectra, 30, 0, 6.919,64.361,71.280,
specs/full_arbiter_unreal.spectra, 30, 1, 4.669,7.406,12.076,
specs/full_arbiter_unreal.spectra, 30, 2, 6.820,29.652,36.472,
specs/full_arbiter_unreal.spectra, 30, 3, 7.350,15.689,23.038,
specs/full_arbiter_unreal.spectra, 30, 4, 6.867,16.419,23.285,
