Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf.spectra, 60, -1, 4.145,41.362,45.507,
specs/genbuf.spectra, 60, 0, 4.225,33.122,37.347,
specs/genbuf.spectra, 60, 1, 4.202,41.620,45.821,
specs/genbuf.spectra, 60, 2, 4.329,36.897,41.226,
specs/genbuf.spectra, 60, 3, 4.196,38.741,42.937,
specs/genbuf.spectra, 60, 4, 4.255,27.444,31.699,
specs/genbuf.spectra, 60, 5, 4.223,36.148,40.372,
specs/genbuf.spectra, 60, 6, 4.377,40.215,44.592,
specs/genbuf.spectra, 60, 7, 4.027,6.060,10.087,
specs/genbuf.spectra, 60, 8, 4.002,42.962,46.964,
specs/genbuf.spectra, 60, 9, 4.096,23.551,27.647,
specs/genbuf.spectra, 60, 10, 4.207,17.442,21.649,
specs/genbuf.spectra, 60, 11, 3.785,12.895,16.679,
specs/genbuf.spectra, 60, 12, 4.220,33.051,37.272,
specs/genbuf.spectra, 60, 13, 4.366,12.483,16.850,
specs/genbuf.spectra, 60, 14, 4.366,55.821,60.187,
specs/genbuf.spectra, 60, 15, 4.340,42.505,46.845,
specs/genbuf.spectra, 60, 16, 4.498,42.572,47.070,
specs/genbuf.spectra, 60, 17, 4.329,43.080,47.409,
specs/genbuf.spectra, 60, 18, 4.278,44.505,48.783,
specs/genbuf.spectra, 60, 19, 4.252,45.561,49.813,
specs/genbuf.spectra, 60, 20, 4.081,40.305,44.386,
specs/genbuf.spectra, 60, 21, 4.025,48.945,52.970,
specs/genbuf.spectra, 60, 22, 4.230,37.466,41.697,
specs/genbuf.spectra, 60, 23, 4.124,38.332,42.456,
specs/genbuf.spectra, 60, 24, 2.601,9.881,12.482,
specs/genbuf.spectra, 60, 25, 4.247,8.370,12.617,
specs/genbuf.spectra, 60, 26, 4.011,14.493,18.503,
specs/genbuf.spectra, 60, 27, 4.038,35.179,39.217,
specs/genbuf.spectra, 60, 88, 4.239,27.338,31.577,
specs/genbuf.spectra, 60, 89, 4.149,35.509,39.658,
specs/genbuf.spectra, 60, 90, 4.110,5.824,9.934,
specs/genbuf.spectra, 60, 91, 4.036,39.668,43.704,
specs/genbuf.spectra, 60, 92, 4.026,35.654,39.681,
specs/genbuf.spectra, 60, 93, 4.180,39.081,43.261,
specs/genbuf.spectra, 60, 94, 4.059,27.196,31.255,
specs/genbuf.spectra, 60, 95, 4.079,34.885,38.963,
specs/genbuf.spectra, 60, 96, 4.025,77.798,81.823,
specs/genbuf.spectra, 60, 97, 4.098,33.237,37.335,
specs/genbuf.spectra, 60, 98, 4.195,34.966,39.162,
specs/genbuf.spectra, 60, 99, 4.292,28.695,32.987,
specs/genbuf.spectra, 60, 100, 4.022,43.718,47.740,
specs/genbuf.spectra, 60, 101, 4.319,1.401,5.720,
specs/genbuf.spectra, 60, 102, 4.357,3.560,7.917,
specs/genbuf.spectra, 60, 103, 4.116,30.269,34.384,
specs/genbuf.spectra, 60, 104, 4.175,32.214,36.390,
specs/genbuf.spectra, 60, 105, 4.399,66.869,71.269,
specs/genbuf.spectra, 60, 106, 4.452,3.323,7.775,
specs/genbuf.spectra, 60, 107, 4.153,7.047,11.199,
specs/genbuf.spectra, 60, 108, 4.316,7.235,11.551,
specs/genbuf.spectra, 70, -1, 6.353,55.065,61.418,
specs/genbuf.spectra, 70, 0, 6.297,43.639,49.936,
specs/genbuf.spectra, 70, 1, 6.720,55.794,62.514,
specs/genbuf.spectra, 70, 2, 6.705,66.932,73.637,
specs/genbuf.spectra, 70, 3, 6.459,55.750,62.208,
specs/genbuf.spectra, 70, 4, 6.672,64.889,71.560,
specs/genbuf.spectra, 70, 5, 6.484,52.396,58.880,
specs/genbuf.spectra, 70, 6, 6.414,67.435,73.849,
specs/genbuf.spectra, 70, 7, 5.741,13.702,19.442,
specs/genbuf.spectra, 70, 8, 6.008,39.616,45.624,
specs/genbuf.spectra, 70, 9, 6.366,34.104,40.470,
specs/genbuf.spectra, 70, 10, 6.222,26.380,32.602,
specs/genbuf.spectra, 70, 11, 6.053,14.422,20.474,
specs/genbuf.spectra, 70, 12, 6.464,58.953,65.417,
specs/genbuf.spectra, 70, 13, 6.205,26.046,32.251,
specs/genbuf.spectra, 70, 14, 6.366,90.444,96.809,
specs/genbuf.spectra, 70, 15, 6.468,48.258,54.726,
specs/genbuf.spectra, 70, 16, 6.383,55.035,61.417,
specs/genbuf.spectra, 70, 17, 6.165,79.897,86.062,
specs/genbuf.spectra, 70, 18, 6.289,52.231,58.520,
specs/genbuf.spectra, 70, 19, 6.258,50.334,56.592,
specs/genbuf.spectra, 70, 20, 6.365,61.869,68.233,
specs/genbuf.spectra, 70, 21, 6.508,52.179,58.688,
specs/genbuf.spectra, 70, 22, 6.501,48.989,55.489,
specs/genbuf.spectra, 70, 23, 6.280,49.384,55.664,
specs/genbuf.spectra, 70, 24, 3.121,15.141,18.262,
specs/genbuf.spectra, 70, 25, 6.379,14.793,21.172,
specs/genbuf.spectra, 70, 26, 6.469,22.592,29.061,
specs/genbuf.spectra, 70, 27, 6.416,46.558,52.974,
specs/genbuf.spectra, 70, 98, 6.379,39.396,45.776,
specs/genbuf.spectra, 70, 99, 6.266,43.842,50.109,
specs/genbuf.spectra, 70, 100, 6.374,8.870,15.245,
specs/genbuf.spectra, 70, 101, 6.560,67.450,74.010,
specs/genbuf.spectra, 70, 102, 6.858,57.241,64.099,
specs/genbuf.spectra, 70, 103, 6.861,71.178,78.039,
specs/genbuf.spectra, 70, 104, 6.300,41.090,47.390,
specs/genbuf.spectra, 70, 105, 6.475,53.236,59.711,
specs/genbuf.spectra, 70, 106, 6.833,47.814,54.647,
specs/genbuf.spectra, 70, 107, 6.728,67.964,74.691,
specs/genbuf.spectra, 70, 108, 6.512,142.721,149.233,
specs/genbuf.spectra, 70, 109, 6.274,51.544,57.818,
specs/genbuf.spectra, 70, 110, 5.994,66.086,72.080,
specs/genbuf.spectra, 70, 111, 6.103,2.128,8.231,
specs/genbuf.spectra, 70, 112, 6.366,5.413,11.779,
specs/genbuf.spectra, 70, 113, 6.309,47.071,53.380,
specs/genbuf.spectra, 70, 114, 6.395,33.140,39.535,
specs/genbuf.spectra, 70, 115, 6.571,76.352,82.923,
specs/genbuf.spectra, 70, 116, 6.594,5.625,12.220,
specs/genbuf.spectra, 70, 117, 6.770,11.156,17.926,
specs/genbuf.spectra, 70, 118, 6.556,12.053,18.608,
specs/genbuf.spectra, 80, -1, 9.817,97.006,106.823,
specs/genbuf.spectra, 80, 0, 9.570,87.626,97.196,
specs/genbuf.spectra, 80, 1, 9.789,87.607,97.396,
specs/genbuf.spectra, 80, 2, 9.663,107.840,117.503,
specs/genbuf.spectra, 80, 3, 10.113,83.489,93.601,
specs/genbuf.spectra, 80, 4, 9.776,96.287,106.062,
specs/genbuf.spectra, 80, 5, 10.075,130.937,141.012,
specs/genbuf.spectra, 80, 6, 9.951,87.995,97.946,
specs/genbuf.spectra, 80, 7, 9.689,14.969,24.658,
specs/genbuf.spectra, 80, 8, 9.627,83.342,92.969,
specs/genbuf.spectra, 80, 9, 9.883,87.659,97.543,
specs/genbuf.spectra, 80, 10, 10.009,47.385,57.394,
specs/genbuf.spectra, 80, 11, 9.196,24.376,33.572,
specs/genbuf.spectra, 80, 12, 9.869,96.695,106.564,
specs/genbuf.spectra, 80, 13, 9.838,39.297,49.135,
specs/genbuf.spectra, 80, 14, 9.871,149.522,159.393,
specs/genbuf.spectra, 80, 15, 10.394,111.763,122.158,
specs/genbuf.spectra, 80, 16, 10.202,117.637,127.839,
specs/genbuf.spectra, 80, 17, 10.003,90.946,100.949,
specs/genbuf.spectra, 80, 18, 10.051,125.177,135.228,
