Spec,Size,Remove,Prep.,Real. Check,Total
specs/genbuf.spectra,60,-1,4.641,3.034,7.674
specs/genbuf.spectra,60,0,4.014,3.073,7.087
specs/genbuf.spectra,60,1,4.16,3.796,7.956
specs/genbuf.spectra,60,2,4.095,3.343,7.438
specs/genbuf.spectra,60,3,4.103,3.358,7.461
specs/genbuf.spectra,60,4,4.082,3.369,7.451
specs/genbuf.spectra,60,5,4.162,3.36,7.522
specs/genbuf.spectra,60,6,4.334,2.877,7.211
specs/genbuf.spectra,60,7,3.993,0.594,4.587
specs/genbuf.spectra,60,8,3.895,2.832,6.726
specs/genbuf.spectra,60,9,4.147,3.209,7.357
specs/genbuf.spectra,60,10,4.124,1.81,5.934
specs/genbuf.spectra,60,11,3.753,1.291,5.044
specs/genbuf.spectra,60,12,4.392,2.89,7.282
specs/genbuf.spectra,60,13,4.338,2.191,6.529
specs/genbuf.spectra,60,14,4.203,17.62,21.823
specs/genbuf.spectra,60,15,4.074,3.103,7.177
specs/genbuf.spectra,60,16,4.343,2.781,7.124
specs/genbuf.spectra,60,17,4.334,2.699,7.032
specs/genbuf.spectra,60,18,4.508,2.874,7.382
specs/genbuf.spectra,60,19,4.345,2.951,7.296
specs/genbuf.spectra,60,20,4.49,2.613,7.104
specs/genbuf.spectra,60,21,4.159,3.707,7.866
specs/genbuf.spectra,60,22,4.108,3.296,7.404
specs/genbuf.spectra,60,23,3.961,3.691,7.652
specs/genbuf.spectra,60,24,2.477,0.671,3.148
specs/genbuf.spectra,60,25,4.625,2.017,6.643
specs/genbuf.spectra,60,26,4.434,1.729,6.162
specs/genbuf.spectra,60,27,4.451,2.788,7.238
specs/genbuf.spectra,60,88,4.381,3.19,7.571
specs/genbuf.spectra,60,89,4.385,2.905,7.291
specs/genbuf.spectra,60,90,4.37,0.789,5.159
specs/genbuf.spectra,60,91,4.504,3.024,7.528
specs/genbuf.spectra,60,92,4.34,2.772,7.112
specs/genbuf.spectra,60,93,4.319,2.985,7.303
specs/genbuf.spectra,60,94,4.304,2.781,7.084
specs/genbuf.spectra,60,95,4.41,2.867,7.277
specs/genbuf.spectra,60,96,4.427,7.176,11.603
specs/genbuf.spectra,60,97,4.14,3.577,7.717
specs/genbuf.spectra,60,98,4.123,3.18,7.304
specs/genbuf.spectra,60,99,4.47,2.319,6.789
specs/genbuf.spectra,60,100,3.961,3.329,7.29
specs/genbuf.spectra,60,101,4.063,1.759,5.823
specs/genbuf.spectra,60,102,4.077,2.074,6.15
specs/genbuf.spectra,60,103,4.384,2.584,6.969
specs/genbuf.spectra,60,104,4.191,3.188,7.379
specs/genbuf.spectra,60,105,4.072,2.965,7.036
specs/genbuf.spectra,60,106,4.011,1.694,5.704
specs/genbuf.spectra,60,107,4.058,2.006,6.065
specs/genbuf.spectra,60,108,4.084,3.408,7.492
specs/genbuf.spectra,70,-1,6.205,4.833,11.038
specs/genbuf.spectra,70,0,6.107,5.113,11.22
specs/genbuf.spectra,70,1,6.251,4.439,10.69
specs/genbuf.spectra,70,2,6.109,4.121,10.231
specs/genbuf.spectra,70,3,6.221,4.528,10.75
specs/genbuf.spectra,70,4,6.358,4.88,11.238
specs/genbuf.spectra,70,5,6.285,3.434,9.719
specs/genbuf.spectra,70,6,6.22,5.482,11.702
specs/genbuf.spectra,70,7,6.129,1.921,8.05
specs/genbuf.spectra,70,8,5.949,3.861,9.809
specs/genbuf.spectra,70,9,6.178,4.142,10.321
specs/genbuf.spectra,70,10,6.013,2.501,8.514
specs/genbuf.spectra,70,11,5.736,1.837,7.573
specs/genbuf.spectra,70,12,5.976,3.647,9.624
specs/genbuf.spectra,70,13,6.133,3.585,9.719
specs/genbuf.spectra,70,14,6.201,7.231,13.432
