Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf.spectra, 60, -1, 4.470,7.500,11.970,
specs/genbuf.spectra, 60, 0, 4.091,6.326,10.417,
specs/genbuf.spectra, 60, 1, 4.157,18.047,22.204,
specs/genbuf.spectra, 60, 2, 4.110,20.016,24.126,
specs/genbuf.spectra, 60, 3, 4.191,6.250,10.441,
specs/genbuf.spectra, 60, 4, 3.954,5.958,9.913,
specs/genbuf.spectra, 60, 5, 4.084,6.293,10.378,
specs/genbuf.spectra, 60, 6, 4.658,6.380,11.038,
specs/genbuf.spectra, 60, 7, 4.132,2.948,7.080,
specs/genbuf.spectra, 60, 8, 3.957,15.614,19.572,
specs/genbuf.spectra, 60, 9, 4.033,19.290,23.323,
specs/genbuf.spectra, 60, 10, 4.196,6.454,10.651,
specs/genbuf.spectra, 60, 11, 3.770,6.372,10.142,
specs/genbuf.spectra, 60, 12, 4.398,6.934,11.332,
specs/genbuf.spectra, 60, 13, 4.450,6.567,11.017,
specs/genbuf.spectra, 60, 14, 4.293,23.831,28.124,
specs/genbuf.spectra, 60, 15, 4.140,13.486,17.626,
specs/genbuf.spectra, 60, 16, 4.435,7.774,12.209,
specs/genbuf.spectra, 60, 17, 4.489,7.135,11.624,
specs/genbuf.spectra, 60, 18, 4.476,6.917,11.393,
specs/genbuf.spectra, 60, 19, 4.361,7.564,11.925,
specs/genbuf.spectra, 60, 20, 4.306,6.698,11.004,
specs/genbuf.spectra, 60, 21, 3.993,17.753,21.745,
specs/genbuf.spectra, 60, 22, 4.127,6.655,10.782,
specs/genbuf.spectra, 60, 23, 4.099,14.864,18.963,
specs/genbuf.spectra, 60, 24, 2.449,3.047,5.496,
specs/genbuf.spectra, 60, 25, 4.321,3.682,8.003,
specs/genbuf.spectra, 60, 26, 4.363,4.312,8.675,
specs/genbuf.spectra, 60, 27, 4.480,7.364,11.844,
specs/genbuf.spectra, 60, 88, 4.415,7.979,12.394,
specs/genbuf.spectra, 60, 89, 4.259,6.383,10.642,
specs/genbuf.spectra, 60, 90, 4.332,3.457,7.789,
specs/genbuf.spectra, 60, 91, 4.283,7.445,11.729,
specs/genbuf.spectra, 60, 92, 4.350,7.354,11.704,
specs/genbuf.spectra, 60, 93, 4.339,7.094,11.433,
specs/genbuf.spectra, 60, 94, 4.461,7.460,11.921,
specs/genbuf.spectra, 60, 95, 4.351,7.237,11.587,
specs/genbuf.spectra, 60, 96, 4.375,16.331,20.706,
specs/genbuf.spectra, 60, 97, 4.260,20.774,25.034,
specs/genbuf.spectra, 60, 98, 4.152,7.534,11.687,
specs/genbuf.spectra, 60, 99, 4.415,6.724,11.139,
specs/genbuf.spectra, 60, 100, 4.162,9.250,13.412,
specs/genbuf.spectra, 60, 101, 4.112,5.735,9.847,
specs/genbuf.spectra, 60, 102, 3.962,5.890,9.852,
specs/genbuf.spectra, 60, 103, 4.344,6.463,10.808,
specs/genbuf.spectra, 60, 104, 4.093,16.941,21.034,
specs/genbuf.spectra, 60, 105, 3.993,15.878,19.871,
specs/genbuf.spectra, 60, 106, 4.106,5.815,9.921,
specs/genbuf.spectra, 60, 107, 4.031,6.212,10.243,
specs/genbuf.spectra, 60, 108, 4.023,15.219,19.242,
specs/genbuf.spectra, 70, -1, 6.226,30.960,37.186,
specs/genbuf.spectra, 70, 0, 5.964,12.452,18.416,
specs/genbuf.spectra, 70, 1, 6.144,14.157,20.300,
specs/genbuf.spectra, 70, 2, 6.138,10.378,16.515,
specs/genbuf.spectra, 70, 3, 6.116,17.134,23.250,
specs/genbuf.spectra, 70, 4, 6.273,30.483,36.756,
specs/genbuf.spectra, 70, 5, 6.050,10.662,16.712,
specs/genbuf.spectra, 70, 6, 6.037,9.376,15.413,
specs/genbuf.spectra, 70, 7, 5.924,4.305,10.229,
specs/genbuf.spectra, 70, 8, 5.978,8.928,14.905,
specs/genbuf.spectra, 70, 9, 6.033,10.978,17.011,
specs/genbuf.spectra, 70, 10, 6.038,10.724,16.762,
specs/genbuf.spectra, 70, 11, 5.637,6.738,12.374,
specs/genbuf.spectra, 70, 12, 6.053,10.290,16.343,
specs/genbuf.spectra, 70, 13, 6.183,9.865,16.048,
specs/genbuf.spectra, 70, 14, 6.240,28.514,34.754,
specs/genbuf.spectra, 70, 15, 6.227,9.812,16.039,
specs/genbuf.spectra, 70, 16, 6.057,30.449,36.506,
specs/genbuf.spectra, 70, 17, 6.154,9.562,15.716,
specs/genbuf.spectra, 70, 18, 6.132,9.510,15.642,
specs/genbuf.spectra, 70, 19, 6.224,11.329,17.553,
specs/genbuf.spectra, 70, 20, 6.114,9.627,15.741,
specs/genbuf.spectra, 70, 21, 6.172,9.876,16.048,
specs/genbuf.spectra, 70, 22, 6.196,9.319,15.516,
specs/genbuf.spectra, 70, 23, 6.134,11.206,17.341,
specs/genbuf.spectra, 70, 24, 3.114,5.923,9.037,
specs/genbuf.spectra, 70, 25, 6.170,8.731,14.901,
specs/genbuf.spectra, 70, 26, 5.920,11.459,17.379,
specs/genbuf.spectra, 70, 27, 6.234,9.409,15.643,
specs/genbuf.spectra, 70, 98, 6.113,25.752,31.865,
specs/genbuf.spectra, 70, 99, 6.093,12.379,18.472,
specs/genbuf.spectra, 70, 100, 6.077,6.131,12.208,
specs/genbuf.spectra, 70, 101, 6.076,9.098,15.173,
specs/genbuf.spectra, 70, 102, 6.004,31.625,37.629,
specs/genbuf.spectra, 70, 103, 5.980,30.868,36.848,
specs/genbuf.spectra, 70, 104, 5.952,29.877,35.829,
specs/genbuf.spectra, 70, 105, 6.074,28.330,34.404,
specs/genbuf.spectra, 70, 106, 6.090,8.979,15.069,
specs/genbuf.spectra, 70, 107, 6.186,17.104,23.289,
specs/genbuf.spectra, 70, 108, 6.247,24.640,30.887,
specs/genbuf.spectra, 70, 109, 6.179,17.236,23.414,
specs/genbuf.spectra, 70, 110, 5.866,11.799,17.665,
specs/genbuf.spectra, 70, 111, 5.907,9.241,15.148,
specs/genbuf.spectra, 70, 112, 5.954,8.457,14.411,
specs/genbuf.spectra, 70, 113, 5.971,9.108,15.079,
specs/genbuf.spectra, 70, 114, 6.006,9.412,15.418,
specs/genbuf.spectra, 70, 115, 6.000,23.573,29.573,
specs/genbuf.spectra, 70, 116, 6.051,9.049,15.100,
specs/genbuf.spectra, 70, 117, 5.972,8.838,14.810,
specs/genbuf.spectra, 70, 118, 5.940,10.331,16.271,
specs/genbuf.spectra, 80, -1, 9.858,12.177,22.036,
specs/genbuf.spectra, 80, 0, 9.620,24.249,33.869,
specs/genbuf.spectra, 80, 1, 9.273,16.057,25.330,
specs/genbuf.spectra, 80, 2, 9.844,18.079,27.924,
specs/genbuf.spectra, 80, 3, 9.101,14.017,23.118,
specs/genbuf.spectra, 80, 4, 9.674,31.866,41.540,
specs/genbuf.spectra, 80, 5, 9.809,29.479,39.288,
specs/genbuf.spectra, 80, 6, 9.855,12.645,22.499,
specs/genbuf.spectra, 80, 7, 8.956,6.966,15.921,
specs/genbuf.spectra, 80, 8, 8.567,13.696,22.263,
specs/genbuf.spectra, 80, 9, 9.415,16.661,26.075,
specs/genbuf.spectra, 80, 10, 8.967,14.535,23.502,
specs/genbuf.spectra, 80, 11, 9.012,7.459,16.471,
specs/genbuf.spectra, 80, 12, 9.844,12.622,22.467,
specs/genbuf.spectra, 80, 13, 10.030,13.834,23.864,
specs/genbuf.spectra, 80, 14, 9.881,29.713,39.594,
specs/genbuf.spectra, 80, 15, 9.827,12.457,22.284,
specs/genbuf.spectra, 80, 16, 9.814,15.362,25.176,
specs/genbuf.spectra, 80, 17, 9.963,12.548,22.511,
specs/genbuf.spectra, 80, 18, 9.101,32.459,41.560,
specs/genbuf.spectra, 80, 19, 9.935,12.344,22.280,
specs/genbuf.spectra, 80, 20, 9.887,12.797,22.683,
specs/genbuf.spectra, 80, 21, 10.011,25.564,35.574,
specs/genbuf.spectra, 80, 22, 9.690,12.824,22.514,
specs/genbuf.spectra, 80, 23, 9.928,25.882,35.810,
specs/genbuf.spectra, 80, 24, 4.751,12.760,17.510,
specs/genbuf.spectra, 80, 25, 9.750,12.042,21.792,
specs/genbuf.spectra, 80, 26, 9.876,13.070,22.946,
specs/genbuf.spectra, 80, 27, 9.801,42.275,52.076,
specs/genbuf.spectra, 80, 108, 9.746,21.487,31.233,
specs/genbuf.spectra, 80, 109, 9.796,37.461,47.257,
specs/genbuf.spectra, 80, 110, 9.847,11.022,20.868,
specs/genbuf.spectra, 80, 111, 9.906,12.432,22.338,
specs/genbuf.spectra, 80, 112, 9.929,23.017,32.946,
specs/genbuf.spectra, 80, 113, 9.850,12.185,22.035,
specs/genbuf.spectra, 80, 114, 9.939,12.620,22.559,
specs/genbuf.spectra, 80, 115, 9.803,12.383,22.186,
specs/genbuf.spectra, 80, 116, 8.851,49.221,58.072,
specs/genbuf.spectra, 80, 117, 9.058,19.664,28.722,
specs/genbuf.spectra, 80, 118, 9.866,25.844,35.711,
specs/genbuf.spectra, 80, 119, 9.760,16.166,25.926,
specs/genbuf.spectra, 80, 120, 8.605,15.621,24.226,
specs/genbuf.spectra, 80, 121, 9.009,15.863,24.873,
specs/genbuf.spectra, 80, 122, 9.262,15.512,24.774,
specs/genbuf.spectra, 80, 123, 9.438,29.946,39.384,
specs/genbuf.spectra, 80, 124, 9.446,34.314,43.760,
specs/genbuf.spectra, 80, 125, 9.335,35.686,45.021,
specs/genbuf.spectra, 80, 126, 9.271,14.284,23.554,
specs/genbuf.spectra, 80, 127, 9.091,14.512,23.603,
specs/genbuf.spectra, 80, 128, 9.845,12.070,21.916,
specs/genbuf.spectra, 90, -1, 13.208,69.012,82.220,
specs/genbuf.spectra, 90, 0, 12.327,57.869,70.196,
specs/genbuf.spectra, 90, 1, 12.655,21.004,33.660,
specs/genbuf.spectra, 90, 2, 13.053,41.068,54.120,
specs/genbuf.spectra, 90, 3, 13.157,39.583,52.740,
specs/genbuf.spectra, 90, 4, 12.891,51.091,63.982,
specs/genbuf.spectra, 90, 5, 12.996,43.755,56.751,
specs/genbuf.spectra, 90, 6, 12.864,33.599,46.463,
specs/genbuf.spectra, 90, 7, 12.627,9.268,21.895,
specs/genbuf.spectra, 90, 8, 12.357,35.032,47.389,
specs/genbuf.spectra, 90, 9, 13.155,70.783,83.938,
specs/genbuf.spectra, 90, 10, 12.768,23.534,36.303,
specs/genbuf.spectra, 90, 11, 12.395,20.321,32.716,
specs/genbuf.spectra, 90, 12, 12.938,45.550,58.488,
specs/genbuf.spectra, 90, 13, 13.018,22.722,35.740,
specs/genbuf.spectra, 90, 14, 13.194,65.016,78.210,
specs/genbuf.spectra, 90, 15, 13.017,68.057,81.073,
specs/genbuf.spectra, 90, 16, 13.068,21.627,34.695,
specs/genbuf.spectra, 90, 17, 13.042,21.454,34.496,
specs/genbuf.spectra, 90, 18, 13.108,26.378,39.486,
specs/genbuf.spectra, 90, 19, 13.669,23.335,37.004,
specs/genbuf.spectra, 90, 20, 13.460,26.058,39.518,
specs/genbuf.spectra, 90, 21, 13.074,53.158,66.232,
specs/genbuf.spectra, 90, 22, 13.183,22.601,35.784,
specs/genbuf.spectra, 90, 23, 13.616,158.639,172.254,
specs/genbuf.spectra, 90, 24, 6.573,14.226,20.799,
specs/genbuf.spectra, 90, 25, 13.051,22.231,35.282,
specs/genbuf.spectra, 90, 26, 13.100,23.571,36.672,
specs/genbuf.spectra, 90, 27, 13.019,23.219,36.238,
specs/genbuf.spectra, 90, 118, 13.054,71.993,85.047,
specs/genbuf.spectra, 90, 119, 13.595,28.674,42.269,
specs/genbuf.spectra, 90, 120, 13.211,11.483,24.694,
specs/genbuf.spectra, 90, 121, 12.969,74.204,87.173,
specs/genbuf.spectra, 90, 122, 13.336,70.839,84.175,
specs/genbuf.spectra, 90, 123, 13.056,60.017,73.073,
specs/genbuf.spectra, 90, 124, 13.251,71.127,84.378,
specs/genbuf.spectra, 90, 125, 13.259,67.035,80.294,
specs/genbuf.spectra, 90, 126, 11.990,19.870,31.860,
specs/genbuf.spectra, 90, 127, 13.998,42.530,56.528,
specs/genbuf.spectra, 90, 128, 14.009,45.276,59.285,
specs/genbuf.spectra, 90, 129, 13.475,80.488,93.962,
specs/genbuf.spectra, 90, 130, 13.197,20.380,33.577,
specs/genbuf.spectra, 90, 131, 13.821,16.436,30.257,
specs/genbuf.spectra, 90, 132, 13.181,21.899,35.080,
specs/genbuf.spectra, 90, 133, 13.118,37.687,50.806,
specs/genbuf.spectra, 90, 134, 13.359,55.915,69.274,
specs/genbuf.spectra, 90, 135, 13.129,60.365,73.493,
specs/genbuf.spectra, 90, 136, 13.320,20.939,34.259,
specs/genbuf.spectra, 90, 137, 14.718,40.259,54.977,
specs/genbuf.spectra, 90, 138, 13.209,77.559,90.768,
specs/genbuf.spectra, 100, -1, 17.484,89.868,107.352,
specs/genbuf.spectra, 100, 0, 17.177,30.203,47.380,
specs/genbuf.spectra, 100, 1, 17.649,106.425,124.074,
