Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgf.spectra, 60, -1, 4.167,32.716,36.883,
specs/genbuf_unreal_wgf.spectra, 60, 0, 4.065,34.222,38.286,
specs/genbuf_unreal_wgf.spectra, 60, 1, 3.967,35.287,39.254,
specs/genbuf_unreal_wgf.spectra, 60, 2, 4.082,27.794,31.876,
specs/genbuf_unreal_wgf.spectra, 60, 3, 3.938,29.801,33.739,
specs/genbuf_unreal_wgf.spectra, 60, 4, 3.954,34.323,38.277,
specs/genbuf_unreal_wgf.spectra, 60, 5, 3.946,31.913,35.859,
specs/genbuf_unreal_wgf.spectra, 60, 6, 4.033,31.506,35.539,
specs/genbuf_unreal_wgf.spectra, 60, 7, 3.945,9.421,13.367,
specs/genbuf_unreal_wgf.spectra, 60, 8, 3.993,41.747,45.740,
specs/genbuf_unreal_wgf.spectra, 60, 9, 4.040,15.856,19.896,
specs/genbuf_unreal_wgf.spectra, 60, 10, 4.237,16.182,20.419,
specs/genbuf_unreal_wgf.spectra, 60, 11, 3.842,9.200,13.042,
specs/genbuf_unreal_wgf.spectra, 60, 12, 3.991,26.793,30.785,
specs/genbuf_unreal_wgf.spectra, 60, 13, 4.061,14.975,19.036,
specs/genbuf_unreal_wgf.spectra, 60, 14, 3.987,96.445,100.432,
specs/genbuf_unreal_wgf.spectra, 60, 15, 3.905,44.313,48.218,
specs/genbuf_unreal_wgf.spectra, 60, 16, 3.944,42.027,45.971,
specs/genbuf_unreal_wgf.spectra, 60, 17, 3.942,37.434,41.376,
specs/genbuf_unreal_wgf.spectra, 60, 18, 3.833,33.635,37.467,
specs/genbuf_unreal_wgf.spectra, 60, 19, 4.122,36.605,40.727,
specs/genbuf_unreal_wgf.spectra, 60, 20, 3.885,33.375,37.260,
specs/genbuf_unreal_wgf.spectra, 60, 21, 3.926,31.740,35.667,
specs/genbuf_unreal_wgf.spectra, 60, 22, 3.899,28.526,32.425,
specs/genbuf_unreal_wgf.spectra, 60, 23, 3.942,40.472,44.413,
specs/genbuf_unreal_wgf.spectra, 60, 24, 2.307,8.270,10.577,
specs/genbuf_unreal_wgf.spectra, 60, 25, 4.024,4.473,8.497,
specs/genbuf_unreal_wgf.spectra, 60, 26, 3.890,10.331,14.222,
specs/genbuf_unreal_wgf.spectra, 60, 27, 3.789,38.499,42.288,
specs/genbuf_unreal_wgf.spectra, 60, 88, 4.104,43.219,47.323,
specs/genbuf_unreal_wgf.spectra, 60, 89, 4.046,30.943,34.989,
specs/genbuf_unreal_wgf.spectra, 60, 90, 4.137,4.134,8.272,
specs/genbuf_unreal_wgf.spectra, 60, 91, 3.927,40.478,44.405,
specs/genbuf_unreal_wgf.spectra, 60, 92, 3.964,36.374,40.338,
specs/genbuf_unreal_wgf.spectra, 60, 93, 4.028,40.873,44.901,
specs/genbuf_unreal_wgf.spectra, 60, 94, 4.014,42.412,46.427,
specs/genbuf_unreal_wgf.spectra, 60, 95, 4.006,39.284,43.290,
specs/genbuf_unreal_wgf.spectra, 60, 96, 3.914,23.156,27.070,
specs/genbuf_unreal_wgf.spectra, 60, 97, 4.056,37.351,41.407,
specs/genbuf_unreal_wgf.spectra, 60, 98, 4.271,26.472,30.743,
specs/genbuf_unreal_wgf.spectra, 60, 99, 3.926,28.412,32.338,
specs/genbuf_unreal_wgf.spectra, 60, 100, 3.944,15.439,19.383,
specs/genbuf_unreal_wgf.spectra, 60, 101, 3.728,16.126,19.854,
specs/genbuf_unreal_wgf.spectra, 60, 102, 3.878,1.305,5.183,
specs/genbuf_unreal_wgf.spectra, 60, 103, 3.805,3.242,7.047,
specs/genbuf_unreal_wgf.spectra, 60, 104, 3.895,29.112,33.008,
specs/genbuf_unreal_wgf.spectra, 60, 105, 3.973,11.312,15.285,
specs/genbuf_unreal_wgf.spectra, 60, 106, 3.879,25.798,29.677,
specs/genbuf_unreal_wgf.spectra, 60, 107, 3.970,3.237,7.207,
specs/genbuf_unreal_wgf.spectra, 60, 108, 3.803,3.234,7.037,
specs/genbuf_unreal_wgf.spectra, 70, -1, 6.099,50.222,56.321,
specs/genbuf_unreal_wgf.spectra, 70, 0, 5.816,66.139,71.955,
specs/genbuf_unreal_wgf.spectra, 70, 1, 5.959,62.631,68.591,
specs/genbuf_unreal_wgf.spectra, 70, 2, 6.105,46.839,52.945,
specs/genbuf_unreal_wgf.spectra, 70, 3, 6.073,55.824,61.897,
specs/genbuf_unreal_wgf.spectra, 70, 4, 6.068,52.110,58.178,
specs/genbuf_unreal_wgf.spectra, 70, 5, 5.995,41.124,47.119,
specs/genbuf_unreal_wgf.spectra, 70, 6, 5.826,59.658,65.484,
specs/genbuf_unreal_wgf.spectra, 70, 7, 5.558,17.132,22.689,
specs/genbuf_unreal_wgf.spectra, 70, 8, 5.611,58.648,64.259,
specs/genbuf_unreal_wgf.spectra, 70, 9, 6.023,23.687,29.710,
specs/genbuf_unreal_wgf.spectra, 70, 10, 5.982,28.082,34.064,
specs/genbuf_unreal_wgf.spectra, 70, 11, 5.514,12.821,18.335,
specs/genbuf_unreal_wgf.spectra, 70, 12, 6.146,42.065,48.211,
specs/genbuf_unreal_wgf.spectra, 70, 13, 6.003,20.502,26.505,
specs/genbuf_unreal_wgf.spectra, 70, 14, 5.936,79.485,85.421,
specs/genbuf_unreal_wgf.spectra, 70, 15, 5.918,49.837,55.754,
specs/genbuf_unreal_wgf.spectra, 70, 16, 5.940,41.042,46.981,
specs/genbuf_unreal_wgf.spectra, 70, 17, 6.022,42.369,48.392,
specs/genbuf_unreal_wgf.spectra, 70, 18, 5.941,45.466,51.407,
specs/genbuf_unreal_wgf.spectra, 70, 19, 5.998,49.939,55.937,
specs/genbuf_unreal_wgf.spectra, 70, 20, 6.037,54.929,60.966,
specs/genbuf_unreal_wgf.spectra, 70, 21, 5.958,48.692,54.650,
specs/genbuf_unreal_wgf.spectra, 70, 22, 5.937,42.361,48.297,
specs/genbuf_unreal_wgf.spectra, 70, 23, 5.882,45.729,51.611,
specs/genbuf_unreal_wgf.spectra, 70, 24, 3.094,17.584,20.678,
specs/genbuf_unreal_wgf.spectra, 70, 25, 6.183,7.258,13.441,
specs/genbuf_unreal_wgf.spectra, 70, 26, 6.146,12.250,18.396,
specs/genbuf_unreal_wgf.spectra, 70, 27, 6.557,51.456,58.013,
specs/genbuf_unreal_wgf.spectra, 70, 98, 5.974,50.611,56.585,
specs/genbuf_unreal_wgf.spectra, 70, 99, 6.018,48.793,54.811,
specs/genbuf_unreal_wgf.spectra, 70, 100, 6.153,4.264,10.417,
specs/genbuf_unreal_wgf.spectra, 70, 101, 6.063,65.767,71.831,
specs/genbuf_unreal_wgf.spectra, 70, 102, 6.070,50.741,56.811,
specs/genbuf_unreal_wgf.spectra, 70, 103, 5.935,63.980,69.915,
specs/genbuf_unreal_wgf.spectra, 70, 104, 6.081,50.707,56.788,
specs/genbuf_unreal_wgf.spectra, 70, 105, 6.065,51.180,57.245,
specs/genbuf_unreal_wgf.spectra, 70, 106, 6.055,24.778,30.834,
specs/genbuf_unreal_wgf.spectra, 70, 107, 6.143,48.677,54.820,
specs/genbuf_unreal_wgf.spectra, 70, 108, 6.032,43.662,49.694,
specs/genbuf_unreal_wgf.spectra, 70, 109, 6.252,116.598,122.850,
specs/genbuf_unreal_wgf.spectra, 70, 110, 5.878,22.714,28.593,
specs/genbuf_unreal_wgf.spectra, 70, 111, 5.907,27.425,33.332,
specs/genbuf_unreal_wgf.spectra, 70, 112, 5.896,2.110,8.006,
specs/genbuf_unreal_wgf.spectra, 70, 113, 6.041,4.854,10.894,
specs/genbuf_unreal_wgf.spectra, 70, 114, 5.927,43.323,49.250,
specs/genbuf_unreal_wgf.spectra, 70, 115, 6.009,15.513,21.522,
specs/genbuf_unreal_wgf.spectra, 70, 116, 6.127,37.852,43.978,
specs/genbuf_unreal_wgf.spectra, 70, 117, 6.306,2.414,8.720,
specs/genbuf_unreal_wgf.spectra, 70, 118, 6.112,2.414,8.526,
specs/genbuf_unreal_wgf.spectra, 80, -1, 9.157,105.463,114.620,
specs/genbuf_unreal_wgf.spectra, 80, 0, 9.190,65.089,74.279,
specs/genbuf_unreal_wgf.spectra, 80, 1, 9.071,93.730,102.801,
specs/genbuf_unreal_wgf.spectra, 80, 2, 9.120,90.124,99.244,
specs/genbuf_unreal_wgf.spectra, 80, 3, 9.278,67.365,76.644,
specs/genbuf_unreal_wgf.spectra, 80, 4, 9.421,88.360,97.780,
specs/genbuf_unreal_wgf.spectra, 80, 5, 9.430,99.927,109.357,
specs/genbuf_unreal_wgf.spectra, 80, 6, 9.076,66.071,75.147,
specs/genbuf_unreal_wgf.spectra, 80, 7, 9.191,32.191,41.382,
specs/genbuf_unreal_wgf.spectra, 80, 8, 8.845,95.488,104.334,
specs/genbuf_unreal_wgf.spectra, 80, 9, 9.255,41.881,51.135,
specs/genbuf_unreal_wgf.spectra, 80, 10, 9.335,35.631,44.967,
specs/genbuf_unreal_wgf.spectra, 80, 11, 8.607,20.249,28.856,
specs/genbuf_unreal_wgf.spectra, 80, 12, 9.666,73.447,83.112,
specs/genbuf_unreal_wgf.spectra, 80, 13, 9.411,33.028,42.439,
specs/genbuf_unreal_wgf.spectra, 80, 14, 9.619,136.256,145.875,
specs/genbuf_unreal_wgf.spectra, 80, 15, 9.442,69.713,79.155,
specs/genbuf_unreal_wgf.spectra, 80, 16, 9.391,80.794,90.185,
specs/genbuf_unreal_wgf.spectra, 80, 17, 9.556,76.234,85.790,
specs/genbuf_unreal_wgf.spectra, 80, 18, 9.508,70.876,80.384,
specs/genbuf_unreal_wgf.spectra, 80, 19, 9.638,71.168,80.806,
specs/genbuf_unreal_wgf.spectra, 80, 20, 9.579,79.704,89.283,
specs/genbuf_unreal_wgf.spectra, 80, 21, 9.732,67.717,77.449,
specs/genbuf_unreal_wgf.spectra, 80, 22, 9.793,72.099,81.892,
specs/genbuf_unreal_wgf.spectra, 80, 23, 9.288,61.052,70.340,
specs/genbuf_unreal_wgf.spectra, 80, 24, 4.553,24.941,29.493,
specs/genbuf_unreal_wgf.spectra, 80, 25, 9.427,10.994,20.422,
specs/genbuf_unreal_wgf.spectra, 80, 26, 9.341,28.271,37.612,
specs/genbuf_unreal_wgf.spectra, 80, 27, 9.376,71.139,80.515,
specs/genbuf_unreal_wgf.spectra, 80, 108, 9.627,92.959,102.587,
specs/genbuf_unreal_wgf.spectra, 80, 109, 9.582,86.244,95.827,
specs/genbuf_unreal_wgf.spectra, 80, 110, 9.331,10.725,20.056,
specs/genbuf_unreal_wgf.spectra, 80, 111, 9.480,79.322,88.802,
specs/genbuf_unreal_wgf.spectra, 80, 112, 9.441,66.076,75.517,
specs/genbuf_unreal_wgf.spectra, 80, 113, 9.361,67.182,76.543,
specs/genbuf_unreal_wgf.spectra, 80, 114, 9.386,88.726,98.112,
specs/genbuf_unreal_wgf.spectra, 80, 115, 9.371,66.720,76.091,
specs/genbuf_unreal_wgf.spectra, 80, 116, 9.464,58.068,67.532,
specs/genbuf_unreal_wgf.spectra, 80, 117, 9.194,152.810,162.004,
specs/genbuf_unreal_wgf.spectra, 80, 118, 8.996,36.284,45.280,
specs/genbuf_unreal_wgf.spectra, 80, 119, 8.878,95.853,104.732,
specs/genbuf_unreal_wgf.spectra, 80, 120, 9.107,36.928,46.035,
specs/genbuf_unreal_wgf.spectra, 80, 121, 8.452,47.401,55.853,
specs/genbuf_unreal_wgf.spectra, 80, 122, 9.648,3.424,13.072,
specs/genbuf_unreal_wgf.spectra, 80, 123, 9.591,7.317,16.908,
specs/genbuf_unreal_wgf.spectra, 80, 124, 9.265,70.262,79.527,
specs/genbuf_unreal_wgf.spectra, 80, 125, 9.400,24.244,33.643,
specs/genbuf_unreal_wgf.spectra, 80, 126, 9.442,63.759,73.201,
specs/genbuf_unreal_wgf.spectra, 80, 127, 9.302,6.325,15.627,
specs/genbuf_unreal_wgf.spectra, 80, 128, 9.548,3.844,13.392,
specs/genbuf_unreal_wgf.spectra, 90, -1, 13.616,116.370,129.986,
specs/genbuf_unreal_wgf.spectra, 90, 0, 12.686,91.966,104.651,
specs/genbuf_unreal_wgf.spectra, 90, 1, 13.383,112.631,126.015,
specs/genbuf_unreal_wgf.spectra, 90, 2, 13.146,121.270,134.416,
specs/genbuf_unreal_wgf.spectra, 90, 3, 12.843,137.801,150.644,
specs/genbuf_unreal_wgf.spectra, 90, 4, 12.973,144.616,157.589,
specs/genbuf_unreal_wgf.spectra, 90, 5, 13.136,113.335,126.471,
specs/genbuf_unreal_wgf.spectra, 90, 6, 12.804,100.170,112.975,
specs/genbuf_unreal_wgf.spectra, 90, 7, 12.191,25.749,37.940,
specs/genbuf_unreal_wgf.spectra, 90, 8, 12.534,145.163,157.697,
specs/genbuf_unreal_wgf.spectra, 90, 9, 12.767,51.071,63.838,
specs/genbuf_unreal_wgf.spectra, 90, 10, 12.898,44.561,57.459,
specs/genbuf_unreal_wgf.spectra, 90, 11, 12.365,23.078,35.444,
specs/genbuf_unreal_wgf.spectra, 90, 12, 13.041,99.876,112.918,
specs/genbuf_unreal_wgf.spectra, 90, 13, 12.989,45.026,58.014,
specs/genbuf_unreal_wgf.spectra, 90, 14, 12.989,188.253,201.242,
specs/genbuf_unreal_wgf.spectra, 90, 15, 12.711,107.879,120.590,
specs/genbuf_unreal_wgf.spectra, 90, 16, 13.259,110.356,123.614,
specs/genbuf_unreal_wgf.spectra, 90, 17, 12.813,90.565,103.378,
specs/genbuf_unreal_wgf.spectra, 90, 18, 12.742,147.234,159.976,
specs/genbuf_unreal_wgf.spectra, 90, 19, 12.738,91.075,103.813,
specs/genbuf_unreal_wgf.spectra, 90, 20, 12.812,101.971,114.783,
specs/genbuf_unreal_wgf.spectra, 90, 21, 13.071,137.377,150.448,
specs/genbuf_unreal_wgf.spectra, 90, 22, 12.759,100.500,113.259,
specs/genbuf_unreal_wgf.spectra, 90, 23, 13.006,178.974,191.981,
specs/genbuf_unreal_wgf.spectra, 90, 24, 6.308,41.153,47.461,
specs/genbuf_unreal_wgf.spectra, 90, 25, 13.001,13.621,26.622,
specs/genbuf_unreal_wgf.spectra, 90, 26, 12.929,37.879,50.808,
specs/genbuf_unreal_wgf.spectra, 90, 27, 12.886,121.285,134.171,
specs/genbuf_unreal_wgf.spectra, 90, 118, 12.852,133.936,146.788,
specs/genbuf_unreal_wgf.spectra, 90, 119, 12.865,139.470,152.335,
specs/genbuf_unreal_wgf.spectra, 90, 120, 12.884,14.370,27.253,
specs/genbuf_unreal_wgf.spectra, 90, 121, 12.692,109.397,122.089,
specs/genbuf_unreal_wgf.spectra, 90, 122, 12.897,124.066,136.962,
specs/genbuf_unreal_wgf.spectra, 90, 123, 12.731,89.934,102.665,
specs/genbuf_unreal_wgf.spectra, 90, 124, 13.149,141.001,154.150,
specs/genbuf_unreal_wgf.spectra, 90, 125, 13.039,130.312,143.351,
specs/genbuf_unreal_wgf.spectra, 90, 126, 13.101,74.442,87.543,
specs/genbuf_unreal_wgf.spectra, 90, 127, 11.555,89.912,101.467,
specs/genbuf_unreal_wgf.spectra, 90, 128, 13.392,58.520,71.912,
specs/genbuf_unreal_wgf.spectra, 90, 129, 12.750,128.962,141.711,
specs/genbuf_unreal_wgf.spectra, 90, 130, 13.039,59.610,72.649,
specs/genbuf_unreal_wgf.spectra, 90, 131, 11.795,66.825,78.620,
specs/genbuf_unreal_wgf.spectra, 90, 132, 12.548,3.896,16.444,
specs/genbuf_unreal_wgf.spectra, 90, 133, 12.398,8.764,21.162,
specs/genbuf_unreal_wgf.spectra, 90, 134, 12.766,95.093,107.859,
specs/genbuf_unreal_wgf.spectra, 90, 135, 12.864,34.267,47.131,
specs/genbuf_unreal_wgf.spectra, 90, 136, 12.895,72.876,85.770,
specs/genbuf_unreal_wgf.spectra, 90, 137, 12.639,4.574,17.213,
specs/genbuf_unreal_wgf.spectra, 90, 138, 12.550,10.490,23.040,
specs/genbuf_unreal_wgf.spectra, 100, -1, 17.498,210.794,228.292,
specs/genbuf_unreal_wgf.spectra, 100, 0, 17.230,215.535,232.765,
specs/genbuf_unreal_wgf.spectra, 100, 1, 17.422,246.760,264.182,
specs/genbuf_unreal_wgf.spectra, 100, 2, 18.733,216.514,235.247,
specs/genbuf_unreal_wgf.spectra, 100, 3, 18.336,145.880,164.217,
specs/genbuf_unreal_wgf.spectra, 100, 4, 18.085,223.428,241.512,
specs/genbuf_unreal_wgf.spectra, 100, 5, 18.540,135.456,153.997,
specs/genbuf_unreal_wgf.spectra, 100, 6, 18.386,148.106,166.492,
specs/genbuf_unreal_wgf.spectra, 100, 7, 16.193,48.210,64.403,
specs/genbuf_unreal_wgf.spectra, 100, 8, 16.162,238.011,254.173,
specs/genbuf_unreal_wgf.spectra, 100, 9, 16.849,85.156,102.005,
specs/genbuf_unreal_wgf.spectra, 100, 10, 17.113,65.014,82.127,
specs/genbuf_unreal_wgf.spectra, 100, 11, 15.848,30.194,46.042,
specs/genbuf_unreal_wgf.spectra, 100, 12, 17.556,105.436,122.991,
specs/genbuf_unreal_wgf.spectra, 100, 13, 17.601,57.538,75.139,
specs/genbuf_unreal_wgf.spectra, 100, 14, 18.419,303.014,321.433,
specs/genbuf_unreal_wgf.spectra, 100, 15, 17.690,149.074,166.763,
specs/genbuf_unreal_wgf.spectra, 100, 16, 17.353,143.630,160.982,
specs/genbuf_unreal_wgf.spectra, 100, 17, 17.820,179.723,197.543,
specs/genbuf_unreal_wgf.spectra, 100, 18, 17.255,138.175,155.430,
specs/genbuf_unreal_wgf.spectra, 100, 19, 17.319,181.950,199.269,
specs/genbuf_unreal_wgf.spectra, 100, 20, 17.228,142.389,159.617,
specs/genbuf_unreal_wgf.spectra, 100, 21, 17.000,173.051,190.051,
specs/genbuf_unreal_wgf.spectra, 100, 22, 17.091,176.642,193.733,
specs/genbuf_unreal_wgf.spectra, 100, 23, 16.831,151.904,168.734,
specs/genbuf_unreal_wgf.spectra, 100, 24, 7.559,45.553,53.113,
specs/genbuf_unreal_wgf.spectra, 100, 25, 16.906,17.789,34.694,
specs/genbuf_unreal_wgf.spectra, 100, 26, 16.795,46.922,63.716,
specs/genbuf_unreal_wgf.spectra, 100, 27, 16.873,158.228,175.101,
specs/genbuf_unreal_wgf.spectra, 100, 128, 16.807,214.136,230.943,
specs/genbuf_unreal_wgf.spectra, 100, 129, 16.620,135.560,152.180,
specs/genbuf_unreal_wgf.spectra, 100, 130, 16.878,17.727,34.605,
specs/genbuf_unreal_wgf.spectra, 100, 131, 16.845,180.795,197.640,
specs/genbuf_unreal_wgf.spectra, 100, 132, 17.173,188.582,205.755,
specs/genbuf_unreal_wgf.spectra, 100, 133, 17.189,231.737,248.926,
specs/genbuf_unreal_wgf.spectra, 100, 134, 16.993,210.080,227.073,
specs/genbuf_unreal_wgf.spectra, 100, 135, 16.993,173.466,190.459,
specs/genbuf_unreal_wgf.spectra, 100, 136, 17.056,129.960,147.016,
specs/genbuf_unreal_wgf.spectra, 100, 137, 16.673,175.898,192.571,
specs/genbuf_unreal_wgf.spectra, 100, 138, 17.330,86.713,104.044,
specs/genbuf_unreal_wgf.spectra, 100, 139, 17.103,178.275,195.378,
specs/genbuf_unreal_wgf.spectra, 100, 140, 16.572,84.849,101.421,
specs/genbuf_unreal_wgf.spectra, 100, 141, 16.033,105.799,121.833,
specs/genbuf_unreal_wgf.spectra, 100, 142, 17.212,6.623,23.836,
specs/genbuf_unreal_wgf.spectra, 100, 143, 17.262,12.976,30.238,
specs/genbuf_unreal_wgf.spectra, 100, 144, 17.413,131.323,148.737,
specs/genbuf_unreal_wgf.spectra, 100, 145, 17.285,42.317,59.603,
specs/genbuf_unreal_wgf.spectra, 100, 146, 16.973,87.893,104.866,
specs/genbuf_unreal_wgf.spectra, 100, 147, 16.721,13.066,29.787,
specs/genbuf_unreal_wgf.spectra, 100, 148, 16.985,9.490,26.475,
specs/genbuf_unreal_wgf.spectra, 110, -1, 24.014,234.120,258.134,
specs/genbuf_unreal_wgf.spectra, 110, 0, 24.211,237.238,261.448,
specs/genbuf_unreal_wgf.spectra, 110, 1, 24.278,222.276,246.554,
specs/genbuf_unreal_wgf.spectra, 110, 2, 24.639,461.141,485.780,
specs/genbuf_unreal_wgf.spectra, 110, 3, 24.257,394.886,419.143,
specs/genbuf_unreal_wgf.spectra, 110, 4, 23.932,184.696,208.628,
specs/genbuf_unreal_wgf.spectra, 110, 5, 24.882,371.926,396.809,
specs/genbuf_unreal_wgf.spectra, 110, 6, 22.950,262.106,285.056,
specs/genbuf_unreal_wgf.spectra, 110, 7, 22.100,52.815,74.915,
specs/genbuf_unreal_wgf.spectra, 110, 8, 22.508,212.113,234.621,
specs/genbuf_unreal_wgf.spectra, 110, 9, 23.519,84.684,108.203,
specs/genbuf_unreal_wgf.spectra, 110, 10, 23.306,84.563,107.869,
specs/genbuf_unreal_wgf.spectra, 110, 11, 21.541,39.245,60.786,
specs/genbuf_unreal_wgf.spectra, 110, 12, 23.715,148.469,172.184,
specs/genbuf_unreal_wgf.spectra, 110, 13, 23.868,70.596,94.464,
specs/genbuf_unreal_wgf.spectra, 110, 14, 23.652,307.855,331.507,
specs/genbuf_unreal_wgf.spectra, 110, 15, 23.588,243.774,267.363,
specs/genbuf_unreal_wgf.spectra, 110, 16, 23.765,261.069,284.834,
specs/genbuf_unreal_wgf.spectra, 110, 17, 23.683,248.275,271.958,
specs/genbuf_unreal_wgf.spectra, 110, 18, 23.361,253.213,276.574,
specs/genbuf_unreal_wgf.spectra, 110, 19, 23.579,231.912,255.492,
specs/genbuf_unreal_wgf.spectra, 110, 20, 23.743,257.369,281.113,
specs/genbuf_unreal_wgf.spectra, 110, 21, 23.733,258.345,282.077,
specs/genbuf_unreal_wgf.spectra, 110, 22, 23.641,229.496,253.137,
specs/genbuf_unreal_wgf.spectra, 110, 23, 22.334,211.870,234.204,
specs/genbuf_unreal_wgf.spectra, 110, 24, 9.947,65.776,75.723,
specs/genbuf_unreal_wgf.spectra, 110, 25, 23.774,24.682,48.457,
specs/genbuf_unreal_wgf.spectra, 110, 26, 23.662,71.749,95.411,
specs/genbuf_unreal_wgf.spectra, 110, 27, 23.820,176.661,200.482,
specs/genbuf_unreal_wgf.spectra, 110, 138, 23.797,254.944,278.741,
specs/genbuf_unreal_wgf.spectra, 110, 139, 23.799,246.694,270.493,
specs/genbuf_unreal_wgf.spectra, 110, 140, 23.712,25.133,48.845,
specs/genbuf_unreal_wgf.spectra, 110, 141, 23.669,237.828,261.497,
specs/genbuf_unreal_wgf.spectra, 110, 142, 23.506,253.241,276.747,
specs/genbuf_unreal_wgf.spectra, 110, 143, 23.731,240.465,264.196,
specs/genbuf_unreal_wgf.spectra, 110, 144, 23.798,238.828,262.626,
specs/genbuf_unreal_wgf.spectra, 110, 145, 24.093,239.369,263.462,
specs/genbuf_unreal_wgf.spectra, 110, 146, 24.010,127.460,151.470,
specs/genbuf_unreal_wgf.spectra, 110, 147, 23.966,176.745,200.711,
specs/genbuf_unreal_wgf.spectra, 110, 148, 24.869,109.066,133.935,
specs/genbuf_unreal_wgf.spectra, 110, 149, 22.203,226.807,249.011,
specs/genbuf_unreal_wgf.spectra, 110, 150, 23.079,102.652,125.731,
specs/genbuf_unreal_wgf.spectra, 110, 151, 22.219,186.490,208.709,
specs/genbuf_unreal_wgf.spectra, 110, 152, 23.873,12.559,36.432,
specs/genbuf_unreal_wgf.spectra, 110, 153, 23.850,16.561,40.411,
specs/genbuf_unreal_wgf.spectra, 110, 154, 23.431,154.035,177.467,
specs/genbuf_unreal_wgf.spectra, 110, 155, 24.639,227.540,252.180,
specs/genbuf_unreal_wgf.spectra, 110, 156, 23.856,151.815,175.671,
