Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgf.spectra, 60, -1, 4.704,3.052,7.756,
specs/genbuf_unreal_wgf.spectra, 60, 0, 4.125,2.782,6.907,
specs/genbuf_unreal_wgf.spectra, 60, 1, 4.657,2.909,7.566,
specs/genbuf_unreal_wgf.spectra, 60, 2, 4.335,2.808,7.144,
specs/genbuf_unreal_wgf.spectra, 60, 3, 4.279,2.996,7.275,
specs/genbuf_unreal_wgf.spectra, 60, 4, 4.478,3.360,7.838,
specs/genbuf_unreal_wgf.spectra, 60, 5, 4.188,2.787,6.976,
specs/genbuf_unreal_wgf.spectra, 60, 6, 4.073,2.791,6.864,
specs/genbuf_unreal_wgf.spectra, 60, 7, 4.162,0.563,4.725,
specs/genbuf_unreal_wgf.spectra, 60, 8, 3.958,2.691,6.649,
specs/genbuf_unreal_wgf.spectra, 60, 9, 4.113,2.221,6.334,
specs/genbuf_unreal_wgf.spectra, 60, 10, 4.055,1.487,5.542,
specs/genbuf_unreal_wgf.spectra, 60, 11, 3.884,1.076,4.960,
specs/genbuf_unreal_wgf.spectra, 60, 12, 4.242,2.870,7.112,
specs/genbuf_unreal_wgf.spectra, 60, 13, 4.282,2.533,6.815,
specs/genbuf_unreal_wgf.spectra, 60, 14, 4.356,6.276,10.632,
specs/genbuf_unreal_wgf.spectra, 60, 15, 4.466,3.287,7.752,
specs/genbuf_unreal_wgf.spectra, 60, 16, 4.500,2.973,7.473,
specs/genbuf_unreal_wgf.spectra, 60, 17, 4.650,2.777,7.427,
specs/genbuf_unreal_wgf.spectra, 60, 18, 4.151,3.128,7.279,
specs/genbuf_unreal_wgf.spectra, 60, 19, 4.299,3.149,7.448,
specs/genbuf_unreal_wgf.spectra, 60, 20, 4.292,3.310,7.602,
specs/genbuf_unreal_wgf.spectra, 60, 21, 4.222,2.990,7.212,
specs/genbuf_unreal_wgf.spectra, 60, 22, 4.275,2.951,7.227,
specs/genbuf_unreal_wgf.spectra, 60, 23, 4.094,3.288,7.382,
specs/genbuf_unreal_wgf.spectra, 60, 24, 2.686,0.635,3.321,
specs/genbuf_unreal_wgf.spectra, 60, 25, 4.758,0.929,5.687,
specs/genbuf_unreal_wgf.spectra, 60, 26, 4.602,1.779,6.381,
specs/genbuf_unreal_wgf.spectra, 60, 27, 4.616,2.475,7.091,
specs/genbuf_unreal_wgf.spectra, 60, 88, 4.584,2.554,7.138,
specs/genbuf_unreal_wgf.spectra, 60, 89, 4.507,2.169,6.675,
specs/genbuf_unreal_wgf.spectra, 60, 90, 4.485,0.720,5.204,
specs/genbuf_unreal_wgf.spectra, 60, 91, 4.599,2.974,7.572,
specs/genbuf_unreal_wgf.spectra, 60, 92, 4.371,2.959,7.331,
specs/genbuf_unreal_wgf.spectra, 60, 93, 4.392,2.874,7.266,
specs/genbuf_unreal_wgf.spectra, 60, 94, 4.604,2.773,7.377,
specs/genbuf_unreal_wgf.spectra, 60, 95, 4.565,3.094,7.658,
specs/genbuf_unreal_wgf.spectra, 60, 96, 4.688,2.415,7.103,
specs/genbuf_unreal_wgf.spectra, 60, 97, 4.627,5.623,10.250,
specs/genbuf_unreal_wgf.spectra, 60, 98, 4.500,5.385,9.885,
specs/genbuf_unreal_wgf.spectra, 60, 99, 4.374,2.715,7.089,
specs/genbuf_unreal_wgf.spectra, 60, 100, 4.747,2.026,6.773,
specs/genbuf_unreal_wgf.spectra, 60, 101, 4.087,3.101,7.188,
specs/genbuf_unreal_wgf.spectra, 60, 102, 4.359,1.766,6.124,
specs/genbuf_unreal_wgf.spectra, 60, 103, 4.260,1.796,6.056,
specs/genbuf_unreal_wgf.spectra, 60, 104, 4.535,2.919,7.454,
specs/genbuf_unreal_wgf.spectra, 60, 105, 4.213,2.320,6.533,
specs/genbuf_unreal_wgf.spectra, 60, 106, 4.422,2.012,6.434,
specs/genbuf_unreal_wgf.spectra, 60, 107, 4.226,1.615,5.841,
specs/genbuf_unreal_wgf.spectra, 60, 108, 4.268,1.673,5.940,
specs/genbuf_unreal_wgf.spectra, 70, -1, 6.298,2.976,9.274,
specs/genbuf_unreal_wgf.spectra, 70, 0, 6.281,3.412,9.693,
specs/genbuf_unreal_wgf.spectra, 70, 1, 6.253,4.062,10.314,
specs/genbuf_unreal_wgf.spectra, 70, 2, 6.563,4.387,10.950,
specs/genbuf_unreal_wgf.spectra, 70, 3, 6.582,2.919,9.501,
specs/genbuf_unreal_wgf.spectra, 70, 4, 6.496,3.052,9.548,
specs/genbuf_unreal_wgf.spectra, 70, 5, 6.590,4.104,10.694,
specs/genbuf_unreal_wgf.spectra, 70, 6, 6.454,4.020,10.473,
specs/genbuf_unreal_wgf.spectra, 70, 7, 5.772,1.603,7.376,
specs/genbuf_unreal_wgf.spectra, 70, 8, 6.247,3.599,9.846,
specs/genbuf_unreal_wgf.spectra, 70, 9, 6.561,3.188,9.749,
specs/genbuf_unreal_wgf.spectra, 70, 10, 6.557,3.631,10.189,
specs/genbuf_unreal_wgf.spectra, 70, 11, 6.290,1.526,7.816,
specs/genbuf_unreal_wgf.spectra, 70, 12, 6.339,2.823,9.162,
specs/genbuf_unreal_wgf.spectra, 70, 13, 6.597,2.342,8.939,
specs/genbuf_unreal_wgf.spectra, 70, 14, 6.435,4.618,11.052,
specs/genbuf_unreal_wgf.spectra, 70, 15, 6.515,2.805,9.320,
specs/genbuf_unreal_wgf.spectra, 70, 16, 6.340,4.174,10.514,
specs/genbuf_unreal_wgf.spectra, 70, 17, 6.329,4.350,10.679,
specs/genbuf_unreal_wgf.spectra, 70, 18, 6.461,4.360,10.820,
specs/genbuf_unreal_wgf.spectra, 70, 19, 6.542,2.888,9.430,
specs/genbuf_unreal_wgf.spectra, 70, 20, 6.504,4.273,10.778,
specs/genbuf_unreal_wgf.spectra, 70, 21, 6.562,4.208,10.771,
specs/genbuf_unreal_wgf.spectra, 70, 22, 6.375,4.249,10.624,
specs/genbuf_unreal_wgf.spectra, 70, 23, 6.668,3.099,9.766,
specs/genbuf_unreal_wgf.spectra, 70, 24, 3.261,1.319,4.580,
specs/genbuf_unreal_wgf.spectra, 70, 25, 6.316,1.309,7.625,
specs/genbuf_unreal_wgf.spectra, 70, 26, 6.617,1.989,8.607,
specs/genbuf_unreal_wgf.spectra, 70, 27, 6.543,2.852,9.396,
specs/genbuf_unreal_wgf.spectra, 70, 98, 6.540,2.649,9.188,
specs/genbuf_unreal_wgf.spectra, 70, 99, 6.638,2.738,9.376,
specs/genbuf_unreal_wgf.spectra, 70, 100, 6.368,1.002,7.371,
specs/genbuf_unreal_wgf.spectra, 70, 101, 6.482,3.076,9.558,
specs/genbuf_unreal_wgf.spectra, 70, 102, 6.533,2.948,9.481,
specs/genbuf_unreal_wgf.spectra, 70, 103, 6.497,2.927,9.424,
specs/genbuf_unreal_wgf.spectra, 70, 104, 6.670,2.909,9.580,
specs/genbuf_unreal_wgf.spectra, 70, 105, 6.563,2.895,9.458,
specs/genbuf_unreal_wgf.spectra, 70, 106, 6.315,2.607,8.922,
specs/genbuf_unreal_wgf.spectra, 70, 107, 6.636,3.920,10.556,
specs/genbuf_unreal_wgf.spectra, 70, 108, 6.473,8.966,15.439,
specs/genbuf_unreal_wgf.spectra, 70, 109, 6.459,8.175,14.634,
specs/genbuf_unreal_wgf.spectra, 70, 110, 6.544,2.706,9.250,
specs/genbuf_unreal_wgf.spectra, 70, 111, 5.969,3.870,9.840,
specs/genbuf_unreal_wgf.spectra, 70, 112, 6.444,2.738,9.182,
specs/genbuf_unreal_wgf.spectra, 70, 113, 6.614,1.487,8.101,
specs/genbuf_unreal_wgf.spectra, 70, 114, 6.644,3.812,10.456,
specs/genbuf_unreal_wgf.spectra, 70, 115, 6.509,3.315,9.824,
specs/genbuf_unreal_wgf.spectra, 70, 116, 6.481,2.837,9.318,
specs/genbuf_unreal_wgf.spectra, 70, 117, 6.509,1.168,7.678,
specs/genbuf_unreal_wgf.spectra, 70, 118, 6.476,1.105,7.581,
specs/genbuf_unreal_wgf.spectra, 80, -1, 9.934,6.697,16.631,
specs/genbuf_unreal_wgf.spectra, 80, 0, 10.371,5.518,15.889,
specs/genbuf_unreal_wgf.spectra, 80, 1, 10.466,5.100,15.566,
specs/genbuf_unreal_wgf.spectra, 80, 2, 10.190,5.036,15.226,
specs/genbuf_unreal_wgf.spectra, 80, 3, 10.587,4.919,15.507,
specs/genbuf_unreal_wgf.spectra, 80, 4, 10.211,6.381,16.593,
specs/genbuf_unreal_wgf.spectra, 80, 5, 10.995,4.472,15.466,
specs/genbuf_unreal_wgf.spectra, 80, 6, 9.465,6.098,15.564,
specs/genbuf_unreal_wgf.spectra, 80, 7, 9.583,2.680,12.263,
specs/genbuf_unreal_wgf.spectra, 80, 8, 10.039,4.083,14.122,
specs/genbuf_unreal_wgf.spectra, 80, 9, 10.161,3.501,13.662,
specs/genbuf_unreal_wgf.spectra, 80, 10, 10.080,3.396,13.476,
specs/genbuf_unreal_wgf.spectra, 80, 11, 9.477,1.651,11.128,
specs/genbuf_unreal_wgf.spectra, 80, 12, 9.998,3.998,13.996,
specs/genbuf_unreal_wgf.spectra, 80, 13, 9.907,5.183,15.089,
specs/genbuf_unreal_wgf.spectra, 80, 14, 9.888,7.842,17.731,
specs/genbuf_unreal_wgf.spectra, 80, 15, 9.799,6.947,16.746,
specs/genbuf_unreal_wgf.spectra, 80, 16, 9.611,6.586,16.197,
specs/genbuf_unreal_wgf.spectra, 80, 17, 10.876,5.114,15.989,
specs/genbuf_unreal_wgf.spectra, 80, 18, 9.751,6.712,16.463,
specs/genbuf_unreal_wgf.spectra, 80, 19, 9.627,6.637,16.264,
specs/genbuf_unreal_wgf.spectra, 80, 20, 10.013,6.476,16.489,
