Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgf.spectra, 60, -1, 4.293,11.742,16.034,
specs/genbuf_unreal_wgf.spectra, 60, 0, 3.932,7.584,11.516,
specs/genbuf_unreal_wgf.spectra, 60, 1, 4.190,10.506,14.695,
specs/genbuf_unreal_wgf.spectra, 60, 2, 3.888,6.757,10.646,
specs/genbuf_unreal_wgf.spectra, 60, 3, 3.894,13.576,17.470,
specs/genbuf_unreal_wgf.spectra, 60, 4, 3.896,14.226,18.122,
specs/genbuf_unreal_wgf.spectra, 60, 5, 4.025,12.860,16.886,
specs/genbuf_unreal_wgf.spectra, 60, 6, 3.935,11.857,15.791,
specs/genbuf_unreal_wgf.spectra, 60, 7, 3.833,2.790,6.623,
specs/genbuf_unreal_wgf.spectra, 60, 8, 3.765,6.719,10.484,
specs/genbuf_unreal_wgf.spectra, 60, 9, 3.729,6.612,10.341,
specs/genbuf_unreal_wgf.spectra, 60, 10, 3.818,3.143,6.961,
specs/genbuf_unreal_wgf.spectra, 60, 11, 3.583,2.600,6.183,
specs/genbuf_unreal_wgf.spectra, 60, 12, 3.865,6.910,10.775,
specs/genbuf_unreal_wgf.spectra, 60, 13, 3.844,6.809,10.653,
specs/genbuf_unreal_wgf.spectra, 60, 14, 3.921,15.002,18.923,
specs/genbuf_unreal_wgf.spectra, 60, 15, 4.228,11.181,15.409,
specs/genbuf_unreal_wgf.spectra, 60, 16, 4.212,13.638,17.850,
specs/genbuf_unreal_wgf.spectra, 60, 17, 4.167,11.288,15.455,
specs/genbuf_unreal_wgf.spectra, 60, 18, 3.901,13.217,17.118,
specs/genbuf_unreal_wgf.spectra, 60, 19, 3.939,12.244,16.183,
specs/genbuf_unreal_wgf.spectra, 60, 20, 3.969,13.242,17.211,
specs/genbuf_unreal_wgf.spectra, 60, 21, 3.944,7.375,11.319,
specs/genbuf_unreal_wgf.spectra, 60, 22, 3.846,6.887,10.733,
specs/genbuf_unreal_wgf.spectra, 60, 23, 3.900,12.522,16.422,
specs/genbuf_unreal_wgf.spectra, 60, 24, 2.333,3.336,5.669,
specs/genbuf_unreal_wgf.spectra, 60, 25, 4.321,4.154,8.475,
specs/genbuf_unreal_wgf.spectra, 60, 26, 4.218,4.742,8.960,
specs/genbuf_unreal_wgf.spectra, 60, 27, 4.098,10.153,14.251,
specs/genbuf_unreal_wgf.spectra, 60, 88, 4.256,10.115,14.371,
specs/genbuf_unreal_wgf.spectra, 60, 89, 4.213,10.041,14.254,
specs/genbuf_unreal_wgf.spectra, 60, 90, 4.221,1.753,5.974,
specs/genbuf_unreal_wgf.spectra, 60, 91, 4.184,11.950,16.134,
specs/genbuf_unreal_wgf.spectra, 60, 92, 4.211,9.618,13.830,
specs/genbuf_unreal_wgf.spectra, 60, 93, 4.178,10.364,14.542,
specs/genbuf_unreal_wgf.spectra, 60, 94, 4.144,7.686,11.830,
specs/genbuf_unreal_wgf.spectra, 60, 95, 4.150,8.934,13.083,
specs/genbuf_unreal_wgf.spectra, 60, 96, 4.014,6.096,10.110,
specs/genbuf_unreal_wgf.spectra, 60, 97, 4.103,10.191,14.295,
specs/genbuf_unreal_wgf.spectra, 60, 98, 4.164,14.039,18.202,
specs/genbuf_unreal_wgf.spectra, 60, 99, 3.850,6.974,10.824,
specs/genbuf_unreal_wgf.spectra, 60, 100, 4.157,5.944,10.101,
specs/genbuf_unreal_wgf.spectra, 60, 101, 3.740,13.160,16.901,
specs/genbuf_unreal_wgf.spectra, 60, 102, 3.827,5.444,9.271,
specs/genbuf_unreal_wgf.spectra, 60, 103, 3.854,6.120,9.975,
specs/genbuf_unreal_wgf.spectra, 60, 104, 4.196,12.881,17.077,
specs/genbuf_unreal_wgf.spectra, 60, 105, 3.879,6.152,10.031,
specs/genbuf_unreal_wgf.spectra, 60, 106, 4.149,6.400,10.549,
specs/genbuf_unreal_wgf.spectra, 60, 107, 3.810,3.041,6.851,
specs/genbuf_unreal_wgf.spectra, 60, 108, 3.869,3.085,6.954,
specs/genbuf_unreal_wgf.spectra, 70, -1, 6.186,16.949,23.135,
specs/genbuf_unreal_wgf.spectra, 70, 0, 5.928,14.840,20.768,
specs/genbuf_unreal_wgf.spectra, 70, 1, 6.123,12.507,18.630,
specs/genbuf_unreal_wgf.spectra, 70, 2, 6.057,11.061,17.118,
specs/genbuf_unreal_wgf.spectra, 70, 3, 6.214,15.493,21.707,
specs/genbuf_unreal_wgf.spectra, 70, 4, 6.233,17.446,23.679,
specs/genbuf_unreal_wgf.spectra, 70, 5, 5.973,10.489,16.462,
specs/genbuf_unreal_wgf.spectra, 70, 6, 5.919,9.503,15.421,
specs/genbuf_unreal_wgf.spectra, 70, 7, 5.601,8.169,13.771,
specs/genbuf_unreal_wgf.spectra, 70, 8, 5.831,13.055,18.886,
specs/genbuf_unreal_wgf.spectra, 70, 9, 6.095,10.701,16.796,
specs/genbuf_unreal_wgf.spectra, 70, 10, 6.036,7.774,13.810,
specs/genbuf_unreal_wgf.spectra, 70, 11, 6.010,5.380,11.390,
specs/genbuf_unreal_wgf.spectra, 70, 12, 6.062,15.761,21.822,
specs/genbuf_unreal_wgf.spectra, 70, 13, 6.124,14.812,20.936,
specs/genbuf_unreal_wgf.spectra, 70, 14, 6.072,12.430,18.502,
specs/genbuf_unreal_wgf.spectra, 70, 15, 6.133,16.822,22.955,
specs/genbuf_unreal_wgf.spectra, 70, 16, 6.005,12.186,18.191,
specs/genbuf_unreal_wgf.spectra, 70, 17, 6.126,11.127,17.254,
specs/genbuf_unreal_wgf.spectra, 70, 18, 6.166,11.703,17.869,
specs/genbuf_unreal_wgf.spectra, 70, 19, 6.066,18.396,24.462,
specs/genbuf_unreal_wgf.spectra, 70, 20, 6.016,12.349,18.365,
specs/genbuf_unreal_wgf.spectra, 70, 21, 6.151,10.831,16.983,
