Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgt.spectra, 60, -1, 3.996,7.028,11.024,
specs/genbuf_unreal_wgt.spectra, 60, 0, 3.917,15.950,19.868,
specs/genbuf_unreal_wgt.spectra, 60, 1, 3.770,6.803,10.573,
specs/genbuf_unreal_wgt.spectra, 60, 2, 3.850,11.554,15.405,
specs/genbuf_unreal_wgt.spectra, 60, 3, 3.814,6.975,10.788,
specs/genbuf_unreal_wgt.spectra, 60, 4, 3.863,11.813,15.676,
specs/genbuf_unreal_wgt.spectra, 60, 5, 3.881,6.941,10.823,
specs/genbuf_unreal_wgt.spectra, 60, 6, 3.769,8.159,11.929,
specs/genbuf_unreal_wgt.spectra, 60, 7, 3.618,1.429,5.047,
specs/genbuf_unreal_wgt.spectra, 60, 8, 3.612,12.562,16.173,
specs/genbuf_unreal_wgt.spectra, 60, 9, 3.789,9.921,13.710,
specs/genbuf_unreal_wgt.spectra, 60, 10, 3.759,6.287,10.046,
specs/genbuf_unreal_wgt.spectra, 60, 11, 3.542,2.344,5.886,
specs/genbuf_unreal_wgt.spectra, 60, 12, 3.858,7.870,11.728,
specs/genbuf_unreal_wgt.spectra, 60, 13, 3.811,8.269,12.080,
specs/genbuf_unreal_wgt.spectra, 60, 14, 3.960,10.239,14.198,
specs/genbuf_unreal_wgt.spectra, 60, 15, 3.850,6.837,10.687,
specs/genbuf_unreal_wgt.spectra, 60, 16, 3.907,6.781,10.688,
specs/genbuf_unreal_wgt.spectra, 60, 17, 3.904,12.654,16.558,
specs/genbuf_unreal_wgt.spectra, 60, 18, 3.870,8.480,12.349,
specs/genbuf_unreal_wgt.spectra, 60, 19, 3.956,12.468,16.424,
specs/genbuf_unreal_wgt.spectra, 60, 20, 3.848,12.288,16.136,
specs/genbuf_unreal_wgt.spectra, 60, 21, 3.807,7.317,11.124,
specs/genbuf_unreal_wgt.spectra, 60, 22, 3.830,8.720,12.550,
specs/genbuf_unreal_wgt.spectra, 60, 23, 3.833,6.530,10.363,
specs/genbuf_unreal_wgt.spectra, 60, 24, 2.244,1.445,3.690,
specs/genbuf_unreal_wgt.spectra, 60, 25, 3.762,4.253,8.015,
specs/genbuf_unreal_wgt.spectra, 60, 26, 3.862,6.112,9.974,
specs/genbuf_unreal_wgt.spectra, 60, 27, 3.786,7.341,11.127,
specs/genbuf_unreal_wgt.spectra, 60, 88, 3.931,6.972,10.903,
specs/genbuf_unreal_wgt.spectra, 60, 89, 3.887,7.434,11.321,
specs/genbuf_unreal_wgt.spectra, 60, 90, 3.797,3.740,7.537,
specs/genbuf_unreal_wgt.spectra, 60, 91, 3.871,7.387,11.258,
specs/genbuf_unreal_wgt.spectra, 60, 92, 3.817,6.808,10.625,
specs/genbuf_unreal_wgt.spectra, 60, 93, 3.812,6.821,10.633,
specs/genbuf_unreal_wgt.spectra, 60, 94, 3.876,7.457,11.333,
specs/genbuf_unreal_wgt.spectra, 60, 95, 3.834,7.429,11.263,
specs/genbuf_unreal_wgt.spectra, 60, 96, 3.767,21.530,25.297,
specs/genbuf_unreal_wgt.spectra, 60, 97, 4.248,15.108,19.356,
specs/genbuf_unreal_wgt.spectra, 60, 98, 4.126,1.291,5.417,
specs/genbuf_unreal_wgt.spectra, 60, 99, 3.917,12.013,15.930,
specs/genbuf_unreal_wgt.spectra, 60, 100, 3.972,5.569,9.541,
specs/genbuf_unreal_wgt.spectra, 60, 101, 3.591,5.167,8.758,
specs/genbuf_unreal_wgt.spectra, 60, 102, 3.776,1.242,5.017,
specs/genbuf_unreal_wgt.spectra, 60, 103, 3.824,0.443,4.267,
specs/genbuf_unreal_wgt.spectra, 60, 104, 3.836,10.649,14.484,
specs/genbuf_unreal_wgt.spectra, 60, 105, 3.878,3.702,7.580,
specs/genbuf_unreal_wgt.spectra, 60, 106, 3.794,7.390,11.184,
specs/genbuf_unreal_wgt.spectra, 60, 107, 3.863,1.465,5.327,
specs/genbuf_unreal_wgt.spectra, 60, 108, 3.842,3.318,7.161,
specs/genbuf_unreal_wgt.spectra, 70, -1, 5.974,20.699,26.672,
specs/genbuf_unreal_wgt.spectra, 70, 0, 5.690,45.250,50.940,
specs/genbuf_unreal_wgt.spectra, 70, 1, 5.815,20.044,25.859,
specs/genbuf_unreal_wgt.spectra, 70, 2, 5.990,18.810,24.800,
specs/genbuf_unreal_wgt.spectra, 70, 3, 5.840,14.548,20.388,
specs/genbuf_unreal_wgt.spectra, 70, 4, 5.932,15.780,21.712,
specs/genbuf_unreal_wgt.spectra, 70, 5, 5.902,23.564,29.465,
specs/genbuf_unreal_wgt.spectra, 70, 6, 5.874,22.660,28.533,
specs/genbuf_unreal_wgt.spectra, 70, 7, 5.454,1.750,7.204,
specs/genbuf_unreal_wgt.spectra, 70, 8, 5.673,20.101,25.773,
specs/genbuf_unreal_wgt.spectra, 70, 9, 5.875,14.747,20.621,
specs/genbuf_unreal_wgt.spectra, 70, 10, 5.933,7.578,13.511,
specs/genbuf_unreal_wgt.spectra, 70, 11, 5.399,3.235,8.634,
specs/genbuf_unreal_wgt.spectra, 70, 12, 6.003,13.399,19.402,
specs/genbuf_unreal_wgt.spectra, 70, 13, 5.845,11.908,17.753,
specs/genbuf_unreal_wgt.spectra, 70, 14, 5.900,12.312,18.212,
specs/genbuf_unreal_wgt.spectra, 70, 15, 6.062,20.510,26.571,
specs/genbuf_unreal_wgt.spectra, 70, 16, 5.997,20.716,26.714,
specs/genbuf_unreal_wgt.spectra, 70, 17, 5.955,21.131,27.086,
specs/genbuf_unreal_wgt.spectra, 70, 18, 5.886,20.654,26.540,
specs/genbuf_unreal_wgt.spectra, 70, 19, 5.785,20.374,26.159,
specs/genbuf_unreal_wgt.spectra, 70, 20, 5.783,19.689,25.472,
specs/genbuf_unreal_wgt.spectra, 70, 21, 6.054,20.799,26.853,
specs/genbuf_unreal_wgt.spectra, 70, 22, 5.845,21.691,27.536,
specs/genbuf_unreal_wgt.spectra, 70, 23, 5.901,13.195,19.096,
specs/genbuf_unreal_wgt.spectra, 70, 24, 2.901,2.438,5.339,
specs/genbuf_unreal_wgt.spectra, 70, 25, 5.922,6.829,12.751,
specs/genbuf_unreal_wgt.spectra, 70, 26, 5.836,9.440,15.276,
specs/genbuf_unreal_wgt.spectra, 70, 27, 6.059,13.231,19.290,
specs/genbuf_unreal_wgt.spectra, 70, 98, 5.787,20.578,26.365,
