Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgt.spectra, 60, -1, 4.218,1.443,5.662,
specs/genbuf_unreal_wgt.spectra, 60, 0, 3.850,1.910,5.761,
specs/genbuf_unreal_wgt.spectra, 60, 1, 4.249,1.400,5.649,
specs/genbuf_unreal_wgt.spectra, 60, 2, 3.967,2.009,5.976,
specs/genbuf_unreal_wgt.spectra, 60, 3, 3.820,2.027,5.847,
specs/genbuf_unreal_wgt.spectra, 60, 4, 3.896,4.105,8.002,
specs/genbuf_unreal_wgt.spectra, 60, 5, 3.889,2.094,5.983,
specs/genbuf_unreal_wgt.spectra, 60, 6, 3.837,1.972,5.809,
specs/genbuf_unreal_wgt.spectra, 60, 7, 3.827,0.201,4.028,
specs/genbuf_unreal_wgt.spectra, 60, 8, 3.636,1.850,5.486,
specs/genbuf_unreal_wgt.spectra, 60, 9, 3.968,2.124,6.093,
specs/genbuf_unreal_wgt.spectra, 60, 10, 3.982,0.990,4.972,
specs/genbuf_unreal_wgt.spectra, 60, 11, 3.707,0.685,4.392,
specs/genbuf_unreal_wgt.spectra, 60, 12, 3.890,1.866,5.756,
specs/genbuf_unreal_wgt.spectra, 60, 13, 3.916,1.823,5.739,
specs/genbuf_unreal_wgt.spectra, 60, 14, 3.872,2.727,6.599,
specs/genbuf_unreal_wgt.spectra, 60, 15, 4.078,1.440,5.517,
specs/genbuf_unreal_wgt.spectra, 60, 16, 4.186,1.413,5.599,
specs/genbuf_unreal_wgt.spectra, 60, 17, 4.232,1.496,5.729,
specs/genbuf_unreal_wgt.spectra, 60, 18, 3.922,1.985,5.906,
specs/genbuf_unreal_wgt.spectra, 60, 19, 3.829,1.933,5.763,
specs/genbuf_unreal_wgt.spectra, 60, 20, 3.871,2.041,5.911,
specs/genbuf_unreal_wgt.spectra, 60, 21, 3.860,1.820,5.680,
specs/genbuf_unreal_wgt.spectra, 60, 22, 3.903,1.996,5.900,
specs/genbuf_unreal_wgt.spectra, 60, 23, 3.945,2.144,6.089,
specs/genbuf_unreal_wgt.spectra, 60, 24, 2.394,0.211,2.605,
specs/genbuf_unreal_wgt.spectra, 60, 25, 4.213,0.842,5.055,
specs/genbuf_unreal_wgt.spectra, 60, 26, 4.233,1.105,5.338,
specs/genbuf_unreal_wgt.spectra, 60, 27, 4.137,1.313,5.450,
specs/genbuf_unreal_wgt.spectra, 60, 88, 4.200,3.480,7.680,
specs/genbuf_unreal_wgt.spectra, 60, 89, 3.991,1.270,5.260,
specs/genbuf_unreal_wgt.spectra, 60, 90, 4.104,0.753,4.857,
specs/genbuf_unreal_wgt.spectra, 60, 91, 4.061,1.402,5.463,
specs/genbuf_unreal_wgt.spectra, 60, 92, 4.148,1.483,5.631,
specs/genbuf_unreal_wgt.spectra, 60, 93, 4.287,8.115,12.402,
specs/genbuf_unreal_wgt.spectra, 60, 94, 4.109,3.333,7.441,
specs/genbuf_unreal_wgt.spectra, 60, 95, 4.162,1.448,5.611,
specs/genbuf_unreal_wgt.spectra, 60, 96, 4.133,2.433,6.566,
specs/genbuf_unreal_wgt.spectra, 60, 97, 4.169,2.667,6.835,
specs/genbuf_unreal_wgt.spectra, 60, 98, 4.158,1.287,5.446,
specs/genbuf_unreal_wgt.spectra, 60, 99, 3.824,1.913,5.737,
specs/genbuf_unreal_wgt.spectra, 60, 100, 4.187,1.445,5.631,
specs/genbuf_unreal_wgt.spectra, 60, 101, 3.760,1.683,5.443,
specs/genbuf_unreal_wgt.spectra, 60, 102, 3.760,1.441,5.202,
specs/genbuf_unreal_wgt.spectra, 60, 103, 3.862,0.505,4.367,
specs/genbuf_unreal_wgt.spectra, 60, 104, 4.120,2.617,6.738,
specs/genbuf_unreal_wgt.spectra, 60, 105, 3.795,1.726,5.521,
specs/genbuf_unreal_wgt.spectra, 60, 106, 4.072,2.399,6.471,
specs/genbuf_unreal_wgt.spectra, 60, 107, 3.815,0.709,4.525,
specs/genbuf_unreal_wgt.spectra, 60, 108, 3.816,1.707,5.523,
specs/genbuf_unreal_wgt.spectra, 70, -1, 5.931,1.646,7.577,
specs/genbuf_unreal_wgt.spectra, 70, 0, 5.783,1.694,7.477,
specs/genbuf_unreal_wgt.spectra, 70, 1, 5.929,2.703,8.631,
specs/genbuf_unreal_wgt.spectra, 70, 2, 5.844,1.703,7.547,
specs/genbuf_unreal_wgt.spectra, 70, 3, 6.002,1.799,7.801,
specs/genbuf_unreal_wgt.spectra, 70, 4, 6.021,4.561,10.582,
specs/genbuf_unreal_wgt.spectra, 70, 5, 5.913,2.664,8.577,
specs/genbuf_unreal_wgt.spectra, 70, 6, 6.025,2.696,8.721,
specs/genbuf_unreal_wgt.spectra, 70, 7, 5.390,0.431,5.821,
specs/genbuf_unreal_wgt.spectra, 70, 8, 5.606,2.659,8.265,
specs/genbuf_unreal_wgt.spectra, 70, 9, 6.012,2.972,8.984,
specs/genbuf_unreal_wgt.spectra, 70, 10, 5.935,2.498,8.433,
specs/genbuf_unreal_wgt.spectra, 70, 11, 5.835,0.707,6.542,
specs/genbuf_unreal_wgt.spectra, 70, 12, 6.006,1.479,7.484,
specs/genbuf_unreal_wgt.spectra, 70, 13, 5.896,1.667,7.564,
specs/genbuf_unreal_wgt.spectra, 70, 14, 5.808,2.617,8.425,
specs/genbuf_unreal_wgt.spectra, 70, 15, 6.052,1.829,7.881,
specs/genbuf_unreal_wgt.spectra, 70, 16, 5.861,1.658,7.519,
specs/genbuf_unreal_wgt.spectra, 70, 17, 5.902,2.793,8.695,
specs/genbuf_unreal_wgt.spectra, 70, 18, 5.841,2.752,8.593,
specs/genbuf_unreal_wgt.spectra, 70, 19, 6.084,1.800,7.884,
specs/genbuf_unreal_wgt.spectra, 70, 20, 5.886,1.976,7.862,
specs/genbuf_unreal_wgt.spectra, 70, 21, 5.950,1.721,7.671,
specs/genbuf_unreal_wgt.spectra, 70, 22, 5.969,1.907,7.876,
specs/genbuf_unreal_wgt.spectra, 70, 23, 5.952,1.688,7.640,
specs/genbuf_unreal_wgt.spectra, 70, 24, 3.204,0.655,3.859,
specs/genbuf_unreal_wgt.spectra, 70, 25, 6.149,1.167,7.316,
specs/genbuf_unreal_wgt.spectra, 70, 26, 5.864,1.531,7.395,
specs/genbuf_unreal_wgt.spectra, 70, 27, 5.993,1.507,7.500,
specs/genbuf_unreal_wgt.spectra, 70, 98, 5.824,4.333,10.157,
specs/genbuf_unreal_wgt.spectra, 70, 99, 5.899,1.625,7.524,
specs/genbuf_unreal_wgt.spectra, 70, 100, 6.026,1.042,7.068,
specs/genbuf_unreal_wgt.spectra, 70, 101, 5.880,1.630,7.509,
specs/genbuf_unreal_wgt.spectra, 70, 102, 5.790,1.613,7.403,
specs/genbuf_unreal_wgt.spectra, 70, 103, 5.892,9.769,15.661,
specs/genbuf_unreal_wgt.spectra, 70, 104, 5.892,4.300,10.191,
specs/genbuf_unreal_wgt.spectra, 70, 105, 6.027,1.658,7.685,
specs/genbuf_unreal_wgt.spectra, 70, 106, 6.010,2.297,8.307,
specs/genbuf_unreal_wgt.spectra, 70, 107, 6.055,2.850,8.906,
specs/genbuf_unreal_wgt.spectra, 70, 108, 5.927,1.866,7.792,
specs/genbuf_unreal_wgt.spectra, 70, 109, 6.151,3.728,9.879,
specs/genbuf_unreal_wgt.spectra, 70, 110, 5.870,2.702,8.572,
specs/genbuf_unreal_wgt.spectra, 70, 111, 5.796,2.358,8.154,
specs/genbuf_unreal_wgt.spectra, 70, 112, 5.765,2.356,8.121,
specs/genbuf_unreal_wgt.spectra, 70, 113, 6.001,0.780,6.781,
specs/genbuf_unreal_wgt.spectra, 70, 114, 5.864,3.204,9.068,
specs/genbuf_unreal_wgt.spectra, 70, 115, 5.974,1.549,7.522,
specs/genbuf_unreal_wgt.spectra, 70, 116, 5.881,2.794,8.675,
specs/genbuf_unreal_wgt.spectra, 70, 117, 6.070,1.049,7.118,
specs/genbuf_unreal_wgt.spectra, 70, 118, 5.956,1.533,7.489,
specs/genbuf_unreal_wgt.spectra, 80, -1, 8.999,4.089,13.088,
specs/genbuf_unreal_wgt.spectra, 80, 0, 9.674,3.008,12.682,
specs/genbuf_unreal_wgt.spectra, 80, 1, 9.715,2.810,12.525,
specs/genbuf_unreal_wgt.spectra, 80, 2, 9.585,2.530,12.115,
specs/genbuf_unreal_wgt.spectra, 80, 3, 9.628,2.907,12.535,
specs/genbuf_unreal_wgt.spectra, 80, 4, 8.869,8.607,17.476,
specs/genbuf_unreal_wgt.spectra, 80, 5, 9.629,2.436,12.065,
specs/genbuf_unreal_wgt.spectra, 80, 6, 8.698,3.824,12.522,
specs/genbuf_unreal_wgt.spectra, 80, 7, 8.874,0.630,9.504,
specs/genbuf_unreal_wgt.spectra, 80, 8, 9.449,2.368,11.817,
specs/genbuf_unreal_wgt.spectra, 80, 9, 9.366,2.970,12.335,
specs/genbuf_unreal_wgt.spectra, 80, 10, 9.461,2.258,11.719,
specs/genbuf_unreal_wgt.spectra, 80, 11, 8.788,0.818,9.606,
specs/genbuf_unreal_wgt.spectra, 80, 12, 9.091,2.023,11.114,
specs/genbuf_unreal_wgt.spectra, 80, 13, 8.977,3.939,12.916,
specs/genbuf_unreal_wgt.spectra, 80, 14, 8.991,4.113,13.104,
specs/genbuf_unreal_wgt.spectra, 80, 15, 9.002,4.237,13.239,
specs/genbuf_unreal_wgt.spectra, 80, 16, 9.005,4.073,13.078,
specs/genbuf_unreal_wgt.spectra, 80, 17, 9.702,2.849,12.552,
specs/genbuf_unreal_wgt.spectra, 80, 18, 9.067,2.658,11.725,
specs/genbuf_unreal_wgt.spectra, 80, 19, 9.068,3.983,13.051,
specs/genbuf_unreal_wgt.spectra, 80, 20, 9.108,4.148,13.255,
specs/genbuf_unreal_wgt.spectra, 80, 21, 9.832,2.619,12.450,
specs/genbuf_unreal_wgt.spectra, 80, 22, 9.027,2.680,11.706,
specs/genbuf_unreal_wgt.spectra, 80, 23, 9.566,2.448,12.014,
specs/genbuf_unreal_wgt.spectra, 80, 24, 4.755,0.430,5.185,
specs/genbuf_unreal_wgt.spectra, 80, 25, 9.023,3.825,12.848,
specs/genbuf_unreal_wgt.spectra, 80, 26, 9.074,2.307,11.381,
specs/genbuf_unreal_wgt.spectra, 80, 27, 9.094,2.277,11.371,
specs/genbuf_unreal_wgt.spectra, 80, 108, 8.964,7.928,16.893,
specs/genbuf_unreal_wgt.spectra, 80, 109, 9.029,2.273,11.303,
specs/genbuf_unreal_wgt.spectra, 80, 110, 8.972,1.683,10.655,
specs/genbuf_unreal_wgt.spectra, 80, 111, 9.057,4.218,13.275,
specs/genbuf_unreal_wgt.spectra, 80, 112, 9.047,4.169,13.216,
specs/genbuf_unreal_wgt.spectra, 80, 113, 8.927,20.021,28.948,
specs/genbuf_unreal_wgt.spectra, 80, 114, 9.073,8.119,17.192,
specs/genbuf_unreal_wgt.spectra, 80, 115, 8.971,4.135,13.106,
specs/genbuf_unreal_wgt.spectra, 80, 116, 9.053,5.419,14.471,
specs/genbuf_unreal_wgt.spectra, 80, 117, 9.120,5.318,14.437,
specs/genbuf_unreal_wgt.spectra, 80, 118, 9.373,1.217,10.590,
specs/genbuf_unreal_wgt.spectra, 80, 119, 9.091,2.604,11.695,
specs/genbuf_unreal_wgt.spectra, 80, 120, 9.296,4.238,13.533,
specs/genbuf_unreal_wgt.spectra, 80, 121, 8.260,2.221,10.481,
specs/genbuf_unreal_wgt.spectra, 80, 122, 9.155,3.611,12.766,
specs/genbuf_unreal_wgt.spectra, 80, 123, 8.979,1.254,10.233,
specs/genbuf_unreal_wgt.spectra, 80, 124, 9.747,3.639,13.386,
specs/genbuf_unreal_wgt.spectra, 80, 125, 9.718,2.355,12.072,
specs/genbuf_unreal_wgt.spectra, 80, 126, 9.649,4.680,14.329,
specs/genbuf_unreal_wgt.spectra, 80, 127, 9.799,2.081,11.880,
specs/genbuf_unreal_wgt.spectra, 80, 128, 8.991,1.956,10.947,
specs/genbuf_unreal_wgt.spectra, 90, -1, 12.785,5.305,18.090,
specs/genbuf_unreal_wgt.spectra, 90, 0, 12.724,5.804,18.528,
specs/genbuf_unreal_wgt.spectra, 90, 1, 12.741,3.285,16.026,
specs/genbuf_unreal_wgt.spectra, 90, 2, 12.724,3.259,15.983,
specs/genbuf_unreal_wgt.spectra, 90, 3, 12.483,5.081,17.564,
specs/genbuf_unreal_wgt.spectra, 90, 4, 12.670,10.758,23.429,
specs/genbuf_unreal_wgt.spectra, 90, 5, 12.829,4.850,17.679,
specs/genbuf_unreal_wgt.spectra, 90, 6, 12.505,3.407,15.912,
specs/genbuf_unreal_wgt.spectra, 90, 7, 12.107,0.623,12.730,
specs/genbuf_unreal_wgt.spectra, 90, 8, 12.527,5.483,18.010,
specs/genbuf_unreal_wgt.spectra, 90, 9, 13.160,6.735,19.894,
specs/genbuf_unreal_wgt.spectra, 90, 10, 12.999,3.474,16.474,
specs/genbuf_unreal_wgt.spectra, 90, 11, 13.002,1.178,14.180,
specs/genbuf_unreal_wgt.spectra, 90, 12, 13.368,3.477,16.845,
specs/genbuf_unreal_wgt.spectra, 90, 13, 13.259,5.805,19.064,
specs/genbuf_unreal_wgt.spectra, 90, 14, 13.196,3.669,16.865,
specs/genbuf_unreal_wgt.spectra, 90, 15, 13.126,5.663,18.790,
specs/genbuf_unreal_wgt.spectra, 90, 16, 13.208,3.543,16.751,
specs/genbuf_unreal_wgt.spectra, 90, 17, 13.246,5.651,18.897,
specs/genbuf_unreal_wgt.spectra, 90, 18, 13.405,3.300,16.705,
