Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_wgt.spectra, 60, -1, 4.067,9.432,13.499,
specs/genbuf_unreal_wgt.spectra, 60, 0, 3.746,7.182,10.927,
specs/genbuf_unreal_wgt.spectra, 60, 1, 4.074,9.477,13.551,
specs/genbuf_unreal_wgt.spectra, 60, 2, 3.803,12.366,16.168,
specs/genbuf_unreal_wgt.spectra, 60, 3, 3.928,12.442,16.371,
specs/genbuf_unreal_wgt.spectra, 60, 4, 3.723,29.505,33.228,
specs/genbuf_unreal_wgt.spectra, 60, 5, 3.731,11.913,15.644,
specs/genbuf_unreal_wgt.spectra, 60, 6, 3.789,12.148,15.936,
specs/genbuf_unreal_wgt.spectra, 60, 7, 3.875,1.202,5.076,
specs/genbuf_unreal_wgt.spectra, 60, 8, 3.684,12.719,16.403,
specs/genbuf_unreal_wgt.spectra, 60, 9, 3.855,6.217,10.072,
specs/genbuf_unreal_wgt.spectra, 60, 10, 3.659,5.877,9.536,
specs/genbuf_unreal_wgt.spectra, 60, 11, 3.562,4.409,7.971,
specs/genbuf_unreal_wgt.spectra, 60, 12, 3.816,6.639,10.456,
specs/genbuf_unreal_wgt.spectra, 60, 13, 3.786,5.683,9.470,
specs/genbuf_unreal_wgt.spectra, 60, 14, 3.943,10.391,14.334,
specs/genbuf_unreal_wgt.spectra, 60, 15, 3.985,8.975,12.960,
specs/genbuf_unreal_wgt.spectra, 60, 16, 4.037,9.003,13.040,
specs/genbuf_unreal_wgt.spectra, 60, 17, 4.032,9.158,13.190,
specs/genbuf_unreal_wgt.spectra, 60, 18, 3.731,10.730,14.461,
specs/genbuf_unreal_wgt.spectra, 60, 19, 3.757,11.163,14.920,
specs/genbuf_unreal_wgt.spectra, 60, 20, 3.825,11.992,15.817,
specs/genbuf_unreal_wgt.spectra, 60, 21, 3.763,6.511,10.275,
specs/genbuf_unreal_wgt.spectra, 60, 22, 3.790,11.361,15.151,
specs/genbuf_unreal_wgt.spectra, 60, 23, 3.670,10.057,13.727,
specs/genbuf_unreal_wgt.spectra, 60, 24, 2.144,2.361,4.505,
specs/genbuf_unreal_wgt.spectra, 60, 25, 3.955,3.758,7.712,
specs/genbuf_unreal_wgt.spectra, 60, 26, 4.100,3.966,8.066,
specs/genbuf_unreal_wgt.spectra, 60, 27, 4.061,8.627,12.688,
specs/genbuf_unreal_wgt.spectra, 60, 88, 4.070,26.823,30.893,
specs/genbuf_unreal_wgt.spectra, 60, 89, 3.993,8.279,12.272,
specs/genbuf_unreal_wgt.spectra, 60, 90, 4.067,1.993,6.059,
specs/genbuf_unreal_wgt.spectra, 60, 91, 4.073,9.249,13.322,
specs/genbuf_unreal_wgt.spectra, 60, 92, 3.998,9.255,13.253,
