Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, 4.278,3.292,7.570,
specs/genbuf_unreal_woaf.spectra, 60, 0, 4.065,3.223,7.288,
specs/genbuf_unreal_woaf.spectra, 60, 1, 4.010,3.095,7.105,
specs/genbuf_unreal_woaf.spectra, 60, 2, 4.031,2.975,7.006,
specs/genbuf_unreal_woaf.spectra, 60, 3, 4.071,3.291,7.362,
specs/genbuf_unreal_woaf.spectra, 60, 4, 3.990,3.111,7.100,
specs/genbuf_unreal_woaf.spectra, 60, 5, 4.175,3.374,7.549,
specs/genbuf_unreal_woaf.spectra, 60, 6, 4.051,3.137,7.187,
specs/genbuf_unreal_woaf.spectra, 60, 7, 3.891,0.474,4.365,
specs/genbuf_unreal_woaf.spectra, 60, 8, 3.762,2.865,6.627,
specs/genbuf_unreal_woaf.spectra, 60, 9, 3.946,2.366,6.312,
specs/genbuf_unreal_woaf.spectra, 60, 10, 3.968,2.782,6.750,
specs/genbuf_unreal_woaf.spectra, 60, 11, 3.832,1.165,4.997,
specs/genbuf_unreal_woaf.spectra, 60, 12, 4.042,1.743,5.785,
specs/genbuf_unreal_woaf.spectra, 60, 13, 4.086,1.267,5.354,
specs/genbuf_unreal_woaf.spectra, 60, 14, 4.230,7.295,11.526,
specs/genbuf_unreal_woaf.spectra, 60, 15, 4.231,2.963,7.194,
specs/genbuf_unreal_woaf.spectra, 60, 16, 4.166,3.065,7.231,
specs/genbuf_unreal_woaf.spectra, 60, 17, 3.987,2.948,6.935,
specs/genbuf_unreal_woaf.spectra, 60, 18, 4.094,3.029,7.123,
specs/genbuf_unreal_woaf.spectra, 60, 19, 4.010,2.998,7.008,
specs/genbuf_unreal_woaf.spectra, 60, 20, 4.318,3.068,7.386,
specs/genbuf_unreal_woaf.spectra, 60, 21, 4.096,1.896,5.992,
specs/genbuf_unreal_woaf.spectra, 60, 22, 4.082,3.592,7.673,
specs/genbuf_unreal_woaf.spectra, 60, 23, 4.057,12.547,16.604,
specs/genbuf_unreal_woaf.spectra, 60, 24, 2.453,0.475,2.927,
specs/genbuf_unreal_woaf.spectra, 60, 25, 4.167,1.423,5.590,
specs/genbuf_unreal_woaf.spectra, 60, 26, 4.171,1.528,5.699,
specs/genbuf_unreal_woaf.spectra, 60, 27, 4.075,30.453,34.528,
specs/genbuf_unreal_woaf.spectra, 60, 88, 4.067,3.314,7.381,
specs/genbuf_unreal_woaf.spectra, 60, 89, 4.035,12.642,16.677,
specs/genbuf_unreal_woaf.spectra, 60, 90, 4.048,0.547,4.595,
specs/genbuf_unreal_woaf.spectra, 60, 91, 4.161,2.987,7.148,
specs/genbuf_unreal_woaf.spectra, 60, 92, 4.180,3.162,7.342,
specs/genbuf_unreal_woaf.spectra, 60, 93, 4.190,3.520,7.711,
specs/genbuf_unreal_woaf.spectra, 60, 94, 4.004,3.159,7.163,
specs/genbuf_unreal_woaf.spectra, 60, 95, 4.115,3.445,7.560,
specs/genbuf_unreal_woaf.spectra, 60, 96, 4.126,2.482,6.608,
specs/genbuf_unreal_woaf.spectra, 60, 97, 4.388,5.311,9.699,
specs/genbuf_unreal_woaf.spectra, 60, 98, 4.183,1.588,5.770,
specs/genbuf_unreal_woaf.spectra, 60, 99, 4.174,2.579,6.753,
specs/genbuf_unreal_woaf.spectra, 60, 100, 3.894,2.852,6.747,
specs/genbuf_unreal_woaf.spectra, 60, 101, 4.182,1.137,5.319,
specs/genbuf_unreal_woaf.spectra, 60, 102, 4.034,1.421,5.455,
specs/genbuf_unreal_woaf.spectra, 60, 103, 4.068,3.124,7.192,
specs/genbuf_unreal_woaf.spectra, 60, 104, 4.216,3.376,7.591,
specs/genbuf_unreal_woaf.spectra, 60, 105, 4.017,2.776,6.793,
specs/genbuf_unreal_woaf.spectra, 60, 106, 4.218,2.958,7.177,
specs/genbuf_unreal_woaf.spectra, 70, -1, 6.250,2.518,8.767,
specs/genbuf_unreal_woaf.spectra, 70, 0, 6.192,4.010,10.202,
specs/genbuf_unreal_woaf.spectra, 70, 1, 6.035,2.620,8.655,
specs/genbuf_unreal_woaf.spectra, 70, 2, 6.331,2.437,8.768,
specs/genbuf_unreal_woaf.spectra, 70, 3, 6.322,2.845,9.168,
specs/genbuf_unreal_woaf.spectra, 70, 4, 6.051,4.891,10.942,
specs/genbuf_unreal_woaf.spectra, 70, 5, 6.427,2.428,8.855,
specs/genbuf_unreal_woaf.spectra, 70, 6, 6.125,2.513,8.638,
specs/genbuf_unreal_woaf.spectra, 70, 7, 5.639,0.681,6.321,
specs/genbuf_unreal_woaf.spectra, 70, 8, 5.963,4.439,10.402,
specs/genbuf_unreal_woaf.spectra, 70, 9, 6.168,2.532,8.701,
specs/genbuf_unreal_woaf.spectra, 70, 10, 5.911,4.712,10.623,
