Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, 4.198,1.573,5.771,
specs/genbuf_unreal_woaf.spectra, 60, 0, 3.977,1.628,5.604,
specs/genbuf_unreal_woaf.spectra, 60, 1, 4.001,1.711,5.712,
specs/genbuf_unreal_woaf.spectra, 60, 2, 3.986,1.660,5.646,
specs/genbuf_unreal_woaf.spectra, 60, 3, 3.940,0.942,4.882,
specs/genbuf_unreal_woaf.spectra, 60, 4, 3.933,2.365,6.298,
specs/genbuf_unreal_woaf.spectra, 60, 5, 3.965,1.181,5.147,
specs/genbuf_unreal_woaf.spectra, 60, 6, 3.901,1.727,5.629,
specs/genbuf_unreal_woaf.spectra, 60, 7, 3.816,0.186,4.001,
specs/genbuf_unreal_woaf.spectra, 60, 8, 3.820,1.483,5.302,
specs/genbuf_unreal_woaf.spectra, 60, 9, 4.021,1.759,5.780,
specs/genbuf_unreal_woaf.spectra, 60, 10, 3.895,0.746,4.641,
specs/genbuf_unreal_woaf.spectra, 60, 11, 3.795,0.349,4.144,
specs/genbuf_unreal_woaf.spectra, 60, 12, 3.972,1.066,5.038,
specs/genbuf_unreal_woaf.spectra, 60, 13, 3.950,1.468,5.418,
specs/genbuf_unreal_woaf.spectra, 60, 14, 3.990,2.300,6.290,
specs/genbuf_unreal_woaf.spectra, 60, 15, 3.969,1.585,5.553,
specs/genbuf_unreal_woaf.spectra, 60, 16, 3.932,1.583,5.516,
specs/genbuf_unreal_woaf.spectra, 60, 17, 3.953,1.695,5.648,
specs/genbuf_unreal_woaf.spectra, 60, 18, 4.166,1.807,5.974,
specs/genbuf_unreal_woaf.spectra, 60, 19, 3.967,1.584,5.550,
specs/genbuf_unreal_woaf.spectra, 60, 20, 4.010,1.702,5.711,
specs/genbuf_unreal_woaf.spectra, 60, 21, 4.012,0.897,4.910,
specs/genbuf_unreal_woaf.spectra, 60, 22, 3.976,1.772,5.748,
specs/genbuf_unreal_woaf.spectra, 60, 23, 3.906,1.007,4.913,
specs/genbuf_unreal_woaf.spectra, 60, 24, 2.360,0.181,2.541,
specs/genbuf_unreal_woaf.spectra, 60, 25, 3.921,0.678,4.599,
specs/genbuf_unreal_woaf.spectra, 60, 26, 3.881,0.730,4.612,
specs/genbuf_unreal_woaf.spectra, 60, 27, 4.115,451.483,455.598,
specs/genbuf_unreal_woaf.spectra, 60, 88, 4.089,2.114,6.203,
specs/genbuf_unreal_woaf.spectra, 60, 89, 4.113,0.967,5.080,
specs/genbuf_unreal_woaf.spectra, 60, 90, 4.047,0.687,4.734,
specs/genbuf_unreal_woaf.spectra, 60, 91, 4.145,1.760,5.905,
specs/genbuf_unreal_woaf.spectra, 60, 92, 4.065,1.848,5.913,
specs/genbuf_unreal_woaf.spectra, 60, 93, 4.066,2.330,6.396,
specs/genbuf_unreal_woaf.spectra, 60, 94, 3.946,2.109,6.056,
specs/genbuf_unreal_woaf.spectra, 60, 95, 4.077,1.611,5.689,
specs/genbuf_unreal_woaf.spectra, 60, 96, 4.305,1.159,5.464,
specs/genbuf_unreal_woaf.spectra, 60, 97, 4.421,3.704,8.125,
specs/genbuf_unreal_woaf.spectra, 60, 98, 4.016,0.719,4.735,
specs/genbuf_unreal_woaf.spectra, 60, 99, 4.368,1.011,5.378,
specs/genbuf_unreal_woaf.spectra, 60, 100, 3.973,1.048,5.021,
specs/genbuf_unreal_woaf.spectra, 60, 101, 4.081,1.256,5.337,
specs/genbuf_unreal_woaf.spectra, 60, 102, 3.932,1.639,5.570,
specs/genbuf_unreal_woaf.spectra, 60, 103, 4.035,1.715,5.749,
specs/genbuf_unreal_woaf.spectra, 60, 104, 4.022,1.564,5.586,
specs/genbuf_unreal_woaf.spectra, 60, 105, 3.927,1.593,5.520,
specs/genbuf_unreal_woaf.spectra, 60, 106, 4.002,1.496,5.498,
specs/genbuf_unreal_woaf.spectra, 70, -1, 6.059,1.205,7.265,
specs/genbuf_unreal_woaf.spectra, 70, 0, 5.960,1.341,7.301,
specs/genbuf_unreal_woaf.spectra, 70, 1, 6.179,1.408,7.588,
specs/genbuf_unreal_woaf.spectra, 70, 2, 6.225,1.374,7.599,
specs/genbuf_unreal_woaf.spectra, 70, 3, 6.254,1.523,7.777,
specs/genbuf_unreal_woaf.spectra, 70, 4, 6.255,3.372,9.627,
specs/genbuf_unreal_woaf.spectra, 70, 5, 6.210,1.228,7.439,
specs/genbuf_unreal_woaf.spectra, 70, 6, 6.184,1.777,7.961,
specs/genbuf_unreal_woaf.spectra, 70, 7, 5.714,0.249,5.963,
specs/genbuf_unreal_woaf.spectra, 70, 8, 5.833,2.328,8.161,
specs/genbuf_unreal_woaf.spectra, 70, 9, 6.129,1.323,7.453,
specs/genbuf_unreal_woaf.spectra, 70, 10, 6.053,0.988,7.041,
specs/genbuf_unreal_woaf.spectra, 70, 11, 5.924,0.382,6.305,
specs/genbuf_unreal_woaf.spectra, 70, 12, 6.164,2.533,8.696,
specs/genbuf_unreal_woaf.spectra, 70, 13, 6.304,0.977,7.281,
specs/genbuf_unreal_woaf.spectra, 70, 14, 6.160,2.512,8.672,
specs/genbuf_unreal_woaf.spectra, 70, 15, 6.105,1.278,7.383,
specs/genbuf_unreal_woaf.spectra, 70, 16, 6.212,1.288,7.500,
specs/genbuf_unreal_woaf.spectra, 70, 17, 6.180,1.426,7.606,
specs/genbuf_unreal_woaf.spectra, 70, 18, 6.204,1.342,7.546,
specs/genbuf_unreal_woaf.spectra, 70, 19, 6.121,1.212,7.333,
specs/genbuf_unreal_woaf.spectra, 70, 20, 6.122,1.308,7.429,
specs/genbuf_unreal_woaf.spectra, 70, 21, 6.068,1.220,7.288,
specs/genbuf_unreal_woaf.spectra, 70, 22, 6.016,1.207,7.223,
specs/genbuf_unreal_woaf.spectra, 70, 23, 6.174,1.294,7.468,
specs/genbuf_unreal_woaf.spectra, 70, 24, 3.180,0.668,3.848,
specs/genbuf_unreal_woaf.spectra, 70, 25, 6.238,0.961,7.198,
specs/genbuf_unreal_woaf.spectra, 70, 26, 6.076,1.006,7.083,
specs/genbuf_unreal_woaf.spectra, 70, 27, 6.176,494.521,500.697,
specs/genbuf_unreal_woaf.spectra, 70, 98, 6.294,1.862,8.156,
specs/genbuf_unreal_woaf.spectra, 70, 99, 6.216,1.259,7.475,
specs/genbuf_unreal_woaf.spectra, 70, 100, 6.189,0.961,7.150,
specs/genbuf_unreal_woaf.spectra, 70, 101, 6.373,1.264,7.637,
specs/genbuf_unreal_woaf.spectra, 70, 102, 6.074,1.177,7.250,
specs/genbuf_unreal_woaf.spectra, 70, 103, 6.108,1.737,7.845,
specs/genbuf_unreal_woaf.spectra, 70, 104, 6.143,1.741,7.884,
specs/genbuf_unreal_woaf.spectra, 70, 105, 6.053,1.200,7.253,
specs/genbuf_unreal_woaf.spectra, 70, 106, 6.391,5.719,12.110,
specs/genbuf_unreal_woaf.spectra, 70, 107, 6.090,2.661,8.750,
specs/genbuf_unreal_woaf.spectra, 70, 108, 6.606,1.124,7.730,
specs/genbuf_unreal_woaf.spectra, 70, 109, 6.209,1.606,7.814,
specs/genbuf_unreal_woaf.spectra, 70, 110, 6.193,1.472,7.665,
specs/genbuf_unreal_woaf.spectra, 70, 111, 5.906,0.933,6.839,
specs/genbuf_unreal_woaf.spectra, 70, 112, 6.222,1.156,7.378,
specs/genbuf_unreal_woaf.spectra, 70, 113, 6.428,1.387,7.815,
specs/genbuf_unreal_woaf.spectra, 70, 114, 6.258,1.456,7.714,
specs/genbuf_unreal_woaf.spectra, 70, 115, 6.321,1.554,7.875,
specs/genbuf_unreal_woaf.spectra, 70, 116, 6.144,1.205,7.348,
specs/genbuf_unreal_woaf.spectra, 80, -1, 9.474,1.944,11.418,
specs/genbuf_unreal_woaf.spectra, 80, 0, 9.374,3.624,12.998,
specs/genbuf_unreal_woaf.spectra, 80, 1, 9.574,1.878,11.453,
specs/genbuf_unreal_woaf.spectra, 80, 2, 9.518,3.980,13.498,
specs/genbuf_unreal_woaf.spectra, 80, 3, 10.029,2.014,12.043,
specs/genbuf_unreal_woaf.spectra, 80, 4, 9.448,3.879,13.327,
specs/genbuf_unreal_woaf.spectra, 80, 5, 10.247,2.248,12.495,
specs/genbuf_unreal_woaf.spectra, 80, 6, 10.083,2.567,12.650,
specs/genbuf_unreal_woaf.spectra, 80, 7, 9.125,0.444,9.569,
specs/genbuf_unreal_woaf.spectra, 80, 8, 9.255,3.311,12.566,
specs/genbuf_unreal_woaf.spectra, 80, 9, 9.950,2.173,12.123,
specs/genbuf_unreal_woaf.spectra, 80, 10, 9.915,2.056,11.972,
specs/genbuf_unreal_woaf.spectra, 80, 11, 9.152,0.499,9.651,
specs/genbuf_unreal_woaf.spectra, 80, 12, 10.280,2.298,12.578,
specs/genbuf_unreal_woaf.spectra, 80, 13, 9.450,1.774,11.224,
specs/genbuf_unreal_woaf.spectra, 80, 14, 9.714,4.140,13.855,
specs/genbuf_unreal_woaf.spectra, 80, 15, 9.270,3.799,13.069,
specs/genbuf_unreal_woaf.spectra, 80, 16, 9.413,1.813,11.226,
specs/genbuf_unreal_woaf.spectra, 80, 17, 9.510,1.972,11.481,
specs/genbuf_unreal_woaf.spectra, 80, 18, 9.569,1.992,11.561,
specs/genbuf_unreal_woaf.spectra, 80, 19, 9.305,1.932,11.238,
specs/genbuf_unreal_woaf.spectra, 80, 20, 9.929,2.214,12.142,
specs/genbuf_unreal_woaf.spectra, 80, 21, 10.338,2.360,12.698,
specs/genbuf_unreal_woaf.spectra, 80, 22, 10.244,2.323,12.568,
specs/genbuf_unreal_woaf.spectra, 80, 23, 9.971,2.164,12.134,
specs/genbuf_unreal_woaf.spectra, 80, 24, 5.092,0.378,5.470,
specs/genbuf_unreal_woaf.spectra, 80, 25, 9.344,1.527,10.871,
specs/genbuf_unreal_woaf.spectra, 80, 26, 9.410,1.586,10.996,
specs/genbuf_unreal_woaf.spectra, 80, 27, class java.util.concurrent.TimeoutException
specs/genbuf_unreal_woaf.spectra, 80, 108, 9.337,3.206,12.543,
specs/genbuf_unreal_woaf.spectra, 80, 109, 9.294,1.850,11.144,
specs/genbuf_unreal_woaf.spectra, 80, 110, 9.339,1.482,10.821,
specs/genbuf_unreal_woaf.spectra, 80, 111, 9.326,2.395,11.721,
specs/genbuf_unreal_woaf.spectra, 80, 112, 9.534,2.192,11.726,
specs/genbuf_unreal_woaf.spectra, 80, 113, 9.387,3.674,13.061,
specs/genbuf_unreal_woaf.spectra, 80, 114, 9.362,3.270,12.633,
specs/genbuf_unreal_woaf.spectra, 80, 115, 9.270,2.371,11.641,
specs/genbuf_unreal_woaf.spectra, 80, 116, 10.177,4.320,14.497,
specs/genbuf_unreal_woaf.spectra, 80, 117, 9.115,2.262,11.376,
specs/genbuf_unreal_woaf.spectra, 80, 118, 9.785,2.139,11.924,
specs/genbuf_unreal_woaf.spectra, 80, 119, 9.125,3.417,12.542,
specs/genbuf_unreal_woaf.spectra, 80, 120, 8.718,3.571,12.289,
specs/genbuf_unreal_woaf.spectra, 80, 121, 9.490,1.651,11.142,
specs/genbuf_unreal_woaf.spectra, 80, 122, 9.460,1.832,11.292,
