Spec,Size,Remove,Prep.,Real. Check,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, 4.278,6.944,11.223,
specs/genbuf_unreal_woaf.spectra, 60, 0, 4.177,7.042,11.220,
specs/genbuf_unreal_woaf.spectra, 60, 1, 4.392,6.006,10.398,
specs/genbuf_unreal_woaf.spectra, 60, 2, 3.999,6.447,10.446,
specs/genbuf_unreal_woaf.spectra, 60, 3, 4.158,3.544,7.702,
specs/genbuf_unreal_woaf.spectra, 60, 4, 4.105,8.147,12.251,
specs/genbuf_unreal_woaf.spectra, 60, 5, 4.379,3.664,8.042,
specs/genbuf_unreal_woaf.spectra, 60, 6, 4.249,6.440,10.689,
specs/genbuf_unreal_woaf.spectra, 60, 7, 4.159,1.261,5.420,
specs/genbuf_unreal_woaf.spectra, 60, 8, 4.014,6.133,10.147,
specs/genbuf_unreal_woaf.spectra, 60, 9, 4.449,6.667,11.117,
specs/genbuf_unreal_woaf.spectra, 60, 10, 4.182,2.929,7.111,
specs/genbuf_unreal_woaf.spectra, 60, 11, 4.086,2.387,6.473,
specs/genbuf_unreal_woaf.spectra, 60, 12, 4.364,6.828,11.192,
specs/genbuf_unreal_woaf.spectra, 60, 13, 4.166,3.036,7.202,
specs/genbuf_unreal_woaf.spectra, 60, 14, 4.144,15.281,19.426,
specs/genbuf_unreal_woaf.spectra, 60, 15, 4.127,5.877,10.004,
specs/genbuf_unreal_woaf.spectra, 60, 16, 4.135,5.636,9.770,
specs/genbuf_unreal_woaf.spectra, 60, 17, 4.214,5.978,10.192,
specs/genbuf_unreal_woaf.spectra, 60, 18, 4.124,5.694,9.817,
specs/genbuf_unreal_woaf.spectra, 60, 19, 4.320,6.896,11.216,
specs/genbuf_unreal_woaf.spectra, 60, 20, 4.317,6.774,11.090,
specs/genbuf_unreal_woaf.spectra, 60, 21, 4.175,3.664,7.839,
specs/genbuf_unreal_woaf.spectra, 60, 22, 4.183,7.044,11.227,
specs/genbuf_unreal_woaf.spectra, 60, 23, 3.965,6.332,10.297,
specs/genbuf_unreal_woaf.spectra, 60, 24, 2.505,2.929,5.434,
specs/genbuf_unreal_woaf.spectra, 60, 25, 4.315,3.404,7.719,
specs/genbuf_unreal_woaf.spectra, 60, 26, 4.414,3.519,7.933,
specs/genbuf_unreal_woaf.spectra, 60, 27, 4.053,433.123,437.176,
specs/genbuf_unreal_woaf.spectra, 60, 88, 4.219,8.279,12.497,
specs/genbuf_unreal_woaf.spectra, 60, 89, 4.008,3.339,7.347,
specs/genbuf_unreal_woaf.spectra, 60, 90, 4.253,3.177,7.430,
specs/genbuf_unreal_woaf.spectra, 60, 91, 4.230,7.019,11.249,
specs/genbuf_unreal_woaf.spectra, 60, 92, 4.182,7.185,11.367,
specs/genbuf_unreal_woaf.spectra, 60, 93, 4.035,7.733,11.768,
specs/genbuf_unreal_woaf.spectra, 60, 94, 4.127,7.494,11.621,
specs/genbuf_unreal_woaf.spectra, 60, 95, 4.080,7.198,11.278,
specs/genbuf_unreal_woaf.spectra, 60, 96, 4.728,3.973,8.701,
specs/genbuf_unreal_woaf.spectra, 60, 97, 4.515,11.045,15.560,
specs/genbuf_unreal_woaf.spectra, 60, 98, 4.313,3.677,7.991,
specs/genbuf_unreal_woaf.spectra, 60, 99, 4.664,4.427,9.091,
specs/genbuf_unreal_woaf.spectra, 60, 100, 4.197,5.343,9.540,
specs/genbuf_unreal_woaf.spectra, 60, 101, 4.171,4.948,9.119,
specs/genbuf_unreal_woaf.spectra, 60, 102, 4.485,5.807,10.292,
specs/genbuf_unreal_woaf.spectra, 60, 103, 4.251,6.462,10.712,
specs/genbuf_unreal_woaf.spectra, 60, 104, 4.302,4.431,8.733,
specs/genbuf_unreal_woaf.spectra, 60, 105, 4.245,5.031,9.276,
specs/genbuf_unreal_woaf.spectra, 60, 106, 4.380,5.447,9.828,
specs/genbuf_unreal_woaf.spectra, 70, -1, 6.598,5.738,12.336,
specs/genbuf_unreal_woaf.spectra, 70, 0, 6.214,5.775,11.989,
specs/genbuf_unreal_woaf.spectra, 70, 1, 6.829,5.872,12.701,
specs/genbuf_unreal_woaf.spectra, 70, 2, 6.379,6.002,12.381,
specs/genbuf_unreal_woaf.spectra, 70, 3, 6.151,6.532,12.683,
specs/genbuf_unreal_woaf.spectra, 70, 4, 6.355,10.480,16.836,
specs/genbuf_unreal_woaf.spectra, 70, 5, 6.569,5.798,12.367,
specs/genbuf_unreal_woaf.spectra, 70, 6, 6.177,11.766,17.943,
specs/genbuf_unreal_woaf.spectra, 70, 7, 6.054,1.943,7.997,
specs/genbuf_unreal_woaf.spectra, 70, 8, 6.065,8.487,14.552,
specs/genbuf_unreal_woaf.spectra, 70, 9, 5.993,5.092,11.084,
specs/genbuf_unreal_woaf.spectra, 70, 10, 6.321,4.630,10.951,
specs/genbuf_unreal_woaf.spectra, 70, 11, 6.103,4.267,10.370,
specs/genbuf_unreal_woaf.spectra, 70, 12, 6.197,11.700,17.897,
specs/genbuf_unreal_woaf.spectra, 70, 13, 6.431,5.055,11.486,
specs/genbuf_unreal_woaf.spectra, 70, 14, 6.062,9.512,15.574,
specs/genbuf_unreal_woaf.spectra, 70, 15, 6.330,5.484,11.813,
specs/genbuf_unreal_woaf.spectra, 70, 16, 6.391,5.774,12.165,
specs/genbuf_unreal_woaf.spectra, 70, 17, 6.453,6.033,12.486,
specs/genbuf_unreal_woaf.spectra, 70, 18, 6.471,5.776,12.247,
specs/genbuf_unreal_woaf.spectra, 70, 19, 6.449,5.642,12.090,
specs/genbuf_unreal_woaf.spectra, 70, 20, 6.053,5.745,11.798,
specs/genbuf_unreal_woaf.spectra, 70, 21, 6.207,5.551,11.758,
specs/genbuf_unreal_woaf.spectra, 70, 22, 6.183,5.556,11.739,
specs/genbuf_unreal_woaf.spectra, 70, 23, 6.644,5.222,11.867,
specs/genbuf_unreal_woaf.spectra, 70, 24, 3.381,2.839,6.221,
specs/genbuf_unreal_woaf.spectra, 70, 25, 6.374,5.353,11.727,
specs/genbuf_unreal_woaf.spectra, 70, 26, 6.408,5.566,11.974,
specs/genbuf_unreal_woaf.spectra, 70, 27, class java.util.concurrent.TimeoutException
specs/genbuf_unreal_woaf.spectra, 70, 98, 6.392,7.198,13.590,
specs/genbuf_unreal_woaf.spectra, 70, 99, 6.391,5.408,11.799,
specs/genbuf_unreal_woaf.spectra, 70, 100, 6.520,3.486,10.006,
specs/genbuf_unreal_woaf.spectra, 70, 101, 6.419,5.597,12.016,
specs/genbuf_unreal_woaf.spectra, 70, 102, 6.265,5.630,11.895,
specs/genbuf_unreal_woaf.spectra, 70, 103, 6.390,6.416,12.806,
specs/genbuf_unreal_woaf.spectra, 70, 104, 6.358,6.171,12.529,
specs/genbuf_unreal_woaf.spectra, 70, 105, 6.576,5.677,12.253,
specs/genbuf_unreal_woaf.spectra, 70, 106, 6.653,17.689,24.342,
specs/genbuf_unreal_woaf.spectra, 70, 107, 6.461,11.156,17.617,
specs/genbuf_unreal_woaf.spectra, 70, 108, 6.641,5.814,12.455,
specs/genbuf_unreal_woaf.spectra, 70, 109, 6.382,5.712,12.094,
specs/genbuf_unreal_woaf.spectra, 70, 110, 6.433,12.941,19.374,
specs/genbuf_unreal_woaf.spectra, 70, 111, 6.318,5.442,11.760,
specs/genbuf_unreal_woaf.spectra, 70, 112, 6.318,6.008,12.327,
specs/genbuf_unreal_woaf.spectra, 70, 113, 6.206,5.765,11.971,
specs/genbuf_unreal_woaf.spectra, 70, 114, 6.610,6.862,13.472,
specs/genbuf_unreal_woaf.spectra, 70, 115, 6.851,13.463,20.314,
specs/genbuf_unreal_woaf.spectra, 70, 116, 6.309,5.490,11.800,
specs/genbuf_unreal_woaf.spectra, 80, -1, 9.508,8.524,18.032,
specs/genbuf_unreal_woaf.spectra, 80, 0, 9.549,16.733,26.282,
specs/genbuf_unreal_woaf.spectra, 80, 1, 9.760,9.515,19.274,
specs/genbuf_unreal_woaf.spectra, 80, 2, 9.563,16.669,26.232,
specs/genbuf_unreal_woaf.spectra, 80, 3, 10.380,9.958,20.338,
specs/genbuf_unreal_woaf.spectra, 80, 4, 9.590,24.209,33.799,
specs/genbuf_unreal_woaf.spectra, 80, 5, 10.606,11.720,22.326,
specs/genbuf_unreal_woaf.spectra, 80, 6, 9.975,12.680,22.655,
specs/genbuf_unreal_woaf.spectra, 80, 7, 9.004,2.669,11.673,
specs/genbuf_unreal_woaf.spectra, 80, 8, 9.757,14.821,24.578,
specs/genbuf_unreal_woaf.spectra, 80, 9, 9.989,11.348,21.337,
specs/genbuf_unreal_woaf.spectra, 80, 10, 10.367,9.226,19.594,
specs/genbuf_unreal_woaf.spectra, 80, 11, 9.523,3.085,12.608,
specs/genbuf_unreal_woaf.spectra, 80, 12, 10.596,14.906,25.502,
specs/genbuf_unreal_woaf.spectra, 80, 13, 9.599,8.449,18.048,
specs/genbuf_unreal_woaf.spectra, 80, 14, 9.888,16.189,26.077,
specs/genbuf_unreal_woaf.spectra, 80, 15, 9.550,16.286,25.836,
specs/genbuf_unreal_woaf.spectra, 80, 16, 9.424,8.036,17.459,
specs/genbuf_unreal_woaf.spectra, 80, 17, 9.789,8.377,18.166,
