Spec,Size,Remove,Prep.,Real. Check,Total,
specs/generalized_arbiter.spectra, 40, -1, 2.174,8.081,10.255,
specs/generalized_arbiter.spectra, 40, 0, 1.579,14.152,15.730,
specs/generalized_arbiter.spectra, 40, 81, 2.034,5.199,7.233,
specs/generalized_arbiter.spectra, 40, 82, 1.757,1.174,2.931,
specs/generalized_arbiter.spectra, 40, 83, 1.272,5.468,6.741,
specs/generalized_arbiter.spectra, 40, 164, 1.993,7.257,9.251,
specs/generalized_arbiter.spectra, 50, -1, 3.317,14.096,17.412,
specs/generalized_arbiter.spectra, 50, 0, 2.705,21.357,24.062,
specs/generalized_arbiter.spectra, 50, 101, 3.265,15.898,19.163,
specs/generalized_arbiter.spectra, 50, 102, 2.838,2.253,5.091,
specs/generalized_arbiter.spectra, 50, 103, 1.971,12.739,14.710,
specs/generalized_arbiter.spectra, 50, 204, 3.324,20.646,23.970,
specs/generalized_arbiter.spectra, 60, -1, 4.970,23.710,28.680,
specs/generalized_arbiter.spectra, 60, 0, 4.197,135.109,139.306,
specs/generalized_arbiter.spectra, 60, 121, 4.915,26.596,31.512,
specs/generalized_arbiter.spectra, 60, 122, 4.283,3.521,7.804,
specs/generalized_arbiter.spectra, 60, 123, 3.230,32.196,35.426,
specs/generalized_arbiter.spectra, 60, 244, 5.114,31.850,36.964,
specs/generalized_arbiter.spectra, 70, -1, 8.553,102.473,111.026,
specs/generalized_arbiter.spectra, 70, 0, 6.361,197.869,204.229,
specs/generalized_arbiter.spectra, 70, 141, 8.418,102.999,111.418,
specs/generalized_arbiter.spectra, 70, 142, 7.577,6.569,14.146,
specs/generalized_arbiter.spectra, 70, 143, 4.770,37.795,42.564,
specs/generalized_arbiter.spectra, 70, 284, 7.622,118.531,126.153,
specs/generalized_arbiter.spectra, 80, -1, 11.517,118.804,130.321,
specs/generalized_arbiter.spectra, 80, 0, 9.525,301.416,310.940,
specs/generalized_arbiter.spectra, 80, 161, 11.843,131.706,143.548,
specs/generalized_arbiter.spectra, 80, 162, 10.440,7.847,18.287,
specs/generalized_arbiter.spectra, 80, 163, 6.588,61.738,68.326,
specs/generalized_arbiter.spectra, 80, 324, 12.099,243.070,255.169,
specs/generalized_arbiter.spectra, 90, -1, 15.569,143.391,158.960,
specs/generalized_arbiter.spectra, 90, 0, 12.874,407.036,419.909,
specs/generalized_arbiter.spectra, 90, 181, 15.535,168.912,184.447,
specs/generalized_arbiter.spectra, 90, 182, 14.036,10.018,24.054,
specs/generalized_arbiter.spectra, 90, 183, 9.702,98.737,108.439,
specs/generalized_arbiter.spectra, 90, 364, 15.917,265.114,281.031,
specs/generalized_arbiter.spectra, 100, -1, 21.980,409.984,431.964,
specs/generalized_arbiter.spectra, 100, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 201, 20.925,532.854,553.779,
specs/generalized_arbiter.spectra, 100, 202, 18.979,19.252,38.230,
specs/generalized_arbiter.spectra, 100, 203, 12.330,133.577,145.907,
specs/generalized_arbiter.spectra, 100, 404, class java.util.concurrent.TimeoutException
