Spec,Size,Remove,Prep.,Real. Check,Total,
specs/generalized_arbiter.spectra, 40, -1, 2.174,0.431,2.606,
specs/generalized_arbiter.spectra, 40, 0, 1.697,0.550,2.247,
specs/generalized_arbiter.spectra, 40, 81, 2.210,0.433,2.643,
specs/generalized_arbiter.spectra, 40, 82, 2.042,0.033,2.074,
specs/generalized_arbiter.spectra, 40, 83, 1.498,0.609,2.107,
specs/generalized_arbiter.spectra, 40, 164, 2.098,0.716,2.814,
specs/generalized_arbiter.spectra, 50, -1, 3.454,0.681,4.135,
specs/generalized_arbiter.spectra, 50, 0, 3.039,1.153,4.191,
specs/generalized_arbiter.spectra, 50, 101, 3.532,0.679,4.212,
specs/generalized_arbiter.spectra, 50, 102, 3.288,0.042,3.330,
specs/generalized_arbiter.spectra, 50, 103, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 50, 204, 3.605,1.475,5.080,
specs/generalized_arbiter.spectra, 60, -1, 5.355,1.188,6.543,
specs/generalized_arbiter.spectra, 60, 0, 4.465,1.299,5.764,
specs/generalized_arbiter.spectra, 60, 121, 5.379,1.189,6.568,
specs/generalized_arbiter.spectra, 60, 122, 4.673,0.066,4.739,
specs/generalized_arbiter.spectra, 60, 123, 3.373,1.777,5.150,
specs/generalized_arbiter.spectra, 60, 244, 5.369,2.295,7.664,
specs/generalized_arbiter.spectra, 70, -1, 8.956,2.531,11.487,
specs/generalized_arbiter.spectra, 70, 0, 6.476,3.071,9.547,
specs/generalized_arbiter.spectra, 70, 141, 8.668,2.490,11.159,
specs/generalized_arbiter.spectra, 70, 142, 7.713,0.097,7.809,
specs/generalized_arbiter.spectra, 70, 143, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 70, 284, 7.923,3.600,11.523,
specs/generalized_arbiter.spectra, 80, -1, 11.887,3.221,15.109,
specs/generalized_arbiter.spectra, 80, 0, 9.579,4.499,14.078,
specs/generalized_arbiter.spectra, 80, 161, 11.880,3.206,15.086,
specs/generalized_arbiter.spectra, 80, 162, 10.689,0.117,10.806,
specs/generalized_arbiter.spectra, 80, 163, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, 324, 12.691,6.223,18.914,
specs/generalized_arbiter.spectra, 90, -1, 16.069,4.681,20.750,
specs/generalized_arbiter.spectra, 90, 0, 13.663,6.786,20.449,
specs/generalized_arbiter.spectra, 90, 181, 16.196,5.064,21.260,
specs/generalized_arbiter.spectra, 90, 182, 14.721,0.160,14.882,
specs/generalized_arbiter.spectra, 90, 183, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 364, 16.801,8.011,24.813,
specs/generalized_arbiter.spectra, 100, -1, 22.852,6.767,29.618,
specs/generalized_arbiter.spectra, 100, 0, 18.346,8.948,27.294,
specs/generalized_arbiter.spectra, 100, 201, 22.071,8.532,30.602,
specs/generalized_arbiter.spectra, 100, 202, 21.121,0.209,21.330,
specs/generalized_arbiter.spectra, 100, 203, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 404, 24.035,12.718,36.753,
