Spec,Size,Remove,Prep.,Real. Check,Total,
specs/generalized_arbiter.spectra, 40, -1, 2.070,5.183,7.254,
specs/generalized_arbiter.spectra, 40, 0, 1.565,11.523,13.088,
specs/generalized_arbiter.spectra, 40, 81, 2.035,2.545,4.581,
specs/generalized_arbiter.spectra, 40, 82, 1.879,0.799,2.679,
specs/generalized_arbiter.spectra, 40, 83, 1.325,1.771,3.096,
specs/generalized_arbiter.spectra, 40, 164, 2.019,5.283,7.301,
specs/generalized_arbiter.spectra, 50, -1, 3.286,8.446,11.731,
specs/generalized_arbiter.spectra, 50, 0, 2.743,16.071,18.814,
specs/generalized_arbiter.spectra, 50, 101, 3.310,9.231,12.542,
specs/generalized_arbiter.spectra, 50, 102, 3.009,1.118,4.128,
specs/generalized_arbiter.spectra, 50, 103, 2.007,5.419,7.426,
specs/generalized_arbiter.spectra, 50, 204, 3.331,14.494,17.825,
specs/generalized_arbiter.spectra, 60, -1, 5.019,13.104,18.122,
specs/generalized_arbiter.spectra, 60, 0, 4.194,111.645,115.839,
specs/generalized_arbiter.spectra, 60, 121, 4.915,13.829,18.744,
specs/generalized_arbiter.spectra, 60, 122, 4.535,1.826,6.361,
specs/generalized_arbiter.spectra, 60, 123, 3.194,7.660,10.854,
specs/generalized_arbiter.spectra, 60, 244, 5.214,60.074,65.288,
specs/generalized_arbiter.spectra, 70, -1, 8.481,81.669,90.150,
specs/generalized_arbiter.spectra, 70, 0, 6.324,165.702,172.026,
specs/generalized_arbiter.spectra, 70, 141, 8.487,80.475,88.962,
specs/generalized_arbiter.spectra, 70, 142, 7.578,3.584,11.162,
specs/generalized_arbiter.spectra, 70, 143, 4.779,18.106,22.885,
specs/generalized_arbiter.spectra, 70, 284, 7.848,91.612,99.460,
specs/generalized_arbiter.spectra, 80, -1, 11.686,94.108,105.794,
specs/generalized_arbiter.spectra, 80, 0, 9.493,265.906,275.398,
specs/generalized_arbiter.spectra, 80, 161, 11.818,97.996,109.814,
specs/generalized_arbiter.spectra, 80, 162, 10.543,4.624,15.167,
specs/generalized_arbiter.spectra, 80, 163, 6.680,30.478,37.159,
specs/generalized_arbiter.spectra, 80, 324, 12.367,214.824,227.191,
specs/generalized_arbiter.spectra, 90, -1, 15.572,106.920,122.492,
specs/generalized_arbiter.spectra, 90, 0, 12.920,356.553,369.472,
specs/generalized_arbiter.spectra, 90, 181, 15.553,111.956,127.510,
specs/generalized_arbiter.spectra, 90, 182, 14.058,5.476,19.535,
specs/generalized_arbiter.spectra, 90, 183, 9.614,41.878,51.493,
specs/generalized_arbiter.spectra, 90, 364, 16.240,214.532,230.772,
specs/generalized_arbiter.spectra, 100, -1, 22.579,378.019,400.598,
specs/generalized_arbiter.spectra, 100, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 201, 20.980,461.306,482.286,
specs/generalized_arbiter.spectra, 100, 202, 19.850,9.310,29.160,
specs/generalized_arbiter.spectra, 100, 203, 12.623,62.418,75.041,
specs/generalized_arbiter.spectra, 100, 404, 24.225,529.060,553.285,
