Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer.spectra, 50, -1, 1.174,1.320,2.494,
specs/load_balancer.spectra, 50, 0, 0.997,1.211,2.208,
specs/load_balancer.spectra, 50, 1, 1.293,1.790,3.083,
specs/load_balancer.spectra, 50, 2, 1.239,1.366,2.605,
specs/load_balancer.spectra, 50, 3, 0.952,0.028,0.980,
specs/load_balancer.spectra, 50, 4, 1.203,1.728,2.931,
specs/load_balancer.spectra, 50, 54, 1.172,2.130,3.301,
specs/load_balancer.spectra, 50, 55, 1.130,0.448,1.578,
specs/load_balancer.spectra, 50, 56, 1.102,0.484,1.586,
specs/load_balancer.spectra, 50, 57, 1.309,0.092,1.402,
specs/load_balancer.spectra, 75, -1, 3.001,3.759,6.760,
specs/load_balancer.spectra, 75, 0, 1.866,3.448,5.313,
specs/load_balancer.spectra, 75, 1, 2.952,6.198,9.149,
specs/load_balancer.spectra, 75, 2, 2.732,4.030,6.761,
specs/load_balancer.spectra, 75, 3, 1.793,0.038,1.831,
specs/load_balancer.spectra, 75, 4, 2.883,5.980,8.863,
specs/load_balancer.spectra, 75, 79, 2.722,6.278,9.000,
specs/load_balancer.spectra, 75, 80, 2.788,2.564,5.353,
specs/load_balancer.spectra, 75, 81, 2.687,1.569,4.257,
specs/load_balancer.spectra, 75, 82, 2.836,1.594,4.431,
specs/load_balancer.spectra, 100, -1, 6.335,11.332,17.667,
specs/load_balancer.spectra, 100, 0, 4.036,9.494,13.530,
specs/load_balancer.spectra, 100, 1, 6.185,16.105,22.290,
specs/load_balancer.spectra, 100, 2, 6.191,19.831,26.022,
specs/load_balancer.spectra, 100, 3, 3.110,0.055,3.165,
specs/load_balancer.spectra, 100, 4, 6.194,11.128,17.322,
specs/load_balancer.spectra, 100, 104, 5.905,12.655,18.560,
specs/load_balancer.spectra, 100, 105, 6.263,4.176,10.440,
specs/load_balancer.spectra, 100, 106, 6.658,3.857,10.515,
specs/load_balancer.spectra, 100, 107, 6.185,1.470,7.655,
specs/load_balancer.spectra, 125, -1, 10.460,24.719,35.179,
specs/load_balancer.spectra, 125, 0, 5.968,15.487,21.455,
specs/load_balancer.spectra, 125, 1, 10.056,20.525,30.582,
specs/load_balancer.spectra, 125, 2, 9.691,27.989,37.680,
specs/load_balancer.spectra, 125, 3, 5.273,0.464,5.737,
specs/load_balancer.spectra, 125, 4, 10.456,23.240,33.696,
specs/load_balancer.spectra, 125, 129, 10.058,34.635,44.693,
specs/load_balancer.spectra, 125, 130, 10.553,9.231,19.784,
specs/load_balancer.spectra, 125, 131, 10.384,13.158,23.542,
specs/load_balancer.spectra, 125, 132, 10.356,6.332,16.688,
specs/load_balancer.spectra, 150, -1, 23.341,32.037,55.378,
specs/load_balancer.spectra, 150, 0, 11.291,13.093,24.384,
specs/load_balancer.spectra, 150, 1, 23.180,92.653,115.834,
specs/load_balancer.spectra, 150, 2, 21.303,52.912,74.215,
specs/load_balancer.spectra, 150, 3, 9.298,0.067,9.365,
specs/load_balancer.spectra, 150, 4, 23.373,52.834,76.207,
specs/load_balancer.spectra, 150, 154, 22.180,55.033,77.213,
specs/load_balancer.spectra, 150, 155, 23.562,25.475,49.037,
specs/load_balancer.spectra, 150, 156, 19.527,27.440,46.967,
specs/load_balancer.spectra, 150, 157, 23.617,15.644,39.262,
specs/load_balancer.spectra, 175, -1, 40.018,139.088,179.106,
specs/load_balancer.spectra, 175, 0, 20.555,57.085,77.640,
specs/load_balancer.spectra, 175, 1, 40.359,134.339,174.699,
specs/load_balancer.spectra, 175, 2, 39.761,61.570,101.331,
specs/load_balancer.spectra, 175, 3, 19.073,0.165,19.238,
specs/load_balancer.spectra, 175, 4, 40.443,83.981,124.425,
specs/load_balancer.spectra, 175, 179, 39.660,109.349,149.008,
specs/load_balancer.spectra, 175, 180, 39.864,39.157,79.021,
specs/load_balancer.spectra, 175, 181, 38.933,46.824,85.757,
specs/load_balancer.spectra, 175, 182, 40.306,25.710,66.016,
specs/load_balancer.spectra, 200, -1, 66.010,87.535,153.545,
specs/load_balancer.spectra, 200, 0, 35.404,68.993,104.397,
specs/load_balancer.spectra, 200, 1, 68.099,94.932,163.031,
specs/load_balancer.spectra, 200, 2, 67.336,72.524,139.860,
specs/load_balancer.spectra, 200, 3, 37.531,0.149,37.680,
specs/load_balancer.spectra, 200, 4, 66.364,142.088,208.452,
specs/load_balancer.spectra, 200, 204, 63.886,208.181,272.067,
specs/load_balancer.spectra, 200, 205, 66.440,25.635,92.075,
specs/load_balancer.spectra, 200, 206, 70.956,33.076,104.032,
specs/load_balancer.spectra, 200, 207, 66.105,9.041,75.146,
