Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer.spectra, 50, -1, 1.307,0.440,1.747,
specs/load_balancer.spectra, 50, 0, 1.050,0.369,1.419,
specs/load_balancer.spectra, 50, 1, 1.212,0.803,2.014,
specs/load_balancer.spectra, 50, 2, 1.144,0.341,1.485,
specs/load_balancer.spectra, 50, 3, 0.971,0.008,0.980,
specs/load_balancer.spectra, 50, 4, 1.360,0.603,1.963,
specs/load_balancer.spectra, 50, 54, 1.218,0.611,1.830,
specs/load_balancer.spectra, 50, 55, 1.393,0.179,1.573,
specs/load_balancer.spectra, 50, 56, 1.177,0.168,1.345,
specs/load_balancer.spectra, 50, 57, 1.344,0.127,1.471,
specs/load_balancer.spectra, 75, -1, 2.785,2.380,5.165,
specs/load_balancer.spectra, 75, 0, 2.000,0.719,2.720,
specs/load_balancer.spectra, 75, 1, 2.811,2.637,5.448,
specs/load_balancer.spectra, 75, 2, 2.749,1.842,4.591,
specs/load_balancer.spectra, 75, 3, 1.803,0.009,1.812,
specs/load_balancer.spectra, 75, 4, 2.826,2.608,5.434,
specs/load_balancer.spectra, 75, 79, 2.918,2.641,5.559,
specs/load_balancer.spectra, 75, 80, 2.914,2.002,4.916,
specs/load_balancer.spectra, 75, 81, 2.773,1.307,4.081,
specs/load_balancer.spectra, 75, 82, 2.846,1.750,4.596,
specs/load_balancer.spectra, 100, -1, 6.329,3.217,9.546,
specs/load_balancer.spectra, 100, 0, 4.112,1.945,6.058,
specs/load_balancer.spectra, 100, 1, 6.686,2.750,9.436,
specs/load_balancer.spectra, 100, 2, 6.113,5.602,11.715,
specs/load_balancer.spectra, 100, 3, 3.280,0.011,3.291,
specs/load_balancer.spectra, 100, 4, 6.629,4.726,11.354,
specs/load_balancer.spectra, 100, 104, 6.127,4.991,11.118,
specs/load_balancer.spectra, 100, 105, 6.647,1.966,8.613,
specs/load_balancer.spectra, 100, 106, 6.944,1.544,8.487,
specs/load_balancer.spectra, 100, 107, 6.677,1.622,8.298,
specs/load_balancer.spectra, 125, -1, 10.727,9.365,20.092,
specs/load_balancer.spectra, 125, 0, 6.235,2.833,9.068,
specs/load_balancer.spectra, 125, 1, 11.063,10.500,21.563,
specs/load_balancer.spectra, 125, 2, 9.924,10.730,20.654,
specs/load_balancer.spectra, 125, 3, 5.467,0.476,5.943,
specs/load_balancer.spectra, 125, 4, 10.965,11.280,22.245,
specs/load_balancer.spectra, 125, 129, 10.092,9.167,19.259,
specs/load_balancer.spectra, 125, 130, 10.673,6.456,17.129,
specs/load_balancer.spectra, 125, 131, 11.101,10.167,21.268,
specs/load_balancer.spectra, 125, 132, 10.691,7.020,17.711,
specs/load_balancer.spectra, 150, -1, 23.889,25.716,49.605,
specs/load_balancer.spectra, 150, 0, 11.643,5.170,16.813,
specs/load_balancer.spectra, 150, 1, 24.615,32.697,57.312,
specs/load_balancer.spectra, 150, 2, 21.246,23.353,44.598,
specs/load_balancer.spectra, 150, 3, 9.389,0.016,9.405,
specs/load_balancer.spectra, 150, 4, 23.316,27.166,50.482,
specs/load_balancer.spectra, 150, 154, 22.144,21.779,43.924,
specs/load_balancer.spectra, 150, 155, 23.523,19.519,43.043,
specs/load_balancer.spectra, 150, 156, 19.445,17.556,37.001,
specs/load_balancer.spectra, 150, 157, 23.695,16.405,40.100,
specs/load_balancer.spectra, 175, -1, 42.175,36.870,79.045,
specs/load_balancer.spectra, 175, 0, 21.507,3.153,24.660,
specs/load_balancer.spectra, 175, 1, 42.904,30.085,72.989,
specs/load_balancer.spectra, 175, 2, 40.037,25.332,65.369,
specs/load_balancer.spectra, 175, 3, 19.153,0.019,19.171,
specs/load_balancer.spectra, 175, 4, 42.077,36.463,78.541,
specs/load_balancer.spectra, 175, 179, 39.939,30.752,70.691,
specs/load_balancer.spectra, 175, 180, 42.385,27.946,70.330,
specs/load_balancer.spectra, 175, 181, 38.614,23.523,62.137,
specs/load_balancer.spectra, 175, 182, 42.167,25.297,67.464,
specs/load_balancer.spectra, 200, -1, 65.868,30.429,96.298,
specs/load_balancer.spectra, 200, 0, 35.450,13.251,48.701,
specs/load_balancer.spectra, 200, 1, 70.248,20.275,90.524,
specs/load_balancer.spectra, 200, 2, 66.981,31.338,98.320,
specs/load_balancer.spectra, 200, 3, 37.402,0.021,37.423,
specs/load_balancer.spectra, 200, 4, 65.201,36.794,101.996,
specs/load_balancer.spectra, 200, 204, 65.415,90.116,155.531,
specs/load_balancer.spectra, 200, 205, 65.719,11.047,76.765,
specs/load_balancer.spectra, 200, 206, 73.442,15.953,89.395,
specs/load_balancer.spectra, 200, 207, 66.440,9.010,75.450,
