Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer.spectra, 50, -1, 1.333,0.720,2.053,
specs/load_balancer.spectra, 50, 0, 1.096,0.970,2.066,
specs/load_balancer.spectra, 50, 1, 1.240,1.691,2.931,
specs/load_balancer.spectra, 50, 2, 1.196,2.511,3.707,
specs/load_balancer.spectra, 50, 3, 0.915,0.007,0.922,
specs/load_balancer.spectra, 50, 4, 1.311,2.287,3.598,
specs/load_balancer.spectra, 50, 54, 1.248,2.378,3.625,
specs/load_balancer.spectra, 50, 55, 1.305,0.326,1.631,
specs/load_balancer.spectra, 50, 56, 1.155,0.527,1.682,
specs/load_balancer.spectra, 50, 57, 1.290,0.119,1.409,
specs/load_balancer.spectra, 75, -1, 2.863,3.868,6.731,
specs/load_balancer.spectra, 75, 0, 1.935,2.675,4.610,
specs/load_balancer.spectra, 75, 1, 2.818,5.365,8.182,
specs/load_balancer.spectra, 75, 2, 2.661,3.876,6.537,
specs/load_balancer.spectra, 75, 3, 1.802,0.010,1.812,
specs/load_balancer.spectra, 75, 4, 2.810,11.320,14.130,
specs/load_balancer.spectra, 75, 79, 2.822,7.462,10.284,
specs/load_balancer.spectra, 75, 80, 2.835,2.773,5.608,
specs/load_balancer.spectra, 75, 81, 2.759,1.622,4.381,
specs/load_balancer.spectra, 75, 82, 2.964,1.731,4.694,
specs/load_balancer.spectra, 100, -1, 6.297,5.720,12.017,
specs/load_balancer.spectra, 100, 0, 4.125,5.569,9.694,
specs/load_balancer.spectra, 100, 1, 6.626,15.524,22.150,
specs/load_balancer.spectra, 100, 2, 6.182,29.803,35.985,
specs/load_balancer.spectra, 100, 3, 3.177,0.014,3.191,
specs/load_balancer.spectra, 100, 4, 6.557,29.170,35.727,
specs/load_balancer.spectra, 100, 104, 6.125,18.315,24.440,
specs/load_balancer.spectra, 100, 105, 6.312,4.229,10.541,
specs/load_balancer.spectra, 100, 106, 6.909,4.041,10.950,
specs/load_balancer.spectra, 100, 107, 6.475,1.604,8.079,
specs/load_balancer.spectra, 125, -1, 10.554,32.883,43.437,
specs/load_balancer.spectra, 125, 0, 6.263,13.800,20.063,
specs/load_balancer.spectra, 125, 1, 11.000,282.006,293.006,
specs/load_balancer.spectra, 125, 2, 9.713,118.113,127.826,
specs/load_balancer.spectra, 125, 3, 5.258,0.470,5.728,
specs/load_balancer.spectra, 125, 4, 10.594,64.402,74.996,
specs/load_balancer.spectra, 125, 129, 9.968,29.813,39.781,
specs/load_balancer.spectra, 125, 130, 10.558,10.389,20.946,
specs/load_balancer.spectra, 125, 131, 10.809,13.843,24.652,
specs/load_balancer.spectra, 125, 132, 10.648,7.115,17.763,
specs/load_balancer.spectra, 150, -1, 23.761,36.360,60.122,
specs/load_balancer.spectra, 150, 0, 11.565,10.963,22.528,
specs/load_balancer.spectra, 150, 1, 25.214,108.975,134.189,
specs/load_balancer.spectra, 150, 2, 21.733,328.809,350.542,
specs/load_balancer.spectra, 150, 3, 9.611,0.015,9.625,
specs/load_balancer.spectra, 150, 4, 24.107,148.070,172.177,
specs/load_balancer.spectra, 150, 154, 23.438,129.414,152.853,
specs/load_balancer.spectra, 150, 155, 25.597,31.748,57.344,
specs/load_balancer.spectra, 150, 156, 21.109,29.997,51.106,
specs/load_balancer.spectra, 150, 157, 25.452,18.181,43.633,
specs/load_balancer.spectra, 175, -1, 46.284,214.100,260.384,
specs/load_balancer.spectra, 175, 0, 23.469,22.385,45.854,
specs/load_balancer.spectra, 175, 1, 46.441,198.688,245.129,
specs/load_balancer.spectra, 175, 2, 44.451,178.373,222.824,
specs/load_balancer.spectra, 175, 3, 20.605,0.022,20.626,
specs/load_balancer.spectra, 175, 4, class java.util.concurrent.TimeoutException
specs/load_balancer.spectra, 175, 179, 43.500,192.570,236.070,
specs/load_balancer.spectra, 175, 180, 45.055,43.728,88.783,
specs/load_balancer.spectra, 175, 181, 40.815,44.138,84.953,
specs/load_balancer.spectra, 175, 182, 45.868,29.868,75.736,
specs/load_balancer.spectra, 200, -1, 70.573,114.782,185.355,
specs/load_balancer.spectra, 200, 0, 36.991,92.140,129.131,
specs/load_balancer.spectra, 200, 1, 74.583,247.950,322.533,
specs/load_balancer.spectra, 200, 2, 69.867,89.059,158.927,
specs/load_balancer.spectra, 200, 3, 38.807,0.022,38.829,
specs/load_balancer.spectra, 200, 4, 69.339,116.302,185.641,
specs/load_balancer.spectra, 200, 204, 67.449,319.514,386.963,
specs/load_balancer.spectra, 200, 205, 68.592,131.870,200.463,
specs/load_balancer.spectra, 200, 206, 75.544,37.669,113.213,
specs/load_balancer.spectra, 200, 207, 67.194,8.570,75.764,
