Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer_unreal.spectra, 40, -1, 2.730,0.849,3.579,
specs/load_balancer_unreal.spectra, 40, 0, 2.941,0.881,3.822,
specs/load_balancer_unreal.spectra, 40, 1, 2.784,0.750,3.535,
specs/load_balancer_unreal.spectra, 40, 2, 2.769,0.896,3.665,
specs/load_balancer_unreal.spectra, 40, 3, 1.923,0.247,2.170,
specs/load_balancer_unreal.spectra, 40, 4, 2.594,0.658,3.252,
specs/load_balancer_unreal.spectra, 40, 44, 3.033,2.881,5.914,
specs/load_balancer_unreal.spectra, 40, 45, 1.969,4.342,6.311,
specs/load_balancer_unreal.spectra, 40, 46, 1.872,1.699,3.571,
specs/load_balancer_unreal.spectra, 40, 47, 2.853,0.940,3.793,
specs/load_balancer_unreal.spectra, 40, 48, 3.187,0.349,3.536,
specs/load_balancer_unreal.spectra, 40, 49, 2.718,0.906,3.625,
specs/load_balancer_unreal.spectra, 50, -1, 5.282,1.190,6.472,
specs/load_balancer_unreal.spectra, 50, 0, 5.886,2.249,8.135,
specs/load_balancer_unreal.spectra, 50, 1, 5.018,1.260,6.279,
specs/load_balancer_unreal.spectra, 50, 2, 5.196,1.116,6.312,
specs/load_balancer_unreal.spectra, 50, 3, 3.912,0.561,4.474,
specs/load_balancer_unreal.spectra, 50, 4, 5.166,1.169,6.335,
specs/load_balancer_unreal.spectra, 50, 54, 5.362,8.922,14.284,
specs/load_balancer_unreal.spectra, 50, 55, 3.512,7.790,11.302,
specs/load_balancer_unreal.spectra, 50, 56, 3.402,2.293,5.695,
specs/load_balancer_unreal.spectra, 50, 57, 5.118,1.140,6.258,
specs/load_balancer_unreal.spectra, 50, 58, 5.079,1.066,6.144,
specs/load_balancer_unreal.spectra, 50, 59, 5.043,1.128,6.171,
specs/load_balancer_unreal.spectra, 60, -1, 9.432,5.593,15.024,
specs/load_balancer_unreal.spectra, 60, 0, 9.124,3.315,12.440,
specs/load_balancer_unreal.spectra, 60, 1, 9.182,2.529,11.711,
specs/load_balancer_unreal.spectra, 60, 2, 9.658,2.839,12.497,
specs/load_balancer_unreal.spectra, 60, 3, 6.101,0.709,6.809,
specs/load_balancer_unreal.spectra, 60, 4, 9.621,5.864,15.485,
specs/load_balancer_unreal.spectra, 60, 64, 9.159,16.806,25.965,
specs/load_balancer_unreal.spectra, 60, 65, 5.340,15.441,20.781,
specs/load_balancer_unreal.spectra, 60, 66, 5.225,4.062,9.288,
specs/load_balancer_unreal.spectra, 60, 67, 9.547,3.858,13.405,
specs/load_balancer_unreal.spectra, 60, 68, 9.269,1.859,11.127,
specs/load_balancer_unreal.spectra, 60, 69, 9.405,5.551,14.956,
specs/load_balancer_unreal.spectra, 70, -1, 16.204,2.665,18.868,
specs/load_balancer_unreal.spectra, 70, 0, 15.884,5.596,21.480,
specs/load_balancer_unreal.spectra, 70, 1, 16.280,4.023,20.304,
specs/load_balancer_unreal.spectra, 70, 2, 15.945,2.707,18.652,
specs/load_balancer_unreal.spectra, 70, 3, 9.662,0.927,10.588,
specs/load_balancer_unreal.spectra, 70, 4, 16.207,2.437,18.644,
specs/load_balancer_unreal.spectra, 70, 74, 15.664,51.296,66.960,
specs/load_balancer_unreal.spectra, 70, 75, 8.934,29.356,38.289,
specs/load_balancer_unreal.spectra, 70, 76, 9.137,9.915,19.052,
specs/load_balancer_unreal.spectra, 70, 77, 16.326,2.629,18.955,
specs/load_balancer_unreal.spectra, 70, 78, 15.029,2.580,17.609,
specs/load_balancer_unreal.spectra, 70, 79, 16.218,2.622,18.841,
specs/load_balancer_unreal.spectra, 80, -1, 23.207,3.859,27.066,
specs/load_balancer_unreal.spectra, 80, 0, 26.817,2.387,29.203,
specs/load_balancer_unreal.spectra, 80, 1, 23.118,4.573,27.691,
specs/load_balancer_unreal.spectra, 80, 2, 22.919,3.939,26.859,
specs/load_balancer_unreal.spectra, 80, 3, 14.387,1.294,15.681,
specs/load_balancer_unreal.spectra, 80, 4, 23.241,3.832,27.072,
specs/load_balancer_unreal.spectra, 80, 84, 22.162,78.490,100.651,
specs/load_balancer_unreal.spectra, 80, 85, 12.007,35.449,47.456,
specs/load_balancer_unreal.spectra, 80, 86, 12.828,12.249,25.077,
specs/load_balancer_unreal.spectra, 80, 87, 23.371,1.999,25.370,
specs/load_balancer_unreal.spectra, 80, 88, 25.197,3.782,28.979,
specs/load_balancer_unreal.spectra, 80, 89, 23.398,3.878,27.277,
specs/load_balancer_unreal.spectra, 90, -1, 37.125,8.011,45.136,
specs/load_balancer_unreal.spectra, 90, 0, 39.434,8.057,47.491,
specs/load_balancer_unreal.spectra, 90, 1, 36.357,6.500,42.856,
specs/load_balancer_unreal.spectra, 90, 2, 37.935,2.749,40.685,
specs/load_balancer_unreal.spectra, 90, 3, 22.583,1.850,24.433,
