Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer_unreal.spectra, 40, -1, 3.026,0.443,3.469,
specs/load_balancer_unreal.spectra, 40, 0, 3.399,0.519,3.918,
specs/load_balancer_unreal.spectra, 40, 1, 3.151,0.974,4.125,
specs/load_balancer_unreal.spectra, 40, 2, 3.133,0.423,3.557,
specs/load_balancer_unreal.spectra, 40, 3, 2.181,0.492,2.673,
specs/load_balancer_unreal.spectra, 40, 4, 3.037,0.456,3.494,
specs/load_balancer_unreal.spectra, 40, 44, 3.078,2.854,5.932,
specs/load_balancer_unreal.spectra, 40, 45, 2.103,0.863,2.966,
specs/load_balancer_unreal.spectra, 40, 46, 1.904,0.437,2.342,
specs/load_balancer_unreal.spectra, 40, 47, 3.072,0.427,3.499,
specs/load_balancer_unreal.spectra, 40, 48, 2.994,0.377,3.371,
specs/load_balancer_unreal.spectra, 40, 49, 3.279,0.429,3.708,
specs/load_balancer_unreal.spectra, 50, -1, 5.776,0.774,6.551,
specs/load_balancer_unreal.spectra, 50, 0, 6.281,0.817,7.098,
specs/load_balancer_unreal.spectra, 50, 1, 5.584,1.904,7.487,
specs/load_balancer_unreal.spectra, 50, 2, 5.776,0.706,6.483,
specs/load_balancer_unreal.spectra, 50, 3, 3.873,0.569,4.442,
specs/load_balancer_unreal.spectra, 50, 4, 5.826,0.819,6.646,
specs/load_balancer_unreal.spectra, 50, 54, 5.378,7.101,12.480,
specs/load_balancer_unreal.spectra, 50, 55, 3.706,2.646,6.353,
specs/load_balancer_unreal.spectra, 50, 56, 3.640,1.137,4.777,
specs/load_balancer_unreal.spectra, 50, 57, 6.293,0.913,7.206,
specs/load_balancer_unreal.spectra, 50, 58, 5.816,0.676,6.492,
specs/load_balancer_unreal.spectra, 50, 59, 6.138,0.842,6.979,
specs/load_balancer_unreal.spectra, 60, -1, 11.690,3.979,15.669,
specs/load_balancer_unreal.spectra, 60, 0, 10.039,1.598,11.637,
specs/load_balancer_unreal.spectra, 60, 1, 10.236,3.492,13.728,
specs/load_balancer_unreal.spectra, 60, 2, 11.369,1.341,12.710,
specs/load_balancer_unreal.spectra, 60, 3, 7.017,0.993,8.010,
specs/load_balancer_unreal.spectra, 60, 4, 11.209,3.986,15.195,
specs/load_balancer_unreal.spectra, 60, 64, 9.380,17.785,27.165,
specs/load_balancer_unreal.spectra, 60, 65, 5.761,3.210,8.971,
specs/load_balancer_unreal.spectra, 60, 66, 5.329,2.186,7.515,
specs/load_balancer_unreal.spectra, 60, 67, 10.526,3.745,14.271,
specs/load_balancer_unreal.spectra, 60, 68, 10.425,2.077,12.503,
specs/load_balancer_unreal.spectra, 60, 69, 10.279,3.699,13.978,
specs/load_balancer_unreal.spectra, 70, -1, 17.915,1.811,19.726,
specs/load_balancer_unreal.spectra, 70, 0, 17.192,1.872,19.063,
specs/load_balancer_unreal.spectra, 70, 1, 17.951,4.159,22.110,
specs/load_balancer_unreal.spectra, 70, 2, 17.155,1.757,18.912,
specs/load_balancer_unreal.spectra, 70, 3, 10.667,0.228,10.895,
specs/load_balancer_unreal.spectra, 70, 4, 17.891,3.754,21.644,
specs/load_balancer_unreal.spectra, 70, 74, 17.840,48.029,65.869,
specs/load_balancer_unreal.spectra, 70, 75, 10.148,6.668,16.817,
specs/load_balancer_unreal.spectra, 70, 76, 9.438,4.497,13.935,
specs/load_balancer_unreal.spectra, 70, 77, 18.153,1.953,20.106,
specs/load_balancer_unreal.spectra, 70, 78, 16.852,1.862,18.714,
specs/load_balancer_unreal.spectra, 70, 79, 17.967,1.761,19.728,
specs/load_balancer_unreal.spectra, 80, -1, 26.053,4.415,30.468,
specs/load_balancer_unreal.spectra, 80, 0, 29.543,4.253,33.796,
specs/load_balancer_unreal.spectra, 80, 1, 26.172,7.857,34.028,
specs/load_balancer_unreal.spectra, 80, 2, 25.651,2.587,28.238,
specs/load_balancer_unreal.spectra, 80, 3, 16.216,0.351,16.567,
