Spec,Size,Remove,Prep.,Real. Check,Total,
specs/load_balancer_unreal.spectra, 40, -1, 3.050,0.433,3.483,
specs/load_balancer_unreal.spectra, 40, 0, 3.220,0.501,3.721,
specs/load_balancer_unreal.spectra, 40, 1, 3.127,0.976,4.102,
specs/load_balancer_unreal.spectra, 40, 2, 3.222,0.427,3.649,
specs/load_balancer_unreal.spectra, 40, 3, 2.133,0.480,2.613,
specs/load_balancer_unreal.spectra, 40, 4, 2.953,0.463,3.416,
specs/load_balancer_unreal.spectra, 40, 44, 2.919,3.387,6.307,
specs/load_balancer_unreal.spectra, 40, 45, 2.130,3.969,6.099,
specs/load_balancer_unreal.spectra, 40, 46, 1.839,0.734,2.573,
specs/load_balancer_unreal.spectra, 40, 47, 2.992,0.422,3.414,
specs/load_balancer_unreal.spectra, 40, 48, 3.029,0.343,3.372,
specs/load_balancer_unreal.spectra, 40, 49, 2.998,0.414,3.412,
specs/load_balancer_unreal.spectra, 50, -1, 5.793,0.779,6.572,
specs/load_balancer_unreal.spectra, 50, 0, 6.251,0.793,7.044,
specs/load_balancer_unreal.spectra, 50, 1, 5.567,1.865,7.432,
specs/load_balancer_unreal.spectra, 50, 2, 5.640,0.695,6.335,
specs/load_balancer_unreal.spectra, 50, 3, 3.959,0.581,4.540,
specs/load_balancer_unreal.spectra, 50, 4, 5.643,0.827,6.470,
specs/load_balancer_unreal.spectra, 50, 54, 5.330,8.296,13.625,
specs/load_balancer_unreal.spectra, 50, 55, 3.500,9.629,13.129,
specs/load_balancer_unreal.spectra, 50, 56, 3.346,2.098,5.444,
specs/load_balancer_unreal.spectra, 50, 57, 5.863,0.750,6.613,
specs/load_balancer_unreal.spectra, 50, 58, 5.782,0.692,6.474,
specs/load_balancer_unreal.spectra, 50, 59, 5.634,0.733,6.366,
specs/load_balancer_unreal.spectra, 60, -1, 10.375,3.602,13.977,
specs/load_balancer_unreal.spectra, 60, 0, 9.917,1.851,11.767,
specs/load_balancer_unreal.spectra, 60, 1, 10.090,3.442,13.533,
specs/load_balancer_unreal.spectra, 60, 2, 10.562,1.244,11.807,
specs/load_balancer_unreal.spectra, 60, 3, 6.241,0.854,7.095,
specs/load_balancer_unreal.spectra, 60, 4, 10.356,3.460,13.816,
specs/load_balancer_unreal.spectra, 60, 64, 9.615,19.736,29.351,
specs/load_balancer_unreal.spectra, 60, 65, 5.822,15.392,21.213,
specs/load_balancer_unreal.spectra, 60, 66, 5.413,3.453,8.865,
specs/load_balancer_unreal.spectra, 60, 67, 10.330,3.583,13.914,
specs/load_balancer_unreal.spectra, 60, 68, 10.325,2.002,12.326,
specs/load_balancer_unreal.spectra, 60, 69, 10.414,3.633,14.047,
specs/load_balancer_unreal.spectra, 70, -1, 17.942,1.836,19.778,
specs/load_balancer_unreal.spectra, 70, 0, 17.087,2.874,19.960,
specs/load_balancer_unreal.spectra, 70, 1, 17.578,4.073,21.652,
specs/load_balancer_unreal.spectra, 70, 2, 17.330,1.724,19.054,
specs/load_balancer_unreal.spectra, 70, 3, 10.505,0.237,10.742,
specs/load_balancer_unreal.spectra, 70, 4, 17.627,3.498,21.125,
specs/load_balancer_unreal.spectra, 70, 74, 17.054,52.135,69.190,
specs/load_balancer_unreal.spectra, 70, 75, 9.962,40.882,50.845,
specs/load_balancer_unreal.spectra, 70, 76, 9.307,8.609,17.916,
specs/load_balancer_unreal.spectra, 70, 77, 18.145,1.781,19.927,
specs/load_balancer_unreal.spectra, 70, 78, 16.733,1.833,18.567,
specs/load_balancer_unreal.spectra, 70, 79, 17.862,1.752,19.613,
