Spec,Size,Remove,Prep.,Real. Check,Total
specs/prioritized_arbiter.spectra,50,-1,4.658,1.795,6.452
specs/prioritized_arbiter.spectra,50,0,3.975,12.857,16.832
specs/prioritized_arbiter.spectra,50,1,4.552,2.001,6.554
specs/prioritized_arbiter.spectra,50,2,4.493,1.718,6.211
specs/prioritized_arbiter.spectra,50,3,4.495,1.81,6.305
specs/prioritized_arbiter.spectra,50,4,4.468,1.761,6.229
specs/prioritized_arbiter.spectra,50,5,4.628,1.81,6.438
specs/prioritized_arbiter.spectra,50,6,4.609,1.798,6.407
specs/prioritized_arbiter.spectra,50,7,4.056,1.723,5.779
specs/prioritized_arbiter.spectra,50,8,4.514,1.632,6.146
specs/prioritized_arbiter.spectra,50,9,4.575,1.714,6.289
specs/prioritized_arbiter.spectra,50,10,4.558,1.767,6.325
specs/prioritized_arbiter.spectra,50,11,4.533,1.626,6.159
specs/prioritized_arbiter.spectra,50,12,4.526,1.633,6.159
specs/prioritized_arbiter.spectra,50,113, class java.util.concurrent.TimeoutException,,
specs/prioritized_arbiter.spectra,75,-1,16.123,11.395,27.518
specs/prioritized_arbiter.spectra,75,0,14.27,72.482,86.752
specs/prioritized_arbiter.spectra,75,1,16.336,6.507,22.843
specs/prioritized_arbiter.spectra,75,2,16.522,11.906,28.428
specs/prioritized_arbiter.spectra,75,3,15.639,5.83,21.47
specs/prioritized_arbiter.spectra,75,4,15.885,5.875,21.76
specs/prioritized_arbiter.spectra,75,5,17.269,6.72,23.989
specs/prioritized_arbiter.spectra,75,6,16.945,6.643,23.588
specs/prioritized_arbiter.spectra,75,7,13.97,5.618,19.588
specs/prioritized_arbiter.spectra,75,8,16.512,6.42,22.932
specs/prioritized_arbiter.spectra,75,9,16.444,11.928,28.372
specs/prioritized_arbiter.spectra,75,10,16.658,12.231,28.889
specs/prioritized_arbiter.spectra,75,11,16.08,9.872,25.953
specs/prioritized_arbiter.spectra,75,12,15.896,9.459,25.355
specs/prioritized_arbiter.spectra,75,163, class java.util.concurrent.TimeoutException,,
specs/prioritized_arbiter.spectra,100,-1,49.039,24.105,73.144
specs/prioritized_arbiter.spectra,100,0,42.952,221.535,264.487
specs/prioritized_arbiter.spectra,100,1,45.771,17.008,62.779
specs/prioritized_arbiter.spectra,100,2,46.395,23.29,69.685
specs/prioritized_arbiter.spectra,100,3,53.066,37.578,90.644
specs/prioritized_arbiter.spectra,100,4,53.75,19.852,73.602
