Spec,Size,Remove,Prep.,Real. Check,Total,
specs/prioritized_arbiter_unreal.spectra, 10, -1, 0.749,0.422,1.171,
specs/prioritized_arbiter_unreal.spectra, 10, 0, 0.678,1.150,1.828,
specs/prioritized_arbiter_unreal.spectra, 10, 1, 0.689,0.037,0.726,
specs/prioritized_arbiter_unreal.spectra, 10, 2, 0.722,0.736,1.458,
specs/prioritized_arbiter_unreal.spectra, 10, 3, 0.802,0.088,0.890,
specs/prioritized_arbiter_unreal.spectra, 10, 4, 0.703,0.504,1.207,
specs/prioritized_arbiter_unreal.spectra, 10, 5, 0.670,0.285,0.955,
specs/prioritized_arbiter_unreal.spectra, 10, 6, 0.731,0.256,0.987,
specs/prioritized_arbiter_unreal.spectra, 10, 7, 0.694,0.448,1.142,
specs/prioritized_arbiter_unreal.spectra, 10, 8, 0.710,0.524,1.234,
specs/prioritized_arbiter_unreal.spectra, 10, 9, 0.698,0.323,1.021,
specs/prioritized_arbiter_unreal.spectra, 10, 10, 0.710,0.219,0.928,
specs/prioritized_arbiter_unreal.spectra, 10, 11, 0.735,0.574,1.309,
specs/prioritized_arbiter_unreal.spectra, 10, 12, 0.713,0.553,1.266,
specs/prioritized_arbiter_unreal.spectra, 10, 13, 0.727,0.371,1.097,
specs/prioritized_arbiter_unreal.spectra, 10, 14, 0.724,0.367,1.090,
specs/prioritized_arbiter_unreal.spectra, 10, 35, 0.698,0.272,0.970,
specs/prioritized_arbiter_unreal.spectra, 15, -1, 0.898,2.611,3.509,
specs/prioritized_arbiter_unreal.spectra, 15, 0, 0.864,5.089,5.954,
specs/prioritized_arbiter_unreal.spectra, 15, 1, 0.798,0.081,0.879,
specs/prioritized_arbiter_unreal.spectra, 15, 2, 0.875,3.312,4.187,
specs/prioritized_arbiter_unreal.spectra, 15, 3, 0.827,0.508,1.335,
specs/prioritized_arbiter_unreal.spectra, 15, 4, 0.922,2.867,3.789,
specs/prioritized_arbiter_unreal.spectra, 15, 5, 0.864,3.155,4.020,
specs/prioritized_arbiter_unreal.spectra, 15, 6, 0.866,2.072,2.938,
specs/prioritized_arbiter_unreal.spectra, 15, 7, 0.850,3.161,4.011,
specs/prioritized_arbiter_unreal.spectra, 15, 8, 0.852,4.133,4.985,
specs/prioritized_arbiter_unreal.spectra, 15, 9, 0.860,3.253,4.113,
specs/prioritized_arbiter_unreal.spectra, 15, 10, 0.860,1.352,2.212,
specs/prioritized_arbiter_unreal.spectra, 15, 11, 0.874,2.506,3.380,
specs/prioritized_arbiter_unreal.spectra, 15, 12, 0.901,2.778,3.679,
specs/prioritized_arbiter_unreal.spectra, 15, 13, 0.853,3.020,3.873,
specs/prioritized_arbiter_unreal.spectra, 15, 14, 0.862,2.022,2.884,
specs/prioritized_arbiter_unreal.spectra, 15, 45, 0.901,1.596,2.497,
specs/prioritized_arbiter_unreal.spectra, 20, -1, 1.275,11.420,12.694,
specs/prioritized_arbiter_unreal.spectra, 20, 0, 1.084,19.290,20.373,
specs/prioritized_arbiter_unreal.spectra, 20, 1, 0.976,0.303,1.279,
specs/prioritized_arbiter_unreal.spectra, 20, 2, 1.244,15.964,17.208,
specs/prioritized_arbiter_unreal.spectra, 20, 3, 1.229,0.954,2.183,
specs/prioritized_arbiter_unreal.spectra, 20, 4, 1.230,11.211,12.442,
specs/prioritized_arbiter_unreal.spectra, 20, 5, 1.262,9.035,10.297,
specs/prioritized_arbiter_unreal.spectra, 20, 6, 1.250,7.745,8.995,
specs/prioritized_arbiter_unreal.spectra, 20, 7, 1.248,10.809,12.057,
specs/prioritized_arbiter_unreal.spectra, 20, 8, 1.251,11.495,12.747,
specs/prioritized_arbiter_unreal.spectra, 20, 9, 1.266,10.726,11.991,
specs/prioritized_arbiter_unreal.spectra, 20, 10, 1.254,5.213,6.467,
specs/prioritized_arbiter_unreal.spectra, 20, 11, 1.307,11.236,12.543,
specs/prioritized_arbiter_unreal.spectra, 20, 12, 1.305,10.900,12.205,
specs/prioritized_arbiter_unreal.spectra, 20, 13, 1.265,9.807,11.072,
specs/prioritized_arbiter_unreal.spectra, 20, 14, 1.243,9.692,10.935,
specs/prioritized_arbiter_unreal.spectra, 20, 55, 1.268,7.711,8.979,
specs/prioritized_arbiter_unreal.spectra, 25, -1, 1.791,18.146,19.936,
