Spec,Size,Remove,Prep.,Real. Check,Total,
specs/prioritized_arbiter_unreal.spectra, 10, -1, 0.823,1.279,2.102,
specs/prioritized_arbiter_unreal.spectra, 10, 0, 0.763,0.848,1.611,
specs/prioritized_arbiter_unreal.spectra, 10, 1, 0.791,0.033,0.824,
specs/prioritized_arbiter_unreal.spectra, 10, 2, 0.787,2.864,3.651,
specs/prioritized_arbiter_unreal.spectra, 10, 3, 0.796,0.481,1.277,
specs/prioritized_arbiter_unreal.spectra, 10, 4, 0.827,1.281,2.108,
specs/prioritized_arbiter_unreal.spectra, 10, 5, 0.845,1.319,2.163,
specs/prioritized_arbiter_unreal.spectra, 10, 6, 0.813,0.996,1.809,
specs/prioritized_arbiter_unreal.spectra, 10, 7, 0.800,1.541,2.341,
specs/prioritized_arbiter_unreal.spectra, 10, 8, 0.790,1.536,2.326,
specs/prioritized_arbiter_unreal.spectra, 10, 9, 0.815,1.195,2.010,
specs/prioritized_arbiter_unreal.spectra, 10, 10, 0.875,0.790,1.664,
specs/prioritized_arbiter_unreal.spectra, 10, 11, 0.828,1.358,2.186,
specs/prioritized_arbiter_unreal.spectra, 10, 12, 0.820,1.494,2.314,
specs/prioritized_arbiter_unreal.spectra, 10, 13, 0.792,1.226,2.018,
specs/prioritized_arbiter_unreal.spectra, 10, 14, 0.782,1.452,2.234,
specs/prioritized_arbiter_unreal.spectra, 10, 35, 0.804,0.964,1.767,
specs/prioritized_arbiter_unreal.spectra, 15, -1, 1.022,7.040,8.061,
specs/prioritized_arbiter_unreal.spectra, 15, 0, 1.037,3.088,4.125,
specs/prioritized_arbiter_unreal.spectra, 15, 1, 0.861,0.065,0.926,
specs/prioritized_arbiter_unreal.spectra, 15, 2, 1.021,16.811,17.833,
specs/prioritized_arbiter_unreal.spectra, 15, 3, 0.929,2.127,3.056,
specs/prioritized_arbiter_unreal.spectra, 15, 4, 0.997,7.989,8.986,
specs/prioritized_arbiter_unreal.spectra, 15, 5, 0.944,7.349,8.293,
specs/prioritized_arbiter_unreal.spectra, 15, 6, 0.914,6.008,6.922,
specs/prioritized_arbiter_unreal.spectra, 15, 7, 0.969,7.328,8.296,
specs/prioritized_arbiter_unreal.spectra, 15, 8, 0.950,7.473,8.423,
specs/prioritized_arbiter_unreal.spectra, 15, 9, 0.916,6.927,7.842,
specs/prioritized_arbiter_unreal.spectra, 15, 10, 0.927,4.633,5.560,
specs/prioritized_arbiter_unreal.spectra, 15, 11, 1.063,7.327,8.390,
specs/prioritized_arbiter_unreal.spectra, 15, 12, 0.975,8.173,9.148,
specs/prioritized_arbiter_unreal.spectra, 15, 13, 1.007,7.100,8.108,
specs/prioritized_arbiter_unreal.spectra, 15, 14, 0.984,9.944,10.927,
specs/prioritized_arbiter_unreal.spectra, 15, 45, 0.968,5.911,6.879,
specs/prioritized_arbiter_unreal.spectra, 20, -1, 1.413,26.231,27.644,
specs/prioritized_arbiter_unreal.spectra, 20, 0, 1.170,12.370,13.540,
specs/prioritized_arbiter_unreal.spectra, 20, 1, 1.099,0.124,1.224,
specs/prioritized_arbiter_unreal.spectra, 20, 2, 1.380,59.852,61.233,
specs/prioritized_arbiter_unreal.spectra, 20, 3, 1.448,6.798,8.246,
