Spec,Size,Remove,Prep.,Real. Check,Total,
specs/round_robin_arbiter.spectra, 60, -1, 1.882,11.806,13.688,
specs/round_robin_arbiter.spectra, 60, 0, 1.581,7.532,9.114,
specs/round_robin_arbiter.spectra, 60, 61, 1.780,16.164,17.944,
specs/round_robin_arbiter.spectra, 60, 62, 1.806,12.660,14.466,
specs/round_robin_arbiter.spectra, 70, -1, 2.221,13.097,15.318,
specs/round_robin_arbiter.spectra, 70, 0, 2.195,14.015,16.210,
specs/round_robin_arbiter.spectra, 70, 71, 2.283,37.618,39.901,
specs/round_robin_arbiter.spectra, 70, 72, 2.244,35.322,37.566,
specs/round_robin_arbiter.spectra, 80, -1, 2.779,42.026,44.804,
specs/round_robin_arbiter.spectra, 80, 0, 2.601,21.900,24.501,
specs/round_robin_arbiter.spectra, 80, 81, 2.727,55.653,58.380,
specs/round_robin_arbiter.spectra, 80, 82, 2.858,43.295,46.152,
specs/round_robin_arbiter.spectra, 90, -1, 3.435,83.943,87.378,
specs/round_robin_arbiter.spectra, 90, 0, 3.532,48.032,51.564,
specs/round_robin_arbiter.spectra, 90, 91, 3.432,85.455,88.888,
specs/round_robin_arbiter.spectra, 90, 92, 3.343,75.061,78.404,
specs/round_robin_arbiter.spectra, 100, -1, 4.332,74.409,78.740,
specs/round_robin_arbiter.spectra, 100, 0, 3.982,78.014,81.996,
specs/round_robin_arbiter.spectra, 100, 101, 4.077,176.519,180.596,
specs/round_robin_arbiter.spectra, 100, 102, 3.978,157.167,161.145,
specs/round_robin_arbiter.spectra, 110, -1, 5.254,231.560,236.815,
specs/round_robin_arbiter.spectra, 110, 0, 4.957,118.095,123.053,
specs/round_robin_arbiter.spectra, 110, 111, 5.197,178.393,183.590,
specs/round_robin_arbiter.spectra, 110, 112, 5.326,177.142,182.468,
specs/round_robin_arbiter.spectra, 120, -1, 6.992,231.917,238.910,
specs/round_robin_arbiter.spectra, 120, 0, 6.284,429.655,435.939,
specs/round_robin_arbiter.spectra, 120, 121, 6.775,301.851,308.627,
specs/round_robin_arbiter.spectra, 120, 122, 6.412,395.968,402.380,
