Spec,Size,Remove,Prep.,Real. Check,Total,
specs/round_robin_arbiter.spectra, 60, -1, 1.683,1.091,2.774,
specs/round_robin_arbiter.spectra, 60, 0, 1.488,1.192,2.680,
specs/round_robin_arbiter.spectra, 60, 61, 1.674,1.144,2.818,
specs/round_robin_arbiter.spectra, 60, 62, 1.654,1.032,2.686,
specs/round_robin_arbiter.spectra, 70, -1, 2.127,0.984,3.111,
specs/round_robin_arbiter.spectra, 70, 0, 2.091,1.749,3.839,
specs/round_robin_arbiter.spectra, 70, 71, 2.071,1.305,3.377,
specs/round_robin_arbiter.spectra, 70, 72, 2.127,3.276,5.403,
specs/round_robin_arbiter.spectra, 80, -1, 2.664,3.024,5.688,
specs/round_robin_arbiter.spectra, 80, 0, 2.639,3.384,6.024,
specs/round_robin_arbiter.spectra, 80, 81, 2.506,2.823,5.329,
specs/round_robin_arbiter.spectra, 80, 82, 2.705,2.204,4.909,
specs/round_robin_arbiter.spectra, 90, -1, 3.252,3.547,6.798,
specs/round_robin_arbiter.spectra, 90, 0, 3.248,4.070,7.318,
specs/round_robin_arbiter.spectra, 90, 91, 3.117,2.711,5.828,
specs/round_robin_arbiter.spectra, 90, 92, 3.255,3.513,6.767,
specs/round_robin_arbiter.spectra, 100, -1, 4.196,4.680,8.875,
specs/round_robin_arbiter.spectra, 100, 0, 3.863,6.681,10.544,
specs/round_robin_arbiter.spectra, 100, 101, 4.010,5.385,9.395,
specs/round_robin_arbiter.spectra, 100, 102, 3.983,5.136,9.119,
specs/round_robin_arbiter.spectra, 110, -1, 5.133,5.829,10.962,
specs/round_robin_arbiter.spectra, 110, 0, 5.128,8.400,13.529,
specs/round_robin_arbiter.spectra, 110, 111, 5.090,4.097,9.187,
specs/round_robin_arbiter.spectra, 110, 112, 5.113,5.812,10.925,
specs/round_robin_arbiter.spectra, 120, -1, 6.845,13.059,19.904,
specs/round_robin_arbiter.spectra, 120, 0, 6.200,14.241,20.441,
specs/round_robin_arbiter.spectra, 120, 121, 6.840,6.187,13.027,
specs/round_robin_arbiter.spectra, 120, 122, 6.397,11.762,18.159,
