Spec,Size,Remove,Prep.,Real. Check,Total,
specs/round_robin_arbiter.spectra, 60, -1, 1.699,11.500,13.200,
specs/round_robin_arbiter.spectra, 60, 0, 1.546,5.152,6.698,
specs/round_robin_arbiter.spectra, 60, 61, 1.662,14.405,16.067,
specs/round_robin_arbiter.spectra, 60, 62, 1.673,10.730,12.404,
specs/round_robin_arbiter.spectra, 70, -1, 2.141,33.242,35.383,
specs/round_robin_arbiter.spectra, 70, 0, 2.086,9.064,11.150,
specs/round_robin_arbiter.spectra, 70, 71, 2.096,25.122,27.218,
specs/round_robin_arbiter.spectra, 70, 72, 2.160,27.195,29.355,
specs/round_robin_arbiter.spectra, 80, -1, 2.825,52.510,55.335,
specs/round_robin_arbiter.spectra, 80, 0, 2.748,27.482,30.229,
specs/round_robin_arbiter.spectra, 80, 81, 2.655,88.389,91.044,
specs/round_robin_arbiter.spectra, 80, 82, 2.718,64.515,67.233,
specs/round_robin_arbiter.spectra, 90, -1, 3.388,156.507,159.895,
specs/round_robin_arbiter.spectra, 90, 0, 3.319,44.435,47.754,
specs/round_robin_arbiter.spectra, 90, 91, 3.269,122.017,125.286,
specs/round_robin_arbiter.spectra, 90, 92, 3.351,120.275,123.625,
specs/round_robin_arbiter.spectra, 100, -1, 4.225,145.766,149.990,
specs/round_robin_arbiter.spectra, 100, 0, 3.889,51.402,55.291,
specs/round_robin_arbiter.spectra, 100, 101, 4.111,303.409,307.520,
specs/round_robin_arbiter.spectra, 100, 102, 3.967,144.471,148.437,
specs/round_robin_arbiter.spectra, 110, -1, 5.235,140.825,146.060,
specs/round_robin_arbiter.spectra, 110, 0, 5.194,64.529,69.724,
specs/round_robin_arbiter.spectra, 110, 111, 5.088,310.448,315.536,
specs/round_robin_arbiter.spectra, 110, 112, 5.308,225.523,230.831,
specs/round_robin_arbiter.spectra, 120, -1, 6.803,540.674,547.476,
specs/round_robin_arbiter.spectra, 120, 0, 6.287,87.335,93.622,
specs/round_robin_arbiter.spectra, 120, 121, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter.spectra, 120, 122, 6.304,510.919,517.223,
