Spec,Size,Remove,Prep.,Real. Check,Total,
specs/round_robin_arbiter_unreal.spectra, 20, -1, 1.020,0.624,1.644,
specs/round_robin_arbiter_unreal.spectra, 20, 0, 0.953,4.201,5.154,
specs/round_robin_arbiter_unreal.spectra, 20, 1, 0.898,0.395,1.293,
specs/round_robin_arbiter_unreal.spectra, 20, 2, 0.956,0.274,1.230,
specs/round_robin_arbiter_unreal.spectra, 20, 23, 0.923,0.603,1.526,
specs/round_robin_arbiter_unreal.spectra, 20, 24, 0.932,0.533,1.465,
specs/round_robin_arbiter_unreal.spectra, 30, -1, 1.502,3.873,5.375,
specs/round_robin_arbiter_unreal.spectra, 30, 0, 1.288,30.338,31.626,
specs/round_robin_arbiter_unreal.spectra, 30, 1, 1.053,1.792,2.845,
specs/round_robin_arbiter_unreal.spectra, 30, 2, 1.503,0.828,2.331,
specs/round_robin_arbiter_unreal.spectra, 30, 33, 1.476,3.246,4.723,
specs/round_robin_arbiter_unreal.spectra, 30, 34, 1.543,3.955,5.498,
specs/round_robin_arbiter_unreal.spectra, 40, -1, 2.563,14.075,16.638,
specs/round_robin_arbiter_unreal.spectra, 40, 0, 2.112,125.329,127.440,
specs/round_robin_arbiter_unreal.spectra, 40, 1, 1.495,5.726,7.222,
specs/round_robin_arbiter_unreal.spectra, 40, 2, 2.491,2.802,5.294,
specs/round_robin_arbiter_unreal.spectra, 40, 43, 2.429,13.629,16.058,
specs/round_robin_arbiter_unreal.spectra, 40, 44, 2.710,13.020,15.730,
specs/round_robin_arbiter_unreal.spectra, 50, -1, 4.333,96.345,100.678,
specs/round_robin_arbiter_unreal.spectra, 50, 0, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 50, 1, 2.097,13.977,16.074,
specs/round_robin_arbiter_unreal.spectra, 50, 2, 4.311,5.859,10.171,
specs/round_robin_arbiter_unreal.spectra, 50, 53, 4.357,41.973,46.330,
specs/round_robin_arbiter_unreal.spectra, 50, 54, 4.214,95.590,99.804,
specs/round_robin_arbiter_unreal.spectra, 60, -1, 7.005,202.885,209.890,
specs/round_robin_arbiter_unreal.spectra, 60, 0, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 60, 1, 3.203,14.253,17.456,
specs/round_robin_arbiter_unreal.spectra, 60, 2, 6.859,10.235,17.093,
specs/round_robin_arbiter_unreal.spectra, 60, 63, 7.034,123.946,130.980,
specs/round_robin_arbiter_unreal.spectra, 60, 64, 6.899,216.215,223.114,
specs/round_robin_arbiter_unreal.spectra, 70, -1, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 70, 0, class java.util.concurrent.TimeoutException
specs/round_robin_arbiter_unreal.spectra, 70, 1, 4.674,74.540,79.215,
specs/round_robin_arbiter_unreal.spectra, 70, 2, 10.579,24.928,35.507,
specs/round_robin_arbiter_unreal.spectra, 70, 73, 11.213,227.194,238.407,
specs/round_robin_arbiter_unreal.spectra, 70, 74, 11.438,165.405,176.844,
