Spec,Size,Remove,Prep.,Real. Check,Total,
specs/round_robin_arbiter_unreal.spectra, 20, -1, 0.919,1.272,2.191,
specs/round_robin_arbiter_unreal.spectra, 20, 0, 0.898,1.477,2.375,
specs/round_robin_arbiter_unreal.spectra, 20, 1, 0.780,0.305,1.085,
specs/round_robin_arbiter_unreal.spectra, 20, 2, 0.991,0.174,1.165,
specs/round_robin_arbiter_unreal.spectra, 20, 23, 0.901,1.296,2.197,
specs/round_robin_arbiter_unreal.spectra, 20, 24, 0.944,1.449,2.393,
specs/round_robin_arbiter_unreal.spectra, 30, -1, 1.439,3.586,5.025,
specs/round_robin_arbiter_unreal.spectra, 30, 0, 1.283,6.533,7.816,
specs/round_robin_arbiter_unreal.spectra, 30, 1, 0.989,1.208,2.197,
specs/round_robin_arbiter_unreal.spectra, 30, 2, 1.381,0.419,1.800,
specs/round_robin_arbiter_unreal.spectra, 30, 33, 1.431,6.058,7.489,
specs/round_robin_arbiter_unreal.spectra, 30, 34, 1.528,3.597,5.125,
specs/round_robin_arbiter_unreal.spectra, 40, -1, 2.484,10.739,13.223,
specs/round_robin_arbiter_unreal.spectra, 40, 0, 2.090,19.520,21.610,
specs/round_robin_arbiter_unreal.spectra, 40, 1, 1.518,3.366,4.885,
specs/round_robin_arbiter_unreal.spectra, 40, 2, 2.461,1.504,3.965,
specs/round_robin_arbiter_unreal.spectra, 40, 43, 2.425,10.134,12.559,
specs/round_robin_arbiter_unreal.spectra, 40, 44, 2.453,9.497,11.949,
specs/round_robin_arbiter_unreal.spectra, 50, -1, 4.213,15.010,19.223,
specs/round_robin_arbiter_unreal.spectra, 50, 0, 2.978,53.972,56.950,
specs/round_robin_arbiter_unreal.spectra, 50, 1, 2.076,8.795,10.871,
specs/round_robin_arbiter_unreal.spectra, 50, 2, 4.217,2.729,6.946,
specs/round_robin_arbiter_unreal.spectra, 50, 53, 4.188,27.809,31.996,
specs/round_robin_arbiter_unreal.spectra, 50, 54, 4.090,30.153,34.243,
specs/round_robin_arbiter_unreal.spectra, 60, -1, 6.925,57.908,64.833,
specs/round_robin_arbiter_unreal.spectra, 60, 0, 5.371,106.420,111.790,
specs/round_robin_arbiter_unreal.spectra, 60, 1, 3.201,24.650,27.852,
specs/round_robin_arbiter_unreal.spectra, 60, 2, 6.827,4.401,11.229,
specs/round_robin_arbiter_unreal.spectra, 60, 63, 6.905,28.085,34.990,
specs/round_robin_arbiter_unreal.spectra, 60, 64, 6.699,33.185,39.883,
specs/round_robin_arbiter_unreal.spectra, 70, -1, 11.263,48.300,59.563,
specs/round_robin_arbiter_unreal.spectra, 70, 0, 7.897,229.387,237.283,
specs/round_robin_arbiter_unreal.spectra, 70, 1, 4.686,57.327,62.013,
specs/round_robin_arbiter_unreal.spectra, 70, 2, 11.324,10.265,21.590,
specs/round_robin_arbiter_unreal.spectra, 70, 73, 11.191,84.375,95.566,
specs/round_robin_arbiter_unreal.spectra, 70, 74, 11.660,40.270,51.930,
