Spec,Time,Best?,Annotation
/home/ubuntu/evaluation_fse2025/syntech/Connect4NoDiagonal3X3.spectra, class java.util.concurrent.TimeoutException,,
/home/ubuntu/evaluation_fse2025/syntech/SmartNeighborhood.spectra,0.052,true,
/home/ubuntu/evaluation_fse2025/syntech/RobotsMPChangingGoals3.spectra,1.371,true,
/home/ubuntu/evaluation_fse2025/syntech/team-8/variant-1.spectra,0.092,false,
/home/ubuntu/evaluation_fse2025/syntech/team-8/Robot.spectra,0.081,true,
/home/ubuntu/evaluation_fse2025/syntech/team-8/variant-3.spectra,0.119,false,
/home/ubuntu/evaluation_fse2025/syntech/team-8/Junction.spectra,0.043,true,
/home/ubuntu/evaluation_fse2025/syntech/team-8/variant-2.spectra,0.093,false,
/home/ubuntu/evaluation_fse2025/syntech/team-8/Cleaner.spectra,0.08,false,
/home/ubuntu/evaluation_fse2025/syntech/CatsandMiceJealousSpec.spectra,3.54,true,@symmetry { ***  indexes: 1..2 ***  arrays: boatmice***boatcats***miceA***miceB***catsA***catsB ***}
/home/ubuntu/evaluation_fse2025/syntech/SmartHome2.spectra,0.04,true,
/home/ubuntu/evaluation_fse2025/syntech/BusBossMain.spectra,0.318,false,
/home/ubuntu/evaluation_fse2025/syntech/ElevatorLTL_386_Elevator.spectra,0.043,true,
/home/ubuntu/evaluation_fse2025/syntech/RobotsMPFixedGoals3.spectra,0.462,true,
/home/ubuntu/evaluation_fse2025/syntech/NationalPark.spectra,0.038,true,
/home/ubuntu/evaluation_fse2025/syntech/SmartHome3.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/RobotsMPFuel3.spectra,0.116,false,
/home/ubuntu/evaluation_fse2025/syntech/Elevator_cmp_Elevator_321.spectra,0.039,true,
/home/ubuntu/evaluation_fse2025/syntech/IrrigationSystem_BasicNoWaterSaving.spectra,0.038,true,
/home/ubuntu/evaluation_fse2025/syntech/CatsandMiceSpec.spectra,0.091,true,
/home/ubuntu/evaluation_fse2025/syntech/GyroLTLVar3_702_GyroAspect.spectra,0.046,true,
/home/ubuntu/evaluation_fse2025/syntech/SmartAirportMain.spectra, class java.util.concurrent.TimeoutException,,
/home/ubuntu/evaluation_fse2025/syntech/team-4/variant-1.spectra,0.083,false,
/home/ubuntu/evaluation_fse2025/syntech/team-4/Robot.spectra,0.074,true,
/home/ubuntu/evaluation_fse2025/syntech/team-4/variant-3.spectra,0.087,false,
/home/ubuntu/evaluation_fse2025/syntech/team-4/Junction.spectra,0.04,true,
/home/ubuntu/evaluation_fse2025/syntech/team-4/variant-2.spectra,0.094,false,
/home/ubuntu/evaluation_fse2025/syntech/team-4/Cleaner.spectra,0.086,false,
/home/ubuntu/evaluation_fse2025/syntech/HumanoidLTLVar3_872_Humanoid.spectra,0.081,true,
/home/ubuntu/evaluation_fse2025/syntech/roboticarm_Robot_313.spectra,0.103,false,
/home/ubuntu/evaluation_fse2025/syntech/ColorSortLTLTAG_792_ColorSort.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/AirportControlTower.spectra,0.074,false,
/home/ubuntu/evaluation_fse2025/syntech/SmartHome1.spectra,0.036,true,
/home/ubuntu/evaluation_fse2025/syntech/Elevator.spectra,0.095,false,
